# i,j,K[cm^3/s]
2,1,1.15663925e-11
3,1,7.23363473e-12
3,2,1.58432338e-11
4,1,5.04990776e-12
4,2,1.17658196e-11
4,3,1.84394280e-11
5,1,3.61752015e-12
5,2,8.96565936e-12
5,3,1.51043218e-11
5,4,2.14975389e-11
6,1,2.76179814e-12
6,2,7.01056500e-12
6,3,1.22762962e-11
6,4,1.85079286e-11
6,5,2.43980297e-11
7,1,2.18845317e-12
7,2,5.61382608e-12
7,3,1.01091803e-11
7,4,1.57573614e-11
7,5,2.21960193e-11
7,6,2.87209984e-11
8,1,1.74372563e-12
8,2,4.56724358e-12
8,3,8.31873256e-12
8,4,1.33075734e-11
8,5,1.93607304e-11
8,6,2.70877051e-11
8,7,3.44252727e-11
9,1,1.41951504e-12
9,2,3.64372984e-12
9,3,6.84286424e-12
9,4,1.10637598e-11
9,5,1.66398981e-11
9,6,2.40013906e-11
9,7,3.25210756e-11
9,8,4.13786828e-11
10,1,1.10371653e-12
10,2,2.94558171e-12
10,3,5.52240426e-12
10,4,9.14417111e-12
10,5,1.39592232e-11
10,6,2.06191150e-11
10,7,2.92881766e-11
10,8,3.97872274e-11
10,9,4.98573660e-11
11,1,8.40779732e-13
11,2,2.27565395e-12
11,3,4.32300402e-12
11,4,7.28085725e-12
11,5,1.13425051e-11
11,6,1.70960221e-11
11,7,2.46944611e-11
11,8,3.47817936e-11
11,9,4.67588037e-11
11,10,6.21544759e-11
12,1,6.22990942e-13
12,2,1.73219579e-12
12,3,3.39730099e-12
12,4,5.88628239e-12
12,5,9.41721258e-12
12,6,1.43864406e-11
12,7,2.11427927e-11
12,8,3.02382511e-11
12,9,4.15443197e-11
12,10,5.69242944e-11
12,11,8.06150840e-11
13,1,5.18163842e-13
13,2,1.58026702e-12
13,3,3.24285229e-12
13,4,5.84917228e-12
13,5,9.61077329e-12
13,6,1.49609279e-11
13,7,2.21895392e-11
13,8,3.14968191e-11
13,9,4.28776663e-11
13,10,5.77376612e-11
13,11,7.57589468e-11
13,12,6.44715979e-11
14,1,3.58388233e-13
14,2,1.29175005e-12
14,3,2.95365448e-12
14,4,5.54136577e-12
14,5,9.34556462e-12
14,6,1.47223167e-11
14,7,2.17713004e-11
14,8,3.09075731e-11
14,9,4.18023164e-11
14,10,5.53711946e-11
14,11,7.01567122e-11
14,12,5.96637527e-11
14,13,3.03724450e-11
15,1,2.04772656e-13
15,2,9.11057074e-13
15,3,2.34007620e-12
15,4,4.78425159e-12
15,5,8.47188874e-12
15,6,1.37871509e-11
15,7,2.08254759e-11
15,8,2.99987473e-11
15,9,4.08886330e-11
15,10,5.41920650e-11
15,11,6.81469195e-11
15,12,5.90184751e-11
15,13,3.20934357e-11
15,14,1.69814662e-11
16,1,9.90374252e-14
16,2,5.11673685e-13
16,3,1.64820302e-12
16,4,3.83664165e-12
16,5,7.23185143e-12
16,6,1.23430283e-11
16,7,1.96460936e-11
16,8,2.91876083e-11
16,9,4.05883313e-11
16,10,5.49083988e-11
16,11,6.80490301e-11
16,12,5.99588037e-11
16,13,3.43047162e-11
16,14,1.89422018e-11
16,15,1.05246293e-11
17,1,5.52153263e-14
17,2,2.65870805e-13
17,3,9.66639988e-13
17,4,2.73015081e-12
17,5,5.98307710e-12
17,6,1.15684371e-11
17,7,1.92369746e-11
17,8,2.95304775e-11
17,9,4.18922568e-11
17,10,5.63214415e-11
17,11,6.89810109e-11
17,12,6.21297127e-11
17,13,3.73205274e-11
17,14,2.09562699e-11
17,15,1.20105378e-11
17,16,6.43334773e-12
18,1,2.25690274e-14
18,2,1.25794645e-13
18,3,4.43191396e-13
18,4,1.39818754e-12
18,5,3.86034547e-12
18,6,8.88910513e-12
18,7,1.65310531e-11
18,8,2.83782429e-11
18,9,4.38544522e-11
18,10,6.02123354e-11
18,11,7.26311855e-11
18,12,6.64566513e-11
18,13,4.16103650e-11
18,14,2.44720744e-11
18,15,1.43094526e-11
18,16,7.61098714e-12
18,17,4.32736124e-12
