# i,K[cm^3/s]
1,3.26590833e-13
2,6.50714433e-13
3,1.16775911e-12
4,2.09616326e-12
5,4.11770620e-12
6,8.27054294e-12
7,1.71423576e-11
8,3.62350149e-11
9,8.08386999e-11
10,1.84735151e-10
11,5.29112834e-10
12,1.39565087e-09
13,1.19363744e-09
14,1.24000871e-09
15,1.45223275e-09
16,1.65793209e-09
17,1.90593883e-09
18,2.48229009e-09
