# i,E[eV]
1,-4.85113549e+00
2,-4.41635701e+00
3,-3.96564776e+00
4,-3.50950122e+00
5,-3.05107243e+00
6,-2.59397923e+00
7,-2.13476195e+00
8,-1.67437265e+00
9,-1.21516864e+00
10,-7.54659475e-01
11,-2.89302535e-01
12,1.42972219e-01
13,6.09647963e-01
14,1.07086066e+00
15,1.53302375e+00
16,1.99289902e+00
17,2.44344815e+00
18,2.89085938e+00
