# i,j,K[cm^3/s]
2,1,1.82604206e-10
3,1,3.75259762e-11
3,2,2.24500687e-10
4,1,1.48268213e-11
4,2,5.87260492e-11
4,3,2.40468606e-10
5,1,6.92765667e-12
5,2,2.42722329e-11
5,3,6.51651373e-11
5,4,2.46012278e-10
6,1,4.12421567e-12
6,2,1.25511860e-11
6,3,2.85970176e-11
6,4,6.81719181e-11
6,5,2.41364025e-10
7,1,2.63116244e-12
7,2,7.25322941e-12
7,3,1.49361116e-11
7,4,3.05892341e-11
7,5,6.66487791e-11
7,6,2.39759104e-10
8,1,1.77717395e-12
8,2,4.62045367e-12
8,3,8.72101123e-12
8,4,1.63670908e-11
8,5,2.97831430e-11
8,6,6.42633524e-11
8,7,2.33450920e-10
9,1,1.24765863e-12
9,2,3.21067190e-12
9,3,5.78776029e-12
9,4,9.75199430e-12
9,5,1.60487768e-11
9,6,2.87418279e-11
9,7,5.98404472e-11
9,8,2.23001765e-10
10,1,8.93179610e-13
10,2,2.21175309e-12
10,3,3.99157693e-12
10,4,6.64735792e-12
10,5,1.01167295e-11
10,6,1.60457942e-11
10,7,2.70335106e-11
10,8,5.45690470e-11
10,9,2.09901759e-10
11,1,6.36466924e-13
11,2,1.61116912e-12
11,3,2.85396922e-12
11,4,4.52864330e-12
11,5,6.57600264e-12
11,6,9.69136568e-12
11,7,1.48087796e-11
11,8,2.43814386e-11
11,9,4.72151149e-11
11,10,1.90889896e-10
12,1,4.08254809e-13
12,2,9.97842316e-13
12,3,1.77920376e-12
12,4,2.82773364e-12
12,5,4.11193381e-12
12,6,6.02160060e-12
12,7,8.85743317e-12
12,8,1.35585741e-11
12,9,2.17175019e-11
12,10,4.45640757e-11
12,11,1.90224653e-10
13,1,2.46529749e-13
13,2,6.38845423e-13
13,3,1.18128164e-12
13,4,1.88298038e-12
13,5,2.75369204e-12
13,6,3.98931510e-12
13,7,5.96905064e-12
13,8,8.94933099e-12
13,9,1.35810005e-11
13,10,2.32328365e-11
13,11,4.72224971e-11
13,12,2.03205470e-10
14,1,1.62407287e-13
14,2,4.26888371e-13
14,3,7.96039929e-13
14,4,1.32105569e-12
14,5,1.89352078e-12
14,6,2.65892426e-12
14,7,3.85768749e-12
14,8,5.57920278e-12
14,9,8.10787451e-12
14,10,1.29906175e-11
14,11,2.28973131e-11
14,12,4.55939988e-11
14,13,2.01859829e-10
15,1,8.04952258e-14
15,2,2.35551337e-13
15,3,4.48457487e-13
15,4,7.70775970e-13
15,5,1.22898436e-12
15,6,1.78169741e-12
15,7,2.54088922e-12
15,8,3.59421659e-12
15,9,5.09213863e-12
15,10,7.78277663e-12
15,11,1.23732190e-11
15,12,2.05588942e-11
15,13,3.92416581e-11
15,14,1.98992679e-10
16,1,1.91539297e-14
16,2,7.28165957e-14
16,3,1.88623478e-13
16,4,3.60442923e-13
16,5,5.86471228e-13
16,6,9.48950587e-13
16,7,1.48218673e-12
16,8,2.25287876e-12
16,9,3.07202679e-12
16,10,4.77255465e-12
16,11,7.52786753e-12
16,12,1.06380900e-11
16,13,1.55653100e-11
16,14,3.50807361e-11
16,15,1.94745744e-10
17,1,2.57053796e-15
17,2,2.55135069e-14
17,3,9.93018624e-14
17,4,2.10116713e-13
17,5,3.58901130e-13
17,6,6.58525100e-13
17,7,1.02165606e-12
17,8,1.66527749e-12
17,9,2.21201826e-12
17,10,3.18184059e-12
17,11,4.41954636e-12
17,12,6.01054984e-12
17,13,7.70787668e-12
17,14,1.32168502e-11
17,15,3.36727670e-11
17,16,1.86959243e-10
18,1,0.00000000e+00
18,2,9.57597269e-16
18,3,1.57459031e-14
18,4,7.16716548e-14
18,5,2.18754853e-13
18,6,3.99674067e-13
18,7,6.77026283e-13
18,8,9.84711209e-13
18,9,1.54973663e-12
18,10,2.38930833e-12
18,11,3.05937568e-12
18,12,3.61176817e-12
18,13,3.53460262e-12
18,14,5.14290294e-12
18,15,1.00238932e-11
18,16,2.59936553e-11
18,17,1.86950582e-10
