# i,E[eV]
1,-4.84129148e+00
2,-4.40624942e+00
3,-3.95562172e+00
4,-3.49915311e+00
5,-3.04095050e+00
6,-2.58380531e+00
7,-2.12451245e+00
8,-1.66412309e+00
9,-1.20509419e+00
10,-7.44275464e-01
11,-2.79001467e-01
12,1.53012043e-01
13,6.19773862e-01
14,1.08092511e+00
15,1.54335492e+00
16,2.00230193e+00
17,2.45345697e+00
18,2.89990028e+00
