# i,j,K[cm^3/s]
2,1,1.03848172e-11
3,1,6.90569205e-12
3,2,1.61657056e-11
4,1,5.02178367e-12
4,2,1.22829339e-11
4,3,2.02646147e-11
5,1,3.80547653e-12
5,2,9.78194085e-12
5,3,1.69607052e-11
5,4,2.44037298e-11
6,1,3.07370093e-12
6,2,7.99015601e-12
6,3,1.40292387e-11
6,4,2.11358736e-11
6,5,2.85041059e-11
7,1,2.47497840e-12
7,2,6.43337275e-12
7,3,1.16618900e-11
7,4,1.84362771e-11
7,5,2.58200919e-11
7,6,3.33537410e-11
8,1,2.01059920e-12
8,2,5.35201444e-12
8,3,9.72919177e-12
8,4,1.56583075e-11
8,5,2.26717168e-11
8,6,3.10438074e-11
8,7,3.95389865e-11
9,1,1.63733913e-12
9,2,4.44211112e-12
9,3,8.20717027e-12
9,4,1.33273041e-11
9,5,1.97221302e-11
9,6,2.75128454e-11
9,7,3.67538306e-11
9,8,4.61032585e-11
10,1,1.32560742e-12
10,2,3.60045052e-12
10,3,6.81626745e-12
10,4,1.11461399e-11
10,5,1.67637526e-11
10,6,2.39132110e-11
10,7,3.27533081e-11
10,8,4.29898308e-11
10,9,5.39746454e-11
11,1,1.08767750e-12
11,2,2.88106039e-12
11,3,5.48615236e-12
11,4,9.09570378e-12
11,5,1.37076667e-11
11,6,1.98426418e-11
11,7,2.77542213e-11
11,8,3.77222778e-11
11,9,4.92479672e-11
11,10,6.36851157e-11
12,1,8.36290448e-13
12,2,2.35555679e-12
12,3,4.50477795e-12
12,4,7.51794750e-12
12,5,1.15363752e-11
12,6,1.71561387e-11
12,7,2.41665261e-11
12,8,3.29715197e-11
12,9,4.38074544e-11
12,10,5.76564749e-11
12,11,7.59123848e-11
13,1,7.04886853e-13
13,2,2.16186011e-12
13,3,4.41692686e-12
13,4,7.66814958e-12
13,5,1.18450682e-11
13,6,1.76884885e-11
13,7,2.50942963e-11
13,8,3.42896093e-11
13,9,4.48194485e-11
13,10,5.86023258e-11
13,11,7.41619620e-11
13,12,6.93763487e-11
14,1,5.28113957e-13
14,2,1.86997766e-12
14,3,4.04742111e-12
14,4,7.42804693e-12
14,5,1.17347190e-11
14,6,1.78401631e-11
14,7,2.52505141e-11
14,8,3.42222401e-11
14,9,4.44559887e-11
14,10,5.75632875e-11
14,11,7.13847850e-11
14,12,6.58023224e-11
14,13,4.12036850e-11
15,1,3.65349221e-13
15,2,1.45638706e-12
15,3,3.43837634e-12
15,4,6.68247828e-12
15,5,1.11199072e-11
15,6,1.71594758e-11
15,7,2.45909307e-11
15,8,3.38671461e-11
15,9,4.42102116e-11
15,10,5.65739279e-11
15,11,7.00372285e-11
15,12,6.43916546e-11
15,13,4.14778171e-11
15,14,2.72784106e-11
16,1,2.28037961e-13
16,2,1.00549013e-12
16,3,2.54974118e-12
16,4,5.42931335e-12
16,5,9.77920649e-12
16,6,1.55137963e-11
16,7,2.39013473e-11
16,8,3.36775835e-11
16,9,4.55082574e-11
16,10,5.91474955e-11
16,11,7.16621946e-11
16,12,6.59862209e-11
16,13,4.28430390e-11
16,14,2.86862000e-11
16,15,1.92564093e-11
17,1,1.26838505e-13
17,2,5.36816798e-13
17,3,1.69406496e-12
17,4,4.21282717e-12
17,5,8.77540626e-12
17,6,1.50174352e-11
17,7,2.36529679e-11
17,8,3.41913972e-11
17,9,4.66361045e-11
17,10,5.93958852e-11
17,11,7.18180941e-11
17,12,6.66713860e-11
17,13,4.38980752e-11
17,14,2.93031650e-11
17,15,1.97644474e-11
17,16,1.25132772e-11
18,1,5.84017924e-14
18,2,2.65624428e-13
18,3,8.89212513e-13
18,4,2.49632670e-12
18,5,6.15523667e-12
18,6,1.19251021e-11
18,7,2.12215898e-11
18,8,3.27781338e-11
18,9,4.70573926e-11
18,10,6.34039924e-11
18,11,7.70654161e-11
18,12,7.08087551e-11
18,13,4.65582966e-11
18,14,3.09223827e-11
18,15,2.18916232e-11
18,16,1.41239685e-11
18,17,8.37586899e-12
