# i,K[cm^3/s]
1,2.17577493e-11
2,3.00049103e-11
3,4.16818644e-11
4,6.04159710e-11
5,9.06327451e-11
6,1.36642254e-10
7,2.06136508e-10
8,3.16964123e-10
9,4.92626360e-10
10,7.85244820e-10
11,1.45102744e-09
12,2.59134958e-09
13,2.37179990e-09
14,2.42444490e-09
15,2.72801487e-09
16,3.01272116e-09
17,3.36767994e-09
18,4.18967946e-09
