# i,j,K[cm^3/s]
2,1,2.06360827e-11
3,1,1.20114953e-11
3,2,3.69007874e-11
4,1,7.85028920e-12
4,2,2.62727483e-11
4,3,5.38534788e-11
5,1,5.18207052e-12
5,2,1.83319116e-11
5,3,4.16931130e-11
5,4,7.72655541e-11
6,1,3.23412559e-12
6,2,1.20291761e-11
6,3,2.91639375e-11
6,4,5.96269538e-11
6,5,1.07769231e-10
7,1,2.31453159e-12
7,2,1.03171586e-11
7,3,2.71197089e-11
7,4,5.70649168e-11
7,5,1.03005273e-10
7,6,1.41377644e-10
8,1,1.19821750e-12
8,2,8.04320416e-12
8,3,2.46111751e-11
8,4,5.45930118e-11
8,5,9.98607636e-11
8,6,1.33785641e-10
8,7,6.11057876e-11
9,1,3.75448242e-13
9,2,4.08674621e-12
9,3,1.89755403e-11
9,4,5.28506087e-11
9,5,1.05391811e-10
9,6,1.37419182e-10
9,7,6.93793714e-11
9,8,2.60548158e-11
