# i,K[cm^3/s]
1,4.65071521e-12
2,1.10861183e-11
3,2.98628704e-11
4,8.82258869e-11
5,2.92889583e-10
6,1.31395771e-09
7,1.68095478e-09
8,2.03969121e-09
9,2.69646356e-09
