# i,E[eV]
1,-4.97119992e+00
2,-4.67070541e+00
3,-4.37188170e+00
4,-4.06514248e+00
5,-3.76190166e+00
6,-3.45630753e+00
7,-3.14892609e+00
8,-2.84544181e+00
9,-2.53780957e+00
10,-2.23094540e+00
11,-1.92301246e+00
12,-1.61535264e+00
13,-1.30935902e+00
14,-1.00141394e+00
15,-6.93921194e-01
16,-3.88559093e-01
17,-7.98462983e-02
18,2.19639865e-01
19,5.23981035e-01
20,8.34241313e-01
21,1.13901504e+00
22,1.44539946e+00
23,1.75289760e+00
24,2.06140240e+00
25,2.36259373e+00
26,2.67305844e+00
27,2.97371636e+00
