# i,K[cm^3/s]
1,0.00000000e+00
2,0.00000000e+00
3,0.00000000e+00
4,0.00000000e+00
5,0.00000000e+00
6,0.00000000e+00
7,0.00000000e+00
8,0.00000000e+00
9,0.00000000e+00
10,2.19662153e-17
11,2.67826079e-16
12,4.88754988e-15
13,4.64682793e-14
14,2.76902057e-13
15,1.93524892e-12
16,1.46479252e-11
17,2.65418340e-10
18,3.23067840e-10
19,3.28125167e-10
20,3.43964644e-10
21,3.68564496e-10
22,5.04628263e-10
23,5.24525654e-10
24,6.62610106e-10
25,7.04559312e-10
26,8.51733907e-10
27,1.23672121e-09
