# i,j,K[cm^3/s]
2,1,9.74434754e-12
3,1,4.75296820e-12
3,2,1.37427883e-11
4,1,2.77064562e-12
4,2,9.70998800e-12
4,3,1.92885259e-11
5,1,1.80028986e-12
5,2,7.04104892e-12
5,3,1.72826698e-11
5,4,3.23008495e-11
6,1,1.03290133e-12
6,2,4.47211963e-12
6,3,1.23093960e-11
6,4,3.06472540e-11
6,5,6.23858434e-11
7,1,5.58864922e-13
7,2,2.86560795e-12
7,3,9.22591365e-12
7,4,2.66842926e-11
7,5,6.40097544e-11
7,6,8.67369077e-11
8,1,3.57314712e-13
8,2,2.15803430e-12
8,3,7.62967911e-12
8,4,2.03037810e-11
8,5,4.74349884e-11
8,6,6.92340791e-11
8,7,8.38329901e-12
9,1,1.52740824e-13
9,2,8.10877671e-13
9,3,4.57181762e-12
9,4,1.69423725e-11
9,5,4.63952191e-11
9,6,7.49676141e-11
9,7,1.64489639e-11
9,8,6.33334730e-13
