# i,j,K[cm^3/s]
2,1,1.24858740e-10
3,1,3.12181578e-12
3,2,1.33937335e-10
4,1,1.07756208e-12
4,2,4.91463257e-12
4,3,1.42339400e-10
5,1,5.03746654e-13
5,2,2.21926856e-12
5,3,5.95987953e-12
5,4,1.48358619e-10
6,1,2.66231585e-13
6,2,1.14809344e-12
6,3,2.72372026e-12
6,4,6.01588186e-12
6,5,1.27927096e-10
7,1,8.20415807e-14
7,2,3.04637786e-13
7,3,6.99732627e-13
7,4,1.45460461e-12
7,5,3.57878998e-12
7,6,1.05955755e-10
8,1,3.36022917e-14
8,2,1.18613958e-13
8,3,2.30478071e-13
8,4,3.72936414e-13
8,5,7.12979009e-13
8,6,1.82154977e-12
8,7,1.01024338e-10
9,1,5.81883410e-15
9,2,1.91547925e-14
9,3,3.40091378e-14
9,4,7.62939841e-14
9,5,1.54308084e-13
9,6,3.78979270e-13
9,7,5.06860667e-13
9,8,8.60255237e-11
