# i,K[cm^3/s]
1,0.00000000e+00
2,0.00000000e+00
3,0.00000000e+00
4,0.00000000e+00
5,1.88118865e-15
6,1.68012657e-11
7,2.22423528e-10
8,3.83440623e-10
9,5.49702001e-10
