# i,j,K[cm^3/s]
2,1,1.77970269e-11
3,1,9.33395409e-12
3,2,2.68168392e-11
4,1,5.49905624e-12
4,2,1.88056407e-11
4,3,3.73883009e-11
5,1,3.43805175e-12
5,2,1.28731064e-11
5,3,3.04270488e-11
5,4,5.66439225e-11
6,1,1.99825617e-12
6,2,8.08063579e-12
6,3,2.10482643e-11
6,4,4.63044227e-11
6,5,9.09424588e-11
7,1,1.30946081e-12
7,2,6.37284778e-12
7,3,1.87680483e-11
7,4,4.33947093e-11
7,5,8.56851029e-11
7,6,1.18356607e-10
8,1,6.39784172e-13
8,2,4.50721153e-12
8,3,1.55938955e-11
8,4,3.83795193e-11
8,5,7.75771870e-11
8,6,1.05928301e-10
8,7,3.08935059e-11
9,1,2.08329028e-13
9,2,1.82319045e-12
9,3,1.07888887e-11
9,4,3.51835324e-11
9,5,8.06597460e-11
9,6,1.12145972e-10
9,7,4.21274799e-11
9,8,8.13085382e-12
