# i,E[eV]
1,-4.66699316e+00
2,-3.83284265e+00
3,-2.93061746e+00
4,-2.01859212e+00
5,-1.09772221e+00
6,-1.85276120e-01
7,6.87588354e-01
8,1.60243329e+00
9,2.49573283e+00
