# i,j,K[cm^3/s]
2,1,1.24997704e-10
3,1,9.40796444e-12
3,2,1.49852223e-10
4,1,2.65878865e-12
4,2,1.44323041e-11
4,3,1.53766599e-10
5,1,1.24854624e-12
5,2,4.69272223e-12
5,3,1.54959491e-11
5,4,1.45889849e-10
6,1,6.40096583e-13
6,2,2.21035163e-12
6,3,5.25743045e-12
6,4,1.36925447e-11
6,5,1.19172552e-10
7,1,2.24068288e-13
7,2,8.03936958e-13
7,3,1.87923716e-12
7,4,4.32413031e-12
7,5,1.16177360e-11
7,6,1.19226637e-10
8,1,6.44601189e-14
8,2,2.57822236e-13
8,3,6.25190306e-13
8,4,1.31413211e-12
8,5,3.02984123e-12
8,6,8.64568572e-12
8,7,1.10852477e-10
9,1,6.30002149e-15
9,2,3.71226249e-14
9,3,1.35658749e-13
9,4,3.36042044e-13
9,5,8.83962516e-13
9,6,2.19337110e-12
9,7,4.29109101e-12
9,8,9.82278729e-11
