# i,K[cm^3/s]
1,2.03913739e-17
2,1.25105097e-15
3,3.04100905e-14
4,5.73509401e-13
5,1.13179333e-11
6,3.36736748e-10
7,6.23799049e-10
8,8.48814149e-10
9,1.18763524e-09
