t [s],Y_O2(1),Y_O2(2),Y_O2(3),Y_O,T [K],p [Pa],n [m^-3],E [J/kg]
0.0,0.9743589743587745,1.0256410256408154e-13,1.0256410256408154e-13,0.025641025641020387,10000.0,4999.999999999999,3.6214865170753223e+22,7296137.335517704
1e-14,0.9743589729400136,1.349735354959537e-09,4.9735932718896517e-11,0.025641025660515154,10000.0,5000.000000095035,3.621486517144158e+22,7296137.343312655
2e-14,0.9743589715212526,2.6993681395257624e-09,9.936930187630982e-11,0.025641025680009925,10000.0,5000.000000190073,3.6214865172129928e+22,7296137.351107606
1.0002000000000001e-10,0.9743447841577662,1.34987126932907e-05,4.964601120472772e-07,0.02564122066942852,10000.0,5000.000950763488,3.621487205710755e+22,7296215.299984059
2.0002e-10,0.9743305972857162,2.6994097011176107e-05,9.928749513916608e-07,0.025641415742321143,10000.0,5000.001901743839,3.6214878945032586e+22,7296293.247592663
3.0002e-10,0.9743164109050408,4.048885238930494e-05,1.4893438758492303e-06,0.02564161089869397,10000.0,5000.002853131158,3.621488583590527e+22,7296371.19393374
1.30002e-09,0.9741745741105119,0.00017540182899112796,6.457005334833373e-06,0.025643567055162103,10000.0,5000.01238939394,3.621495490679945e+22,7297150.58769936
2.30002e-09,0.9740327863847791,0.00031025198610478647,1.1430062642481169e-05,0.025645531566473607,10000.0,5000.021966386583,3.6215024272698914e+22,7297929.855066231
3.3000200000000004e-09,0.9738910476659749,0.00044503939084054124,1.6408504403791836e-05,0.025647504438780784,10000.0,5000.031584139081,3.621509393382091e+22,7298708.9963536635
4.30002e-09,0.9737493578920197,0.0005797641105175434,2.1392319202151234e-05,0.025649485678260624,10000.0,5000.041242681545,3.6215163890383523e+22,7299488.011882205
1.430002e-08,0.9723351384958178,0.0019235783869228878,7.152349144075427e-05,0.02566975962581852,10000.0,5000.140078175889,3.621587975320388e+22,7307271.320878077
2.430002e-08,0.9709257456420664,0.0032611976798009794,0.00012217959928356197,0.0256908770788491,10000.0,5000.243025759414,3.621662539977528e+22,7315042.40586788
3.430002e-08,0.969521118023976,0.0045926881253858885,0.00017334964831622609,0.025712844202321936,10000.0,5000.350115486344,3.6217401047779662e+22,7322801.585791321
4.430002e-08,0.9681211947972199,0.005918115154265308,0.00022502288966209946,0.02573566715885258,10000.0,5000.46137739943,3.6218206914815877e+22,7330549.178636904
5.4300019999999996e-08,0.9667259155835337,0.00723754348743154,0.00027718881681718414,0.02575935211221748,10000.0,5000.576841547084,3.6219043218523748e+22,7338285.501444187
1.5430002e-07,0.9530155902683445,0.02011563826255028,0.0008237953968784835,0.026044976072225556,10000.0,5001.969258352118,3.622912845589491e+22,7415097.981992607
2.5430002e-07,0.9397066469272999,0.032459924534938615,0.001409710590403358,0.026423717947354985,10000.0,5003.815624993365,3.6242501639688612e+22,7491125.739809605
3.5430002e-07,0.9267461113989802,0.04432397802809386,0.0020276330902240206,0.026902277482698612,10000.0,5006.148602728164,3.625939933451103e+22,7566672.731368132
4.5430002e-07,0.9140851800913914,0.0557550902305779,0.00267169664368055,0.027488033034346816,10000.0,5009.004161042449,3.6280082066378846e+22,7642037.580396568
5.5430002e-07,0.9016789296836655,0.06679463086372714,0.003337139904691183,0.028189299547912768,10000.0,5012.422835296082,3.630484343181046e+22,7717516.011266648
6.5430002e-07,0.8894860266695565,0.07747836286415384,0.004020039092724734,0.029015571373561633,10000.0,5016.45091044612,3.633401867150172e+22,7793403.483943729
8.31589418062724e-07,0.8682779958593959,0.09563581603488498,0.0052637045304570204,0.03082248357525881,10000.0,5025.259607429395,3.639781982621758e+22,7929874.276006279
1.0088788161254481e-06,0.8474339282604452,0.11289741357243321,0.006536590417999209,0.033132067749119136,10000.0,5036.518830276965,3.6479370073688016e+22,8070283.836634416
1.186168214188172e-06,0.8267924134666716,0.12934252390475492,0.007825137072133819,0.03603992555643634,10000.0,5050.694637087636,3.6582045060155035e+22,8216452.413534437
1.363457612250896e-06,0.8062175140692341,0.1449986429584571,0.009115434843186792,0.03966840812911857,10000.0,5068.383489629461,3.6710164942120546e+22,8370367.269877335
1.5407470103136199e-06,0.7855981962695406,0.15983742359874348,0.010391585094305402,0.04417279503740719,10000.0,5090.342375807369,3.6869212562567113e+22,8534245.19661526
1.7533691857914455e-06,0.7606925205172516,0.17642119490380867,0.011875698927990798,0.051010585650945676,10000.0,5123.676605048369,3.7110651486073875e+22,8747511.970104955
1.965991361269271e-06,0.7354978692187681,0.19141301341639214,0.013269193662210679,0.0598199237026257,10000.0,5166.62212805031,3.7421704751114426e+22,8983827.640514757
2.1786135367470968e-06,0.7099582766526406,0.204385115854,0.014519060518520375,0.0711375469748357,10000.0,5221.795541502333,3.7821324296949475e+22,9249183.248100035
2.3912357122249224e-06,0.6840442573293907,0.21477696483139105,0.015562998160529614,0.08561577967868539,10000.0,5292.3769259336,3.833254336109818e+22,9550674.720703283
2.7426565111902757e-06,0.6401876938325045,0.22464367573661273,0.01666094573602297,0.11850768469485659,10000.0,5452.724962887436,3.949393986883379e+22,10151006.281753419
2.830511710931614e-06,0.6289594420647843,0.22543397440993043,0.016789736873705767,0.12881684665157633,10000.0,5502.982127426447,3.9857951156362705e+22,10324970.374269452
2.9183669106729523e-06,0.6175654821877704,0.2255092898043911,0.016860677695110123,0.1400645503127252,10000.0,5557.814682774547,4.025510187614258e+22,10509964.37712044
3.0062221104142907e-06,0.6059725120724669,0.22486145628476922,0.016866320216597803,0.15229971142616275,10000.0,5617.461093202555,4.068711921845652e+22,10706663.616288418
3.094077310155629e-06,0.5941364736431002,0.2234952991767587,0.0168064029574513,0.1655618242226865,10000.0,5682.113893085608,4.115539770459182e+22,10915735.4431195
3.157719455108946e-06,0.5853809500203274,0.2220660745835119,0.016725268712896743,0.17582770668326062,10000.0,5732.160070080908,4.15178808150311e+22,11075281.096749062
3.221361600062263e-06,0.5764517988084756,0.22027855143832628,0.016613558517143603,0.18665609123605123,10000.0,5784.948444775761,4.1900225589462574e+22,11241843.04921091
3.28500374501558e-06,0.5673287356892497,0.21814623201478778,0.0164718806684622,0.19805315162749723,10000.0,5840.509114184063,4.230265001974625e+22,11415598.229431449
3.3345733056806353e-06,0.5600761194852016,0.21625633871653474,0.0163416602477436,0.20732588155051682,10000.0,5885.713672558783,4.263006541707504e+22,11556005.854442168
3.3841428663456904e-06,0.5526844126615262,0.21417535600776255,0.016195058170314382,0.21694517316039372,10000.0,5932.607719156934,4.296971773204764e+22,11700915.652361143
3.4337124270107456e-06,0.5451451678449601,0.2119121845424489,0.01603296836721395,0.22690967924537384,10000.0,5981.18468632121,4.332155939529933e+22,11850361.16407565
3.5397781997392956e-06,0.5284820616528216,0.20650483310975218,0.015638526660911263,0.24937457857651174,10000.0,6090.70107056051,4.411478361314225e+22,12185398.671157764
3.6458439724678457e-06,0.5110568699164733,0.20039777205238402,0.015185631805759681,0.27335972622537985,10000.0,6207.628665348741,4.496168702914151e+22,12541044.84273002
3.7519097451963957e-06,0.49283623598540915,0.19369004737900683,0.014683291457025025,0.29879042517855575,10000.0,6331.6033227454745,4.585963212958411e+22,12916686.765330859
3.872010230032675e-06,0.4712505910154736,0.18548698933540966,0.014065250917226154,0.32919716873188726,10000.0,6479.836197567966,4.693327884469805e+22,13364700.149256278
3.992110714868954e-06,0.44870975869213725,0.17675411586059755,0.01340501634948704,0.36113110909777485,10000.0,6635.514156851668,4.806085010580151e+22,13834487.380953675
4.1122111997052336e-06,0.42532493767965057,0.16760862711975025,0.012712777640370538,0.39435365756022533,10000.0,6797.474080606115,4.923392146616807e+22,14322863.263050096
4.232852524004468e-06,0.40114945349695785,0.158113739806016,0.011995924173390703,0.4287408825236322,10000.0,6965.111802302726,5.0448116963923055e+22,14828208.431511272
4.263012855079277e-06,0.3950163330703513,0.15570317386162186,0.01181293653740518,0.4374675565306184,10000.0,7007.654338086784,5.075625140341138e+22,14956436.389932303
4.293173186154085e-06,0.3888558259674019,0.1532824342195704,0.011627631962052666,0.44623410785097173,10000.0,7050.391275773505,5.106579389063847e+22,15085238.275748823
4.323333517228894e-06,0.38267277068707545,0.15085104309802963,0.011442069893566276,0.45503411632132534,10000.0,7093.291317066479,5.137651773288745e+22,15214529.438336976
4.343638771287801e-06,0.37849908523084264,0.14920880350169863,0.011317360224039836,0.4609747510434156,10000.0,7122.25191133667,5.158627853623941e+22,15301811.871484555
4.450530659533275e-06,0.3564617424839612,0.14053176731853786,0.010658752652355302,0.49234773754514227,10000.0,7275.195220532586,5.269404280049921e+22,15762735.880430434
4.55742254777875e-06,0.3344039911113884,0.13183959338154227,0.00999984765923051,0.5237565678478353,10000.0,7428.313268258216,5.380307269121772e+22,16224164.700141663
4.664314436024224e-06,0.31248650439420705,0.12319986758060968,0.009344646773800569,0.5549689812513792,10000.0,7580.473783600493,5.49051672007043e+22,16682693.55366654
