# i,j,K[cm^3/s]
2,1,1.51055134e-10
3,1,2.91993910e-11
3,2,1.74071359e-10
4,1,1.00524933e-11
4,2,3.88122840e-11
4,3,1.75569200e-10
5,1,4.62404444e-12
5,2,1.59293837e-11
5,3,4.70761342e-11
5,4,1.81508762e-10
6,1,2.38838217e-12
6,2,7.48948048e-12
6,3,1.93329004e-11
6,4,4.90470152e-11
6,5,1.81148601e-10
7,1,1.41068899e-12
7,2,3.95391892e-12
7,3,9.39466858e-12
7,4,2.06312025e-11
7,5,5.02056711e-11
7,6,1.83895615e-10
8,1,9.39467794e-13
8,2,2.52993657e-12
8,3,5.35499323e-12
8,4,1.05325183e-11
8,5,2.21236101e-11
8,6,5.27796786e-11
8,7,1.78604785e-10
9,1,6.72849642e-13
9,2,1.62351284e-12
9,3,3.30183097e-12
9,4,5.91626155e-12
9,5,1.11209237e-11
9,6,2.28484900e-11
9,7,5.15931680e-11
9,8,1.80206987e-10
10,1,4.94454109e-13
10,2,1.13156428e-12
10,3,2.16152445e-12
10,4,3.73487227e-12
10,5,6.44369386e-12
10,6,1.18523927e-11
10,7,2.25926331e-11
10,8,5.23048249e-11
10,9,1.79776155e-10
11,1,3.71832475e-13
11,2,8.24539412e-13
11,3,1.52106378e-12
11,4,2.50233088e-12
11,5,4.02346682e-12
11,6,6.77158255e-12
11,7,1.15165586e-11
11,8,2.25509212e-11
11,9,5.09681705e-11
11,10,1.79737630e-10
12,1,2.92013620e-13
12,2,6.37290319e-13
12,3,1.13367613e-12
12,4,1.78804278e-12
12,5,2.74063962e-12
12,6,4.32414110e-12
12,7,6.66068530e-12
12,8,1.15434972e-11
12,9,2.18972897e-11
12,10,4.97129476e-11
12,11,1.80154139e-10
13,1,2.38054923e-13
13,2,5.11513253e-13
13,3,8.82442014e-13
13,4,1.33031763e-12
13,5,1.99025405e-12
13,6,3.02664215e-12
13,7,4.38679328e-12
13,8,6.82782855e-12
13,9,1.11090550e-11
13,10,2.09644024e-11
13,11,4.78050913e-11
13,12,1.74682060e-10
14,1,2.02209793e-13
14,2,4.26289732e-13
14,3,7.00177696e-13
14,4,1.06673538e-12
14,5,1.55699301e-12
14,6,2.25788768e-12
14,7,3.05059751e-12
14,8,4.49645968e-12
14,9,6.64239156e-12
14,10,1.07139578e-11
14,11,1.95449830e-11
14,12,4.34747587e-11
14,13,1.70804577e-10
15,1,1.58740789e-13
15,2,3.34083621e-13
15,3,5.81494758e-13
15,4,8.54793213e-13
15,5,1.22468454e-12
15,6,1.73628994e-12
15,7,2.32407696e-12
15,8,3.20229245e-12
15,9,4.43436069e-12
15,10,6.44143029e-12
15,11,1.00748268e-11
15,12,1.76499685e-11
15,13,3.98475697e-11
15,14,1.63830944e-10
16,1,1.26992718e-13
16,2,2.78072392e-13
16,3,4.74270076e-13
16,4,6.86193370e-13
16,5,9.75248609e-13
16,6,1.34729203e-12
16,7,1.76543996e-12
16,8,2.38681212e-12
16,9,3.16979536e-12
16,10,4.31359334e-12
16,11,6.11632752e-12
16,12,9.18691467e-12
16,13,1.61294933e-11
16,14,3.56590937e-11
16,15,1.51248529e-10
17,1,9.53564688e-14
17,2,2.04314647e-13
17,3,3.57756352e-13
17,4,5.28199222e-13
17,5,7.34018942e-13
17,6,1.00435718e-12
17,7,1.27792965e-12
17,8,1.70652666e-12
17,9,2.21627953e-12
17,10,2.87543347e-12
17,11,3.90769717e-12
17,12,5.34416026e-12
17,13,8.13422818e-12
17,14,1.39297544e-11
17,15,2.92108804e-11
17,16,1.29788188e-10
18,1,6.23037130e-14
18,2,1.30482481e-13
18,3,2.32278462e-13
18,4,3.41073085e-13
18,5,5.03477895e-13
18,6,6.90351680e-13
18,7,8.80638187e-13
18,8,1.21517777e-12
18,9,1.60258300e-12
18,10,2.07863606e-12
18,11,2.76293258e-12
18,12,3.72885027e-12
18,13,5.36521686e-12
18,14,8.15725018e-12
18,15,1.37366826e-11
18,16,2.94448991e-11
18,17,1.44442753e-10
19,1,4.63984322e-14
19,2,9.50148962e-14
19,3,1.57168157e-13
19,4,2.44644915e-13
19,5,3.40885900e-13
19,6,4.81379761e-13
19,7,6.30893602e-13
19,8,8.43000948e-13
19,9,1.10939720e-12
19,10,1.47577718e-12
19,11,1.96516093e-12
19,12,2.58490612e-12
19,13,3.55360788e-12
19,14,5.09876844e-12
19,15,7.78426150e-12
19,16,1.35967286e-11
19,17,3.06122070e-11
19,18,1.40160397e-10
20,1,3.45357778e-14
20,2,6.78144502e-14
20,3,1.15010086e-13
20,4,1.72784721e-13
20,5,2.54413304e-13
20,6,3.51947201e-13
20,7,4.37646820e-13
20,8,6.15176928e-13
20,9,8.06355307e-13
20,10,1.03814847e-12
20,11,1.36495991e-12
20,12,1.74426981e-12
20,13,2.32829961e-12
20,14,3.32408167e-12
20,15,4.59908173e-12
20,16,7.41252056e-12
20,17,1.35630489e-11
20,18,2.65519921e-11
20,19,1.44798010e-10
21,1,2.12664837e-14
21,2,4.96250897e-14
21,3,7.66347847e-14
21,4,1.23694689e-13
21,5,1.71406162e-13
21,6,2.54065036e-13
21,7,3.26080585e-13
21,8,4.34196071e-13
21,9,5.38751989e-13
21,10,7.21498273e-13
21,11,9.22412072e-13
21,12,1.18371287e-12
21,13,1.54599406e-12
21,14,2.15647109e-12
21,15,2.89108014e-12
21,16,4.31923345e-12
21,17,7.22940948e-12
21,18,1.15303712e-11
21,19,2.52430110e-11
21,20,1.43472461e-10
22,1,1.43572928e-14
22,2,2.36750966e-14
22,3,5.10054852e-14
22,4,7.78145623e-14
22,5,1.19306496e-13
22,6,1.78988013e-13
22,7,2.11031674e-13
22,8,2.92683090e-13
22,9,3.88364568e-13
22,10,5.11173937e-13
22,11,6.40849848e-13
22,12,8.14919296e-13
22,13,1.05314507e-12
22,14,1.41775367e-12
22,15,1.86441400e-12
22,16,2.75622434e-12
22,17,4.24944580e-12
22,18,5.94823528e-12
22,19,1.02798544e-11
22,20,2.26328760e-11
22,21,1.41470099e-10
23,1,6.97290517e-15
23,2,1.47311637e-14
23,3,3.84106802e-14
23,4,4.71560145e-14
23,5,7.16001874e-14
23,6,9.20088294e-14
23,7,1.39009987e-13
23,8,1.86452310e-13
23,9,2.37343354e-13
23,10,3.33633537e-13
23,11,4.55483073e-13
23,12,5.71487286e-13
23,13,7.45634062e-13
23,14,9.85832476e-13
23,15,1.23275541e-12
23,16,1.80295905e-12
23,17,2.67701010e-12
23,18,3.39646981e-12
23,19,5.05776038e-12
23,20,9.01499819e-12
23,21,2.16024814e-11
23,22,1.36870496e-10
24,1,4.39792004e-15
24,2,6.75796325e-15
24,3,1.43236851e-14
24,4,2.85496020e-14
24,5,4.42095292e-14
24,6,6.10360388e-14
24,7,9.11129592e-14
24,8,1.09577176e-13
24,9,1.62508239e-13
24,10,2.13269944e-13
24,11,2.80743059e-13
24,12,3.52838767e-13
24,13,5.02387599e-13
24,14,6.48003369e-13
24,15,8.50218019e-13
24,16,1.13710728e-12
24,17,1.67822553e-12
24,18,1.99070565e-12
24,19,2.53936126e-12
24,20,4.04200815e-12
24,21,7.90110725e-12
24,22,1.96719919e-11
24,23,1.32674958e-10
