# i,K[cm^3/s]
1,1.93880960e-15
2,3.66905152e-15
3,3.77475539e-15
4,2.66253821e-15
5,1.07839870e-14
6,3.09735159e-14
7,8.96031691e-14
8,2.22505777e-13
9,4.12270448e-13
10,9.69122686e-13
11,2.01188662e-12
12,4.47483253e-12
13,1.01490138e-11
14,2.28551967e-11
15,5.71308598e-11
16,1.53161188e-10
17,7.15446488e-10
18,7.26480690e-10
19,7.25171873e-10
20,7.45571013e-10
21,7.73037257e-10
22,9.39928572e-10
23,9.81505351e-10
24,1.15736825e-09
25,1.24378700e-09
26,1.44996562e-09
27,1.95927270e-09
