# i,E[eV]
1,-4.94822191e+00
2,-4.65054129e+00
3,-4.35062163e+00
4,-4.04505724e+00
5,-3.74162375e+00
6,-3.43519466e+00
7,-3.12900058e+00
8,-2.82474550e+00
9,-2.51740111e+00
10,-2.21040305e+00
11,-1.90229702e+00
12,-1.59515738e+00
13,-1.28886707e+00
14,-9.80830820e-01
15,-6.73787230e-01
16,-3.68287504e-01
17,-5.95239668e-02
18,2.38717212e-01
19,5.44452647e-01
20,8.53752445e-01
21,1.15881138e+00
22,1.46543536e+00
23,1.77361853e+00
24,2.07992961e+00
25,2.38288541e+00
26,2.69218147e+00
27,2.99034689e+00
