O2(1)+O=O+O+O:1.4036e-10,+0.0000E+00,+0.0000E+00,2
O2(2)+O=O+O+O:1.2678e-09,+0.0000E+00,+0.0000E+00,2
O2(3)+O=O+O+O:7.7463e-11,+0.0000E+00,+0.0000E+00,2
O2(4)+O=O+O+O:1.8271e-09,+0.0000E+00,+0.0000E+00,2
O2(5)+O=O+O+O:1.8255e-09,+0.0000E+00,+0.0000E+00,2
O2(6)+O=O+O+O:7.3107e-09,+0.0000E+00,+0.0000E+00,2
O2(7)+O=O+O+O:5.6188e-12,+0.0000E+00,+0.0000E+00,2
O2(8)+O=O+O+O:8.6592e-12,+0.0000E+00,+0.0000E+00,2
O2(9)+O=O+O+O:6.7815e-12,+0.0000E+00,+0.0000E+00,2
O2(10)+O=O+O+O:1.0736e-11,+0.0000E+00,+0.0000E+00,2
O2(11)+O=O+O+O:7.0727e-10,+0.0000E+00,+0.0000E+00,2
O2(12)+O=O+O+O:3.9539e-10,+0.0000E+00,+0.0000E+00,2
O2(13)+O=O+O+O:4.6916e-12,+0.0000E+00,+0.0000E+00,2
O2(14)+O=O+O+O:2.3245e-11,+0.0000E+00,+0.0000E+00,2
O2(15)+O=O+O+O:3.9969e-12,+0.0000E+00,+0.0000E+00,2
O2(16)+O=O+O+O:1.8633e-11,+0.0000E+00,+0.0000E+00,2
O2(17)+O=O+O+O:2.5624e-09,+0.0000E+00,+0.0000E+00,2
O2(18)+O=O+O+O:6.7951e-11,+0.0000E+00,+0.0000E+00,2
O2(19)+O=O+O+O:1.2395e-11,+0.0000E+00,+0.0000E+00,2
O2(20)+O=O+O+O:4.3422e-11,+0.0000E+00,+0.0000E+00,2
O2(21)+O=O+O+O:5.4588e-11,+0.0000E+00,+0.0000E+00,2
O2(22)+O=O+O+O:8.1295e-11,+0.0000E+00,+0.0000E+00,2
O2(23)+O=O+O+O:2.5516e-10,+0.0000E+00,+0.0000E+00,2
O2(24)+O=O+O+O:2.7560e-11,+0.0000E+00,+0.0000E+00,2
O2(25)+O=O+O+O:1.4821e-11,+0.0000E+00,+0.0000E+00,2
O2(26)+O=O+O+O:9.8783e-11,+0.0000E+00,+0.0000E+00,2
O2(27)+O=O+O+O:2.3627e-09,+0.0000E+00,+0.0000E+00,2
O2(28)+O=O+O+O:3.4147e-11,+0.0000E+00,+0.0000E+00,2
O2(29)+O=O+O+O:4.4316e-10,+0.0000E+00,+0.0000E+00,2
O2(30)+O=O+O+O:1.6136e-09,+0.0000E+00,+0.0000E+00,2
O2(31)+O=O+O+O:1.9245e-09,+0.0000E+00,+0.0000E+00,2
O2(32)+O=O+O+O:2.9838e-10,+0.0000E+00,+0.0000E+00,2
O2(33)+O=O+O+O:2.1014e-10,+0.0000E+00,+0.0000E+00,2
O2(34)+O=O+O+O:1.8956e-11,+0.0000E+00,+0.0000E+00,2
O2(35)+O=O+O+O:1.1781e-10,+0.0000E+00,+0.0000E+00,2
O2(36)+O=O+O+O:3.6016e-10,+0.0000E+00,+0.0000E+00,2
O2(37)+O=O+O+O:2.7461e-09,+0.0000E+00,+0.0000E+00,2
O2(38)+O=O+O+O:6.3728e-10,+0.0000E+00,+0.0000E+00,2
O2(39)+O=O+O+O:1.7210e-10,+0.0000E+00,+0.0000E+00,2
O2(40)+O=O+O+O:5.3313e-10,+0.0000E+00,+0.0000E+00,2
O2(41)+O=O+O+O:7.8990e-10,+0.0000E+00,+0.0000E+00,2
O2(42)+O=O+O+O:1.3414e-09,+0.0000E+00,+0.0000E+00,2
O2(43)+O=O+O+O:3.2583e-09,+0.0000E+00,+0.0000E+00,2
O2(44)+O=O+O+O:3.9425e-09,+0.0000E+00,+0.0000E+00,2
O2(45)+O=O+O+O:8.9849e-10,+0.0000E+00,+0.0000E+00,2
