# i,K[cm^3/s]
1,1.99362576e-14
2,3.77414115e-14
3,9.34580912e-14
4,1.69735064e-13
5,2.71911080e-13
6,5.31638910e-13
7,8.82794102e-13
8,1.50321603e-12
9,2.81989550e-12
10,5.18662047e-12
11,9.33430479e-12
12,1.68714896e-11
13,3.17290671e-11
14,6.15766545e-11
15,1.26278551e-10
16,2.74003658e-10
17,9.62359698e-10
18,9.60581729e-10
19,9.57494387e-10
20,9.79809310e-10
21,1.01078519e-09
22,1.19391062e-09
23,1.24833056e-09
24,1.44384895e-09
25,1.55517191e-09
26,1.77758093e-09
27,2.35901192e-09
