# i,j,K[cm^3/s]
2,1,8.61614048e-12
3,1,5.69141263e-12
3,2,1.04276138e-11
4,1,4.14671643e-12
4,2,7.91862367e-12
4,3,1.15186109e-11
5,1,3.04763217e-12
5,2,6.14652942e-12
5,3,9.51681191e-12
5,4,1.21955605e-11
6,1,2.42617635e-12
6,2,4.85463897e-12
6,3,7.79960118e-12
6,4,1.05859723e-11
6,5,1.28232162e-11
7,1,1.87068152e-12
7,2,3.91002225e-12
7,3,6.40892344e-12
7,4,9.04478082e-12
7,5,1.17086358e-11
7,6,1.41727642e-11
8,1,1.55272277e-12
8,2,3.30458363e-12
8,3,5.45957413e-12
8,4,7.85486800e-12
8,5,1.03113210e-11
8,6,1.31336643e-11
8,7,1.48980745e-11
9,1,1.31977858e-12
9,2,2.77686741e-12
9,3,4.65716135e-12
9,4,6.74907744e-12
9,5,9.07051966e-12
9,6,1.17466694e-11
9,7,1.40908376e-11
9,8,1.64074217e-11
10,1,1.07248585e-12
10,2,2.35420161e-12
10,3,4.02835714e-12
10,4,5.90819108e-12
10,5,8.01832061e-12
10,6,1.05582795e-11
10,7,1.30388692e-11
10,8,1.59349163e-11
10,9,1.81331832e-11
11,1,9.14400923e-13
11,2,1.99691059e-12
11,3,3.46428375e-12
11,4,5.12752131e-12
11,5,7.03857497e-12
11,6,9.46942713e-12
11,7,1.18676473e-11
11,8,1.50060225e-11
11,9,1.82138125e-11
11,10,2.04611120e-11
12,1,7.95990312e-13
12,2,1.73475552e-12
12,3,2.98018298e-12
12,4,4.40754421e-12
12,5,6.14978429e-12
12,6,8.45066582e-12
12,7,1.08056068e-11
12,8,1.39865533e-11
12,9,1.73827554e-11
12,10,2.05457956e-11
12,11,2.31916533e-11
13,1,6.74458428e-13
13,2,1.47195051e-12
13,3,2.60483459e-12
13,4,3.89149921e-12
13,5,5.43957246e-12
13,6,7.50900089e-12
13,7,9.68512734e-12
13,8,1.27013423e-11
13,9,1.60651855e-11
13,10,1.97412929e-11
13,11,2.34393953e-11
13,12,2.60705816e-11
14,1,5.79077218e-13
14,2,1.29385139e-12
14,3,2.23494146e-12
14,4,3.37710846e-12
14,5,4.81147689e-12
14,6,6.61097884e-12
14,7,8.69995654e-12
14,8,1.14684682e-11
14,9,1.46470689e-11
14,10,1.83446954e-11
14,11,2.25409225e-11
14,12,2.64253827e-11
14,13,3.00209200e-11
15,1,4.89222532e-13
15,2,1.06857211e-12
15,3,1.88627201e-12
15,4,2.86640340e-12
15,5,4.05134555e-12
15,6,5.70487343e-12
15,7,7.55563044e-12
15,8,1.01426376e-11
15,9,1.31807973e-11
15,10,1.68353176e-11
15,11,2.14918385e-11
15,12,2.58645470e-11
15,13,3.07586483e-11
15,14,3.54422337e-11
16,1,4.00605079e-13
16,2,9.00912649e-13
16,3,1.59951375e-12
16,4,2.45361536e-12
16,5,3.57426112e-12
16,6,5.00952462e-12
16,7,6.66427408e-12
16,8,8.92879047e-12
16,9,1.17184284e-11
16,10,1.50617481e-11
16,11,1.92080474e-11
16,12,2.35735208e-11
16,13,2.89410482e-11
16,14,3.51212189e-11
16,15,4.19318978e-11
17,1,3.08425424e-13
17,2,7.11444880e-13
17,3,1.27456575e-12
17,4,1.95824160e-12
17,5,2.84345561e-12
17,6,4.02138570e-12
17,7,5.37427937e-12
17,8,7.29634140e-12
17,9,9.64434307e-12
17,10,1.25263053e-11
17,11,1.62084263e-11
17,12,2.02831600e-11
17,13,2.54772905e-11
17,14,3.17350764e-11
17,15,3.95969754e-11
17,16,5.02319906e-11
18,1,2.78065984e-13
18,2,6.42183310e-13
18,3,1.17116761e-12
18,4,1.81218183e-12
18,5,2.70646597e-12
18,6,3.97617897e-12
18,7,5.40786551e-12
18,8,7.40536658e-12
18,9,9.85712383e-12
18,10,1.28175948e-11
18,11,1.66206187e-11
18,12,2.08680639e-11
18,13,2.61143581e-11
18,14,3.21887075e-11
18,15,3.98615708e-11
18,16,4.95688120e-11
18,17,6.18604630e-11
19,1,2.38639541e-13
19,2,5.75425588e-13
19,3,1.09767717e-12
19,4,1.77904226e-12
19,5,2.63668334e-12
19,6,3.91671517e-12
19,7,5.34954973e-12
19,8,7.41982410e-12
19,9,9.90232305e-12
19,10,1.28795825e-11
19,11,1.68143659e-11
19,12,2.11317779e-11
