# i,E[eV]
1,-4.94419081e+00
2,-4.64689670e+00
3,-4.34675052e+00
4,-4.04137669e+00
5,-3.73790011e+00
6,-3.43131001e+00
7,-3.12533564e+00
8,-2.82092962e+00
9,-2.51363796e+00
10,-2.20661083e+00
11,-1.89847336e+00
12,-1.59143419e+00
13,-1.28508304e+00
14,-9.77031734e-01
15,-6.70073626e-01
16,-3.64552803e-01
17,-5.58097383e-02
18,2.42283530e-01
19,5.48288161e-01
20,8.57397382e-01
21,1.16251471e+00
22,1.46919825e+00
23,1.77749347e+00
24,2.08339194e+00
25,2.38670230e+00
26,2.69578757e+00
27,2.99352999e+00
