# i,E[eV]
1,-4.87148354e+00
2,-4.43660042e+00
3,-3.98553035e+00
4,-3.52994343e+00
5,-3.07103486e+00
6,-2.61401576e+00
7,-2.15492259e+00
8,-1.69453257e+00
9,-1.23498050e+00
10,-7.75081273e-01
11,-3.09632388e-01
12,1.23710040e-01
13,5.90072234e-01
14,1.05141137e+00
15,1.51310439e+00
16,1.97475706e+00
17,2.42425896e+00
18,2.87366564e+00
