# i,K[cm^3/s]
1,0.00000000e+00
2,4.33656796e-17
3,6.89063175e-16
4,2.36591259e-15
5,1.22609774e-14
6,7.13312305e-14
7,2.77045188e-13
8,1.27820922e-12
9,5.60794770e-12
10,2.47398926e-11
11,1.54558864e-10
12,7.89391409e-10
13,6.17254755e-10
14,6.48215165e-10
15,8.23548257e-10
16,9.54122651e-10
17,1.12159241e-09
18,1.53685029e-09
