# i,K[cm^3/s]
1,0.00000000e+00
2,4.32456644e-17
3,1.59544606e-17
4,5.23484150e-16
5,1.44628857e-15
6,2.75081820e-15
7,9.36573614e-15
8,2.95294061e-14
9,9.36986703e-14
10,2.19861708e-13
11,5.76627023e-13
12,1.70298201e-12
13,4.36509239e-12
14,1.17625614e-11
15,3.29353512e-11
16,1.03504743e-10
17,5.94999758e-10
18,6.12669353e-10
19,6.14714224e-10
20,6.32481672e-10
21,6.56389599e-10
22,8.22232850e-10
23,8.51938891e-10
24,1.01541626e-09
25,1.09563067e-09
26,1.28478454e-09
27,1.76962643e-09
