# i,j,K[cm^3/s]
2,1,8.57727042e-12
3,1,5.38179166e-12
3,2,9.33036475e-12
4,1,3.74899827e-12
4,2,7.05435810e-12
4,3,9.97716388e-12
5,1,2.73782720e-12
5,2,5.37970652e-12
5,3,8.07934863e-12
5,4,1.02546659e-11
6,1,2.08592846e-12
6,2,4.20240878e-12
6,3,6.64067851e-12
6,4,8.97312079e-12
6,5,1.06589514e-11
7,1,1.64143884e-12
7,2,3.36133192e-12
7,3,5.50271937e-12
7,4,7.61549780e-12
7,5,9.76758449e-12
7,6,1.14433154e-11
8,1,1.34754408e-12
8,2,2.71375027e-12
8,3,4.54233650e-12
8,4,6.53627303e-12
8,5,8.49941786e-12
8,6,1.07642287e-11
8,7,1.19561394e-11
9,1,1.05844573e-12
9,2,2.27760244e-12
9,3,3.84171258e-12
9,4,5.56524945e-12
9,5,7.42928245e-12
9,6,9.71009464e-12
9,7,1.15882860e-11
9,8,1.31424179e-11
10,1,8.82402456e-13
10,2,1.87364310e-12
10,3,3.26781540e-12
10,4,4.85333513e-12
10,5,6.63505224e-12
10,6,8.78632735e-12
10,7,1.07428205e-11
10,8,1.30437195e-11
10,9,1.44995113e-11
11,1,7.26863873e-13
11,2,1.62572386e-12
11,3,2.82170292e-12
11,4,4.21131999e-12
11,5,5.83087023e-12
11,6,7.85107277e-12
11,7,9.88272906e-12
11,8,1.23856629e-11
11,9,1.47702773e-11
11,10,1.62187630e-11
12,1,6.28634425e-13
12,2,1.35883575e-12
12,3,2.41457547e-12
12,4,3.66305505e-12
12,5,5.10307241e-12
12,6,6.97458898e-12
12,7,9.05527219e-12
12,8,1.16508008e-11
12,9,1.44331439e-11
12,10,1.69583640e-11
12,11,1.86236914e-11
13,1,5.13911668e-13
13,2,1.16895069e-12
13,3,2.09377604e-12
13,4,3.17819846e-12
13,5,4.50209677e-12
13,6,6.23269720e-12
13,7,8.15030661e-12
13,8,1.06677749e-11
13,9,1.35329482e-11
13,10,1.64730658e-11
13,11,1.95418969e-11
13,12,2.11195138e-11
14,1,4.44155414e-13
14,2,9.78935139e-13
14,3,1.80762188e-12
