# i,j,K[cm^3/s]
2,1,1.84664831e-11
3,1,9.84795340e-12
3,2,2.87617764e-11
4,1,5.93095839e-12
4,2,1.99713927e-11
4,3,4.03605325e-11
5,1,3.68945531e-12
5,2,1.35781742e-11
5,3,3.20313601e-11
5,4,6.07693168e-11
6,1,2.16319525e-12
6,2,8.51817174e-12
6,3,2.20573703e-11
6,4,4.88557929e-11
6,5,9.52514140e-11
7,1,1.41350380e-12
7,2,6.81755005e-12
7,3,1.98208782e-11
7,4,4.60820936e-11
7,5,9.00385508e-11
7,6,1.23385470e-10
8,1,6.84495699e-13
8,2,4.86069111e-12
8,3,1.67160282e-11
8,4,4.12395128e-11
8,5,8.31122912e-11
8,6,1.12239301e-10
8,7,3.44542323e-11
9,1,1.85450768e-13
9,2,2.13728914e-12
9,3,1.19162433e-11
9,4,3.77406280e-11
9,5,8.63306327e-11
9,6,1.18943767e-10
9,7,4.46797033e-11
9,8,1.06527807e-11
