# i,E[eV]
1,-4.64193198e+00
2,-3.80781925e+00
3,-2.90626583e+00
4,-1.99426138e+00
5,-1.07340088e+00
6,-1.63335540e-01
7,7.08410369e-01
8,1.62237649e+00
9,2.51293440e+00
