# i,K[cm^3/s]
1,3.17589246e-15
2,1.17415526e-14
3,1.98287608e-13
4,1.97778284e-12
5,2.32407900e-11
6,4.40695428e-10
7,7.36935047e-10
8,9.76845980e-10
9,1.35672245e-09
