# i,j,K[cm^3/s]
2,1,1.29142640e-10
3,1,1.09827297e-11
3,2,1.56541234e-10
4,1,3.11711731e-12
4,2,1.67339339e-11
4,3,1.59845648e-10
5,1,1.42917110e-12
5,2,5.39889977e-12
5,3,1.73885849e-11
5,4,1.49949346e-10
6,1,7.29134636e-13
6,2,2.51371701e-12
6,3,6.00200867e-12
6,4,1.52377116e-11
6,5,1.22042460e-10
7,1,2.56854770e-13
7,2,9.21328125e-13
7,3,2.21935665e-12
7,4,5.09897781e-12
7,5,1.34736569e-11
7,6,1.26117083e-10
8,1,7.36198582e-14
8,2,3.02132815e-13
8,3,7.39338268e-13
8,4,1.66857122e-12
8,5,3.68380089e-12
8,6,1.05994950e-11
8,7,1.17400249e-10
9,1,1.03300658e-14
9,2,4.67673903e-14
9,3,1.75190145e-13
9,4,4.90140391e-13
9,5,1.19582052e-12
9,6,2.81762151e-12
9,7,5.40763319e-12
9,8,1.05582499e-10
