# i,j,K[cm^3/s]
2,1,2.02813440e-11
3,1,1.17414927e-11
3,2,3.48741578e-11
4,1,7.41114636e-12
4,2,2.49519087e-11
4,3,5.05956365e-11
5,1,4.87847948e-12
5,2,1.74711209e-11
5,3,3.98591366e-11
5,4,7.43615258e-11
6,1,3.00515637e-12
6,2,1.15235692e-11
6,3,2.79052238e-11
6,4,5.79812057e-11
6,5,1.06538102e-10
7,1,2.17396271e-12
7,2,9.84297948e-12
7,3,2.64343723e-11
7,4,5.55817495e-11
7,5,1.00873823e-10
7,6,1.39343876e-10
8,1,1.16974097e-12
8,2,7.55235396e-12
8,3,2.35085928e-11
8,4,5.29998956e-11
8,5,9.73789959e-11
8,6,1.31388118e-10
8,7,5.65015705e-11
9,1,3.42165685e-13
9,2,3.79047494e-12
9,3,1.83699672e-11
9,4,5.15491497e-11
9,5,1.02533432e-10
9,6,1.36142630e-10
9,7,6.50909969e-11
9,8,2.40798129e-11
