# i,j,K[cm^3/s]
2,1,1.45593890e-10
3,1,1.86705034e-11
3,2,1.81994457e-10
4,1,5.89225024e-12
4,2,2.76797056e-11
4,3,1.82692578e-10
5,1,2.67365623e-12
5,2,9.57706757e-12
5,3,2.75589476e-11
5,4,1.67778435e-10
6,1,1.33478363e-12
6,2,4.39800767e-12
6,3,9.97887175e-12
6,4,2.39561678e-11
6,5,1.39292756e-10
7,1,5.28863614e-13
7,2,1.84565726e-12
7,3,4.22662624e-12
7,4,9.12193322e-12
7,5,2.28483571e-11
7,6,1.54277110e-10
8,1,1.67172000e-13
8,2,6.46174423e-13
8,3,1.64388995e-12
8,4,3.52042186e-12
8,5,7.48353562e-12
8,6,1.97544095e-11
8,7,1.45629373e-10
9,1,1.50607526e-14
9,2,1.22304984e-13
9,3,5.06965812e-13
9,4,1.40754082e-12
9,5,2.99516821e-12
9,6,6.01793230e-12
9,7,1.15684791e-11
9,8,1.34858288e-10
