# i,K[cm^3/s]
1,1.95778111e-12
2,4.66944565e-12
3,1.53139157e-11
4,5.32180409e-11
5,2.04384715e-10
6,1.10267947e-09
7,1.45550581e-09
8,1.78900950e-09
9,2.38018528e-09
