# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
5.70000000e+03 2.09204680e+01 2.13468521e+01 2.14083117e+01 2.08390271e+01 1.96782040e+01 
5.80000000e+03 2.09422214e+01 2.13492285e+01 2.13556862e+01 2.07145408e+01 1.94896951e+01 
5.90000000e+03 2.09625468e+01 2.13477559e+01 2.12978552e+01 2.05857525e+01 1.92995600e+01 
6.00000000e+03 2.09813731e+01 2.13424795e+01 2.12350767e+01 2.04530775e+01 1.91082280e+01 
6.10000000e+03 2.09986384e+01 2.13334562e+01 2.11676075e+01 2.03169110e+01 1.89160931e+01 
6.20000000e+03 2.10142898e+01 2.13207526e+01 2.10957028e+01 2.01776285e+01 1.87235161e+01 
6.30000000e+03 2.10282825e+01 2.13044438e+01 2.10196143e+01 2.00355851e+01 1.85308264e+01 
6.40000000e+03 2.10405798e+01 2.12846123e+01 2.09395893e+01 1.98911164e+01 1.83383240e+01 
6.50000000e+03 2.10511518e+01 2.12613463e+01 2.08558701e+01 1.97445387e+01 1.81462812e+01 
6.60000000e+03 2.10599758e+01 2.12347394e+01 2.07686929e+01 1.95961495e+01 1.79549447e+01 
6.70000000e+03 2.10670348e+01 2.12048889e+01 2.06782875e+01 1.94462279e+01 1.77645369e+01 
6.80000000e+03 2.10723182e+01 2.11718956e+01 2.05848765e+01 1.92950354e+01 1.75752582e+01 
6.90000000e+03 2.10758201e+01 2.11358625e+01 2.04886756e+01 1.91428166e+01 1.73872879e+01 
7.00000000e+03 2.10775398e+01 2.10968946e+01 2.03898925e+01 1.89897995e+01 1.72007866e+01 
7.10000000e+03 2.10774810e+01 2.10550978e+01 2.02887277e+01 1.88361970e+01 1.70158966e+01 
7.20000000e+03 2.10756514e+01 2.10105786e+01 2.01853736e+01 1.86822066e+01 1.68327441e+01 
7.30000000e+03 2.10720626e+01 2.09634439e+01 2.00800148e+01 1.85280121e+01 1.66514401e+01 
7.40000000e+03 2.10667293e+01 2.09137998e+01 1.99728281e+01 1.83737836e+01 1.64720818e+01 
7.50000000e+03 2.10596694e+01 2.08617523e+01 1.98639828e+01 1.82196785e+01 1.62947535e+01 
7.60000000e+03 2.10509032e+01 2.08074058e+01 1.97536401e+01 1.80658421e+01 1.61195277e+01 
7.70000000e+03 2.10404539e+01 2.07508638e+01 1.96419542e+01 1.79124085e+01 1.59464664e+01 
7.80000000e+03 2.10283465e+01 2.06922281e+01 1.95290715e+01 1.77595009e+01 1.57756215e+01 
7.90000000e+03 2.10146079e+01 2.06315987e+01 1.94151314e+01 1.76072324e+01 1.56070360e+01 
8.00000000e+03 2.09992670e+01 2.05690739e+01 1.93002665e+01 1.74557066e+01 1.54407449e+01 
8.10000000e+03 2.09823537e+01 2.05047496e+01 1.91846022e+01 1.73050182e+01 1.52767753e+01 
8.20000000e+03 2.09638995e+01 2.04387199e+01 1.90682577e+01 1.71552536e+01 1.51151481e+01 
8.30000000e+03 2.09439369e+01 2.03710762e+01 1.89513456e+01 1.70064911e+01 1.49558775e+01 
8.40000000e+03 2.09224992e+01 2.03019077e+01 1.88339724e+01 1.68588019e+01 1.47989724e+01 
8.50000000e+03 2.08996204e+01 2.02313013e+01 1.87162388e+01 1.67122501e+01 1.46444366e+01 
8.60000000e+03 2.08753354e+01 2.01593413e+01 1.85982397e+01 1.65668935e+01 1.44922693e+01 
8.70000000e+03 2.08496791e+01 2.00861094e+01 1.84800647e+01 1.64227839e+01 1.43424657e+01 
8.80000000e+03 2.08226873e+01 2.00116850e+01 1.83617979e+01 1.62799675e+01 1.41950171e+01 
8.90000000e+03 2.07943955e+01 1.99361448e+01 1.82435186e+01 1.61384853e+01 1.40499119e+01 
9.00000000e+03 2.07648396e+01 1.98595632e+01 1.81253013e+01 1.59983734e+01 1.39071351e+01 
9.10000000e+03 2.07340557e+01 1.97820117e+01 1.80072159e+01 1.58596634e+01 1.37666693e+01 
9.20000000e+03 2.07020794e+01 1.97035598e+01 1.78893277e+01 1.57223826e+01 1.36284947e+01 
9.30000000e+03 2.06689467e+01 1.96242743e+01 1.77716981e+01 1.55865548e+01 1.34925896e+01 
9.40000000e+03 2.06346930e+01 1.95442195e+01 1.76543845e+01 1.54521996e+01 1.33589302e+01 
9.50000000e+03 2.05993538e+01 1.94634576e+01 1.75374404e+01 1.53193339e+01 1.32274914e+01 
9.60000000e+03 2.05629639e+01 1.93820481e+01 1.74209157e+01 1.51879709e+01 1.30982466e+01 
9.70000000e+03 2.05255580e+01 1.93000486e+01 1.73048569e+01 1.50581214e+01 1.29711680e+01 
9.80000000e+03 2.04871705e+01 1.92175142e+01 1.71893073e+01 1.49297934e+01 1.28462267e+01 
9.90000000e+03 2.04478352e+01 1.91344980e+01 1.70743071e+01 1.48029923e+01 1.27233932e+01 
1.00000000e+04 2.04075854e+01 1.90510508e+01 1.69598935e+01 1.46777215e+01 1.26026371e+01 
1.01000000e+04 2.03664540e+01 1.89672214e+01 1.68461010e+01 1.45539822e+01 1.24839274e+01 
1.02000000e+04 2.03244733e+01 1.88830565e+01 1.67329613e+01 1.44317739e+01 1.23672327e+01 
1.03000000e+04 2.02816752e+01 1.87986011e+01 1.66205037e+01 1.43110940e+01 1.22525213e+01 
1.04000000e+04 2.02380910e+01 1.87138979e+01 1.65087553e+01 1.41919386e+01 1.21397611e+01 
1.05000000e+04 2.01937511e+01 1.86289881e+01 1.63977408e+01 1.40743022e+01 1.20289199e+01 
1.06000000e+04 2.01486859e+01 1.85439109e+01 1.62874827e+01 1.39581781e+01 1.19199654e+01 
1.07000000e+04 2.01029245e+01 1.84587038e+01 1.61780016e+01 1.38435583e+01 1.18128653e+01 
1.08000000e+04 2.00564961e+01 1.83734028e+01 1.60693163e+01 1.37304336e+01 1.17075873e+01 
1.09000000e+04 2.00094287e+01 1.82880419e+01 1.59614438e+01 1.36187941e+01 1.16040993e+01 
1.10000000e+04 1.99617499e+01 1.82026539e+01 1.58543991e+01 1.35086286e+01 1.15023691e+01 
1.11000000e+04 1.99134869e+01 1.81172699e+01 1.57481962e+01 1.33999253e+01 1.14023651e+01 
1.12000000e+04 1.98646658e+01 1.80319195e+01 1.56428470e+01 1.32926718e+01 1.13040555e+01 
1.13000000e+04 1.98153125e+01 1.79466310e+01 1.55383625e+01 1.31868548e+01 1.12074091e+01 
1.14000000e+04 1.97654521e+01 1.78614314e+01 1.54347519e+01 1.30824605e+01 1.11123948e+01 
1.15000000e+04 1.97151089e+01 1.77763461e+01 1.53320237e+01 1.29794746e+01 1.10189820e+01 
1.16000000e+04 1.96643071e+01 1.76913994e+01 1.52301846e+01 1.28778824e+01 1.09271403e+01 
1.17000000e+04 1.96130697e+01 1.76066146e+01 1.51292408e+01 1.27776686e+01 1.08368398e+01 
1.18000000e+04 1.95614194e+01 1.75220135e+01 1.50291970e+01 1.26788178e+01 1.07480509e+01 
