# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
2.47000000e+04 1.39989520e+01 1.53956514e+01 1.52394684e+01 1.42153282e+01 1.28400237e+01 
2.48000000e+04 1.40157637e+01 1.53929805e+01 1.52186512e+01 1.41819052e+01 1.27998338e+01 
2.49000000e+04 1.40322727e+01 1.53900292e+01 1.51976656e+01 1.41484548e+01 1.27597415e+01 
2.50000000e+04 1.40484816e+01 1.53868015e+01 1.51765156e+01 1.41149803e+01 1.27197483e+01 
2.51000000e+04 1.40643933e+01 1.53833014e+01 1.51552055e+01 1.40814847e+01 1.26798561e+01 
2.52000000e+04 1.40800102e+01 1.53795328e+01 1.51337392e+01 1.40479712e+01 1.26400664e+01 
2.53000000e+04 1.40953351e+01 1.53754997e+01 1.51121208e+01 1.40144426e+01 1.26003807e+01 
2.54000000e+04 1.41103707e+01 1.53712059e+01 1.50903540e+01 1.39809020e+01 1.25608005e+01 
2.55000000e+04 1.41251195e+01 1.53666553e+01 1.50684428e+01 1.39473521e+01 1.25213273e+01 
2.56000000e+04 1.41395842e+01 1.53618515e+01 1.50463909e+01 1.39137959e+01 1.24819624e+01 
2.57000000e+04 1.41537673e+01 1.53567983e+01 1.50242021e+01 1.38802358e+01 1.24427070e+01 
2.58000000e+04 1.41676714e+01 1.53514995e+01 1.50018798e+01 1.38466748e+01 1.24035626e+01 
2.59000000e+04 1.41812990e+01 1.53459586e+01 1.49794279e+01 1.38131152e+01 1.23645303e+01 
2.60000000e+04 1.41946527e+01 1.53401793e+01 1.49568496e+01 1.37795597e+01 1.23256112e+01 
2.61000000e+04 1.42077351e+01 1.53341650e+01 1.49341486e+01 1.37460107e+01 1.22868064e+01 
2.62000000e+04 1.42205485e+01 1.53279194e+01 1.49113282e+01 1.37124706e+01 1.22481171e+01 
2.63000000e+04 1.42330955e+01 1.53214459e+01 1.48883918e+01 1.36789418e+01 1.22095443e+01 
2.64000000e+04 1.42453786e+01 1.53147478e+01 1.48653426e+01 1.36454266e+01 1.21710889e+01 
2.65000000e+04 1.42574002e+01 1.53078286e+01 1.48421839e+01 1.36119272e+01 1.21327519e+01 
2.66000000e+04 1.42691627e+01 1.53006917e+01 1.48189189e+01 1.35784458e+01 1.20945342e+01 
2.67000000e+04 1.42806686e+01 1.52933403e+01 1.47955506e+01 1.35449846e+01 1.20564365e+01 
2.68000000e+04 1.42919202e+01 1.52857777e+01 1.47720822e+01 1.35115455e+01 1.20184598e+01 
2.69000000e+04 1.43029199e+01 1.52780072e+01 1.47485167e+01 1.34781306e+01 1.19806048e+01 
2.70000000e+04 1.43136701e+01 1.52700319e+01 1.47248570e+01 1.34447420e+01 1.19428723e+01 
2.71000000e+04 1.43241732e+01 1.52618549e+01 1.47011060e+01 1.34113815e+01 1.19052628e+01 
2.72000000e+04 1.43344314e+01 1.52534794e+01 1.46772666e+01 1.33780510e+01 1.18677772e+01 
2.73000000e+04 1.43444471e+01 1.52449085e+01 1.46533416e+01 1.33447524e+01 1.18304160e+01 
2.74000000e+04 1.43542225e+01 1.52361451e+01 1.46293338e+01 1.33114874e+01 1.17931798e+01 
2.75000000e+04 1.43637600e+01 1.52271924e+01 1.46052459e+01 1.32782577e+01 1.17560692e+01 
2.76000000e+04 1.43730618e+01 1.52180531e+01 1.45810806e+01 1.32450652e+01 1.17190847e+01 
2.77000000e+04 1.43821301e+01 1.52087304e+01 1.45568404e+01 1.32119113e+01 1.16822268e+01 
2.78000000e+04 1.43909672e+01 1.51992269e+01 1.45325281e+01 1.31787978e+01 1.16454960e+01 
2.79000000e+04 1.43995753e+01 1.51895457e+01 1.45081459e+01 1.31457261e+01 1.16088927e+01 
2.80000000e+04 1.44079565e+01 1.51796895e+01 1.44836966e+01 1.31126979e+01 1.15724173e+01 
2.81000000e+04 1.44161132e+01 1.51696611e+01 1.44591825e+01 1.30797146e+01 1.15360702e+01 
2.82000000e+04 1.44240473e+01 1.51594633e+01 1.44346060e+01 1.30467776e+01 1.14998517e+01 
2.83000000e+04 1.44317610e+01 1.51490987e+01 1.44099695e+01 1.30138884e+01 1.14637622e+01 
2.84000000e+04 1.44392565e+01 1.51385701e+01 1.43852753e+01 1.29810483e+01 1.14278020e+01 
2.85000000e+04 1.44465359e+01 1.51278800e+01 1.43605257e+01 1.29482587e+01 1.13919713e+01 
2.86000000e+04 1.44536013e+01 1.51170312e+01 1.43357228e+01 1.29155209e+01 1.13562704e+01 
2.87000000e+04 1.44604547e+01 1.51060261e+01 1.43108690e+01 1.28828361e+01 1.13206996e+01 
2.88000000e+04 1.44670983e+01 1.50948673e+01 1.42859663e+01 1.28502055e+01 1.12852589e+01 
2.89000000e+04 1.44735339e+01 1.50835575e+01 1.42610169e+01 1.28176303e+01 1.12499487e+01 
2.90000000e+04 1.44797638e+01 1.50720989e+01 1.42360228e+01 1.27851118e+01 1.12147690e+01 
2.91000000e+04 1.44857898e+01 1.50604941e+01 1.42109861e+01 1.27526510e+01 1.11797200e+01 
2.92000000e+04 1.44916140e+01 1.50487455e+01 1.41859089e+01 1.27202490e+01 1.11448018e+01 
2.93000000e+04 1.44972384e+01 1.50368555e+01 1.41607929e+01 1.26879069e+01 1.11100145e+01 
2.94000000e+04 1.45026649e+01 1.50248265e+01 1.41356403e+01 1.26556258e+01 1.10753582e+01 
2.95000000e+04 1.45078954e+01 1.50126608e+01 1.41104529e+01 1.26234066e+01 1.10408330e+01 
2.96000000e+04 1.45129319e+01 1.50003606e+01 1.40852326e+01 1.25912502e+01 1.10064388e+01 
2.97000000e+04 1.45177763e+01 1.49879283e+01 1.40599812e+01 1.25591578e+01 1.09721757e+01 
2.98000000e+04 1.45224306e+01 1.49753661e+01 1.40347004e+01 1.25271300e+01 1.09380438e+01 
2.99000000e+04 1.45268965e+01 1.49626763e+01 1.40093921e+01 1.24951680e+01 1.09040429e+01 
3.00000000e+04 1.45311759e+01 1.49498609e+01 1.39840581e+01 1.24632725e+01 1.08701731e+01 
3.01000000e+04 1.45352708e+01 1.49369223e+01 1.39586999e+01 1.24314443e+01 1.08364343e+01 
3.02000000e+04 1.45391829e+01 1.49238624e+01 1.39333192e+01 1.23996843e+01 1.08028265e+01 
3.03000000e+04 1.45429140e+01 1.49106834e+01 1.39079178e+01 1.23679932e+01 1.07693495e+01 
3.04000000e+04 1.45464660e+01 1.48973874e+01 1.38824972e+01 1.23363719e+01 1.07360034e+01 
3.05000000e+04 1.45498407e+01 1.48839764e+01 1.38570589e+01 1.23048210e+01 1.07027879e+01 
3.06000000e+04 1.45530398e+01 1.48704525e+01 1.38316046e+01 1.22733413e+01 1.06697030e+01 
3.07000000e+04 1.45560651e+01 1.48568177e+01 1.38061358e+01 1.22419335e+01 1.06367485e+01 
3.08000000e+04 1.45589183e+01 1.48430739e+01 1.37806539e+01 1.22105982e+01 1.06039243e+01 
3.09000000e+04 1.45616011e+01 1.48292230e+01 1.37551604e+01 1.21793360e+01 1.05712303e+01 
3.10000000e+04 1.45641154e+01 1.48152670e+01 1.37296568e+01 1.21481477e+01 1.05386662e+01 
3.11000000e+04 1.45664627e+01 1.48012079e+01 1.37041445e+01 1.21170337e+01 1.05062319e+01 
3.12000000e+04 1.45686448e+01 1.47870474e+01 1.36786248e+01 1.20859947e+01 1.04739272e+01 
3.13000000e+04 1.45706633e+01 1.47727874e+01 1.36530991e+01 1.20550313e+01 1.04417519e+01 
3.14000000e+04 1.45725199e+01 1.47584298e+01 1.36275687e+01 1.20241439e+01 1.04097058e+01 
3.15000000e+04 1.45742163e+01 1.47439763e+01 1.36020350e+01 1.19933332e+01 1.03777886e+01 
3.16000000e+04 1.45757540e+01 1.47294287e+01 1.35764993e+01 1.19625996e+01 1.03460002e+01 
3.17000000e+04 1.45771347e+01 1.47147887e+01 1.35509627e+01 1.19319435e+01 1.03143402e+01 
3.18000000e+04 1.45783600e+01 1.47000582e+01 1.35254265e+01 1.19013655e+01 1.02828084e+01 
3.19000000e+04 1.45794314e+01 1.46852388e+01 1.34998920e+01 1.18708660e+01 1.02514046e+01 
3.20000000e+04 1.45803506e+01 1.46703322e+01 1.34743603e+01 1.18404455e+01 1.02201285e+01 
3.21000000e+04 1.45811191e+01 1.46553401e+01 1.34488325e+01 1.18101043e+01 1.01889798e+01 
3.22000000e+04 1.45817384e+01 1.46402640e+01 1.34233099e+01 1.17798428e+01 1.01579582e+01 
3.23000000e+04 1.45822101e+01 1.46251057e+01 1.33977935e+01 1.17496615e+01 1.01270634e+01 
3.24000000e+04 1.45825357e+01 1.46098667e+01 1.33722845e+01 1.17195607e+01 1.00962952e+01 
3.25000000e+04 1.45827167e+01 1.45945487e+01 1.33467839e+01 1.16895407e+01 1.00656531e+01 
3.26000000e+04 1.45827547e+01 1.45791531e+01 1.33212928e+01 1.16596018e+01 1.00351370e+01 
3.27000000e+04 1.45826510e+01 1.45636814e+01 1.32958121e+01 1.16297445e+01 1.00047464e+01 
3.28000000e+04 1.45824071e+01 1.45481353e+01 1.32703430e+01 1.15999690e+01 9.97448109e+00 
3.29000000e+04 1.45820245e+01 1.45325163e+01 1.32448864e+01 1.15702755e+01 9.94434066e+00 
3.30000000e+04 1.45815047e+01 1.45168257e+01 1.32194433e+01 1.15406645e+01 9.91432478e+00 
3.31000000e+04 1.45808490e+01 1.45010651e+01 1.31940146e+01 1.15111360e+01 9.88443311e+00 
3.32000000e+04 1.45800589e+01 1.44852358e+01 1.31686014e+01 1.14816904e+01 9.85466530e+00 
3.33000000e+04 1.45791358e+01 1.44693394e+01 1.31432044e+01 1.14523279e+01 9.82502097e+00 
3.34000000e+04 1.45780811e+01 1.44533772e+01 1.31178246e+01 1.14230488e+01 9.79549977e+00 
3.35000000e+04 1.45768961e+01 1.44373506e+01 1.30924629e+01 1.13938532e+01 9.76610132e+00 
3.36000000e+04 1.45755822e+01 1.44212609e+01 1.30671201e+01 1.13647413e+01 9.73682525e+00 
3.37000000e+04 1.45741408e+01 1.44051096e+01 1.30417971e+01 1.13357134e+01 9.70767118e+00 
3.38000000e+04 1.45725732e+01 1.43888979e+01 1.30164948e+01 1.13067696e+01 9.67863871e+00 
3.39000000e+04 1.45708807e+01 1.43726271e+01 1.29912138e+01 1.12779100e+01 9.64972747e+00 
3.40000000e+04 1.45690647e+01 1.43562986e+01 1.29659551e+01 1.12491348e+01 9.62093705e+00 
3.41000000e+04 1.45671264e+01 1.43399135e+01 1.29407193e+01 1.12204442e+01 9.59226707e+00 
3.42000000e+04 1.45650672e+01 1.43234733e+01 1.29155074e+01 1.11918383e+01 9.56371711e+00 
3.43000000e+04 1.45628884e+01 1.43069791e+01 1.28903199e+01 1.11633172e+01 9.53528677e+00 
3.44000000e+04 1.45605911e+01 1.42904321e+01 1.28651577e+01 1.11348810e+01 9.50697565e+00 
3.45000000e+04 1.45581767e+01 1.42738336e+01 1.28400214e+01 1.11065298e+01 9.47878333e+00 
3.46000000e+04 1.45556464e+01 1.42571847e+01 1.28149118e+01 1.10782638e+01 9.45070940e+00 
3.47000000e+04 1.45530015e+01 1.42404866e+01 1.27898295e+01 1.10500829e+01 9.42275344e+00 
3.48000000e+04 1.45502431e+01 1.42237405e+01 1.27647752e+01 1.10219873e+01 9.39491502e+00 
3.49000000e+04 1.45473725e+01 1.42069476e+01 1.27397496e+01 1.09939770e+01 9.36719372e+00 
3.50000000e+04 1.45443909e+01 1.41901088e+01 1.27147533e+01 1.09660520e+01 9.33958913e+00 
3.51000000e+04 1.45412995e+01 1.41732255e+01 1.26897869e+01 1.09382125e+01 9.31210080e+00 
3.52000000e+04 1.45380995e+01 1.41562986e+01 1.26648511e+01 1.09104585e+01 9.28472830e+00 
3.53000000e+04 1.45347920e+01 1.41393293e+01 1.26399464e+01 1.08827899e+01 9.25747121e+00 
3.54000000e+04 1.45313781e+01 1.41223186e+01 1.26150735e+01 1.08552069e+01 9.23032909e+00 
3.55000000e+04 1.45278591e+01 1.41052676e+01 1.25902329e+01 1.08277093e+01 9.20330150e+00 
3.56000000e+04 1.45242361e+01 1.40881774e+01 1.25654251e+01 1.08002973e+01 9.17638800e+00 
3.57000000e+04 1.45205102e+01 1.40710488e+01 1.25406508e+01 1.07729708e+01 9.14958814e+00 
3.58000000e+04 1.45166825e+01 1.40538831e+01 1.25159104e+01 1.07457298e+01 9.12290150e+00 
3.59000000e+04 1.45127541e+01 1.40366811e+01 1.24912046e+01 1.07185743e+01 9.09632762e+00 
3.60000000e+04 1.45087262e+01 1.40194438e+01 1.24665337e+01 1.06915043e+01 9.06986605e+00 
3.61000000e+04 1.45045998e+01 1.40021723e+01 1.24418984e+01 1.06645197e+01 9.04351635e+00 
3.62000000e+04 1.45003760e+01 1.39848674e+01 1.24172990e+01 1.06376205e+01 9.01727808e+00 
3.63000000e+04 1.44960558e+01 1.39675302e+01 1.23927361e+01 1.06108067e+01 8.99115078e+00 
3.64000000e+04 1.44916404e+01 1.39501615e+01 1.23682102e+01 1.05840782e+01 8.96513400e+00 
3.65000000e+04 1.44871307e+01 1.39327623e+01 1.23437217e+01 1.05574349e+01 8.93922729e+00 
3.66000000e+04 1.44825278e+01 1.39153335e+01 1.23192710e+01 1.05308768e+01 8.91343020e+00 
3.67000000e+04 1.44778328e+01 1.38978760e+01 1.22948586e+01 1.05044038e+01 8.88774227e+00 
3.68000000e+04 1.44730466e+01 1.38803907e+01 1.22704849e+01 1.04780159e+01 8.86216306e+00 
3.69000000e+04 1.44681702e+01 1.38628784e+01 1.22461503e+01 1.04517129e+01 8.83669211e+00 
3.70000000e+04 1.44632047e+01 1.38453399e+01 1.22218553e+01 1.04254949e+01 8.81132896e+00 
3.71000000e+04 1.44581511e+01 1.38277763e+01 1.21976002e+01 1.03993616e+01 8.78607316e+00 
3.72000000e+04 1.44530103e+01 1.38101882e+01 1.21733854e+01 1.03733130e+01 8.76092425e+00 
3.73000000e+04 1.44477833e+01 1.37925765e+01 1.21492113e+01 1.03473490e+01 8.73588178e+00 
3.74000000e+04 1.44424711e+01 1.37749420e+01 1.21250782e+01 1.03214695e+01 8.71094529e+00 
3.75000000e+04 1.44370746e+01 1.37572855e+01 1.21009865e+01 1.02956744e+01 8.68611432e+00 
3.76000000e+04 1.44315948e+01 1.37396079e+01 1.20769367e+01 1.02699635e+01 8.66138843e+00 
3.77000000e+04 1.44260326e+01 1.37219098e+01 1.20529289e+01 1.02443368e+01 8.63676715e+00 
3.78000000e+04 1.44203889e+01 1.37041921e+01 1.20289635e+01 1.02187942e+01 8.61225003e+00 
3.79000000e+04 1.44146647e+01 1.36864555e+01 1.20050409e+01 1.01933354e+01 8.58783660e+00 
3.80000000e+04 1.44088609e+01 1.36687007e+01 1.19811613e+01 1.01679604e+01 8.56352643e+00 
3.81000000e+04 1.44029783e+01 1.36509286e+01 1.19573252e+01 1.01426690e+01 8.53931904e+00 
3.82000000e+04 1.43970178e+01 1.36331398e+01 1.19335327e+01 1.01174611e+01 8.51521399e+00 
3.83000000e+04 1.43909805e+01 1.36153350e+01 1.19097841e+01 1.00923366e+01 8.49121081e+00 
3.84000000e+04 1.43848670e+01 1.35975149e+01 1.18860798e+01 1.00672953e+01 8.46730906e+00 
3.85000000e+04 1.43786784e+01 1.35796803e+01 1.18624200e+01 1.00423370e+01 8.44350829e+00 
3.86000000e+04 1.43724154e+01 1.35618318e+01 1.18388050e+01 1.00174616e+01 8.41980803e+00 
3.87000000e+04 1.43660789e+01 1.35439701e+01 1.18152351e+01 9.99266894e+00 8.39620783e+00 
3.88000000e+04 1.43596698e+01 1.35260959e+01 1.17917104e+01 9.96795887e+00 8.37270724e+00 
3.89000000e+04 1.43531889e+01 1.35082098e+01 1.17682312e+01 9.94333121e+00 8.34930582e+00 
3.90000000e+04 1.43466370e+01 1.34903125e+01 1.17447979e+01 9.91878579e+00 8.32600310e+00 
3.91000000e+04 1.43400149e+01 1.34724046e+01 1.17214105e+01 9.89432245e+00 8.30279864e+00 
3.92000000e+04 1.43333235e+01 1.34544867e+01 1.16980693e+01 9.86994101e+00 8.27969199e+00 
3.93000000e+04 1.43265636e+01 1.34365595e+01 1.16747746e+01 9.84564130e+00 8.25668270e+00 
3.94000000e+04 1.43197360e+01 1.34186236e+01 1.16515266e+01 9.82142313e+00 8.23377032e+00 
3.95000000e+04 1.43128414e+01 1.34006796e+01 1.16283254e+01 9.79728633e+00 8.21095440e+00 
3.96000000e+04 1.43058806e+01 1.33827280e+01 1.16051712e+01 9.77323071e+00 8.18823450e+00 
3.97000000e+04 1.42988545e+01 1.33647696e+01 1.15820643e+01 9.74925608e+00 8.16561017e+00 
3.98000000e+04 1.42917637e+01 1.33468047e+01 1.15590048e+01 9.72536225e+00 8.14308097e+00 
3.99000000e+04 1.42846091e+01 1.33288341e+01 1.15359930e+01 9.70154904e+00 8.12064645e+00 
4.00000000e+04 1.42773914e+01 1.33108582e+01 1.15130288e+01 9.67781625e+00 8.09830618e+00 
4.01000000e+04 1.42701113e+01 1.32928777e+01 1.14901127e+01 9.65416367e+00 8.07605971e+00 
4.02000000e+04 1.42627697e+01 1.32748930e+01 1.14672446e+01 9.63059112e+00 8.05390659e+00 
4.03000000e+04 1.42553672e+01 1.32569047e+01 1.14444248e+01 9.60709840e+00 8.03184640e+00 
4.04000000e+04 1.42479045e+01 1.32389134e+01 1.14216535e+01 9.58368529e+00 8.00987869e+00 
4.05000000e+04 1.42403824e+01 1.32209196e+01 1.13989306e+01 9.56035160e+00 7.98800303e+00 
4.06000000e+04 1.42328016e+01 1.32029237e+01 1.13762565e+01 9.53709711e+00 7.96621898e+00 
4.07000000e+04 1.42251628e+01 1.31849263e+01 1.13536312e+01 9.51392163e+00 7.94452610e+00 
4.08000000e+04 1.42174666e+01 1.31669279e+01 1.13310548e+01 9.49082494e+00 7.92292397e+00 
4.09000000e+04 1.42097139e+01 1.31489289e+01 1.13085275e+01 9.46780683e+00 7.90141215e+00 
4.10000000e+04 1.42019052e+01 1.31309300e+01 1.12860495e+01 9.44486708e+00 7.87999021e+00 
4.11000000e+04 1.41940413e+01 1.31129314e+01 1.12636207e+01 9.42200548e+00 7.85865773e+00 
4.12000000e+04 1.41861228e+01 1.30949338e+01 1.12412413e+01 9.39922182e+00 7.83741427e+00 
4.13000000e+04 1.41781504e+01 1.30769376e+01 1.12189115e+01 9.37651587e+00 7.81625940e+00 
4.14000000e+04 1.41701248e+01 1.30589431e+01 1.11966313e+01 9.35388742e+00 7.79519272e+00 
4.15000000e+04 1.41620466e+01 1.30409510e+01 1.11744008e+01 9.33133624e+00 7.77421378e+00 
4.16000000e+04 1.41539164e+01 1.30229616e+01 1.11522201e+01 9.30886211e+00 7.75332216e+00 
4.17000000e+04 1.41457349e+01 1.30049754e+01 1.11300894e+01 9.28646482e+00 7.73251746e+00 
4.18000000e+04 1.41375028e+01 1.29869927e+01 1.11080086e+01 9.26414413e+00 7.71179924e+00 
4.19000000e+04 1.41292206e+01 1.29690141e+01 1.10859778e+01 9.24189982e+00 7.69116709e+00 
4.20000000e+04 1.41208891e+01 1.29510399e+01 1.10639972e+01 9.21973166e+00 7.67062059e+00 
4.21000000e+04 1.41125087e+01 1.29330705e+01 1.10420667e+01 9.19763943e+00 7.65015933e+00 
4.22000000e+04 1.41040802e+01 1.29151065e+01 1.10201866e+01 9.17562289e+00 7.62978290e+00 
4.23000000e+04 1.40956041e+01 1.28971480e+01 1.09983567e+01 9.15368181e+00 7.60949088e+00 
4.24000000e+04 1.40870810e+01 1.28791956e+01 1.09765773e+01 9.13181597e+00 7.58928286e+00 
4.25000000e+04 1.40785115e+01 1.28612497e+01 1.09548482e+01 9.11002514e+00 7.56915844e+00 
4.26000000e+04 1.40698963e+01 1.28433106e+01 1.09331697e+01 9.08830907e+00 7.54911720e+00 
4.27000000e+04 1.40612359e+01 1.28253786e+01 1.09115416e+01 9.06666754e+00 7.52915874e+00 
4.28000000e+04 1.40525308e+01 1.28074543e+01 1.08899642e+01 9.04510032e+00 7.50928266e+00 
4.29000000e+04 1.40437817e+01 1.27895378e+01 1.08684374e+01 9.02360716e+00 7.48948856e+00 
4.30000000e+04 1.40349891e+01 1.27716297e+01 1.08469612e+01 9.00218783e+00 7.46977602e+00 
4.31000000e+04 1.40261536e+01 1.27537301e+01 1.08255357e+01 8.98084210e+00 7.45014466e+00 
4.32000000e+04 1.40172758e+01 1.27358396e+01 1.08041609e+01 8.95956972e+00 7.43059408e+00 
4.33000000e+04 1.40083561e+01 1.27179584e+01 1.07828368e+01 8.93837047e+00 7.41112388e+00 
4.34000000e+04 1.39993952e+01 1.27000869e+01 1.07615635e+01 8.91724410e+00 7.39173366e+00 
4.35000000e+04 1.39903935e+01 1.26822254e+01 1.07403410e+01 8.89619038e+00 7.37242304e+00 
4.36000000e+04 1.39813516e+01 1.26643742e+01 1.07191692e+01 8.87520906e+00 7.35319162e+00 
4.37000000e+04 1.39722701e+01 1.26465337e+01 1.06980483e+01 8.85429991e+00 7.33403901e+00 
4.38000000e+04 1.39631495e+01 1.26287041e+01 1.06769782e+01 8.83346269e+00 7.31496483e+00 
4.39000000e+04 1.39539902e+01 1.26108858e+01 1.06559589e+01 8.81269715e+00 7.29596868e+00 
4.40000000e+04 1.39447929e+01 1.25930791e+01 1.06349905e+01 8.79200306e+00 7.27705019e+00 
4.41000000e+04 1.39355579e+01 1.25752843e+01 1.06140728e+01 8.77138017e+00 7.25820897e+00 
4.42000000e+04 1.39262859e+01 1.25575017e+01 1.05932060e+01 8.75082825e+00 7.23944464e+00 
4.43000000e+04 1.39169773e+01 1.25397315e+01 1.05723901e+01 8.73034705e+00 7.22075682e+00 
4.44000000e+04 1.39076326e+01 1.25219741e+01 1.05516249e+01 8.70993634e+00 7.20214513e+00 
4.45000000e+04 1.38982524e+01 1.25042298e+01 1.05309106e+01 8.68959586e+00 7.18360920e+00 
4.46000000e+04 1.38888370e+01 1.24864988e+01 1.05102471e+01 8.66932538e+00 7.16514864e+00 
4.47000000e+04 1.38793870e+01 1.24687815e+01 1.04896343e+01 8.64912466e+00 7.14676310e+00 
4.48000000e+04 1.38699028e+01 1.24510780e+01 1.04690724e+01 8.62899345e+00 7.12845220e+00 
4.49000000e+04 1.38603850e+01 1.24333886e+01 1.04485611e+01 8.60893151e+00 7.11021556e+00 
4.50000000e+04 1.38508340e+01 1.24157136e+01 1.04281006e+01 8.58893860e+00 7.09205283e+00 
4.51000000e+04 1.38412502e+01 1.23980533e+01 1.04076909e+01 8.56901447e+00 7.07396363e+00 
4.52000000e+04 1.38316342e+01 1.23804079e+01 1.03873318e+01 8.54915889e+00 7.05594760e+00 
4.53000000e+04 1.38219863e+01 1.23627777e+01 1.03670233e+01 8.52937161e+00 7.03800437e+00 
4.54000000e+04 1.38123071e+01 1.23451629e+01 1.03467655e+01 8.50965239e+00 7.02013360e+00 
4.55000000e+04 1.38025969e+01 1.23275638e+01 1.03265583e+01 8.49000099e+00 7.00233491e+00 
4.56000000e+04 1.37928562e+01 1.23099805e+01 1.03064016e+01 8.47041716e+00 6.98460795e+00 
4.57000000e+04 1.37830855e+01 1.22924133e+01 1.02862954e+01 8.45090067e+00 6.96695236e+00 
4.58000000e+04 1.37732852e+01 1.22748625e+01 1.02662398e+01 8.43145126e+00 6.94936780e+00 
4.59000000e+04 1.37634557e+01 1.22573283e+01 1.02462345e+01 8.41206871e+00 6.93185390e+00 
4.60000000e+04 1.37535974e+01 1.22398108e+01 1.02262797e+01 8.39275276e+00 6.91441031e+00 
4.61000000e+04 1.37437108e+01 1.22223104e+01 1.02063752e+01 8.37350317e+00 6.89703670e+00 
4.62000000e+04 1.37337962e+01 1.22048272e+01 1.01865211e+01 8.35431971e+00 6.87973270e+00 
4.63000000e+04 1.37238542e+01 1.21873615e+01 1.01667172e+01 8.33520213e+00 6.86249798e+00 
4.64000000e+04 1.37138850e+01 1.21699134e+01 1.01469635e+01 8.31615019e+00 6.84533219e+00 
4.65000000e+04 1.37038892e+01 1.21524831e+01 1.01272600e+01 8.29716365e+00 6.82823498e+00 
4.66000000e+04 1.36938670e+01 1.21350709e+01 1.01076066e+01 8.27824227e+00 6.81120602e+00 
4.67000000e+04 1.36838190e+01 1.21176769e+01 1.00880032e+01 8.25938581e+00 6.79424497e+00 
4.68000000e+04 1.36737454e+01 1.21003014e+01 1.00684499e+01 8.24059404e+00 6.77735149e+00 
4.69000000e+04 1.36636467e+01 1.20829445e+01 1.00489464e+01 8.22186670e+00 6.76052524e+00 
4.70000000e+04 1.36535233e+01 1.20656064e+01 1.00294929e+01 8.20320356e+00 6.74376589e+00 
4.71000000e+04 1.36433756e+01 1.20482873e+01 1.00100892e+01 8.18460438e+00 6.72707311e+00 
4.72000000e+04 1.36332039e+01 1.20309874e+01 9.99073525e+00 8.16606892e+00 6.71044657e+00 
4.73000000e+04 1.36230085e+01 1.20137068e+01 9.97143099e+00 8.14759695e+00 6.69388594e+00 
4.74000000e+04 1.36127900e+01 1.19964457e+01 9.95217637e+00 8.12918822e+00 6.67739088e+00 
4.75000000e+04 1.36025486e+01 1.19792044e+01 9.93297131e+00 8.11084251e+00 6.66096109e+00 
4.76000000e+04 1.35922847e+01 1.19619829e+01 9.91381574e+00 8.09255956e+00 6.64459622e+00 
4.77000000e+04 1.35819987e+01 1.19447815e+01 9.89470960e+00 8.07433915e+00 6.62829596e+00 
4.78000000e+04 1.35716909e+01 1.19276002e+01 9.87565281e+00 8.05618104e+00 6.61205999e+00 
4.79000000e+04 1.35613617e+01 1.19104393e+01 9.85664531e+00 8.03808499e+00 6.59588799e+00 
4.80000000e+04 1.35510114e+01 1.18932989e+01 9.83768702e+00 8.02005076e+00 6.57977964e+00 
4.81000000e+04 1.35406404e+01 1.18761792e+01 9.81877786e+00 8.00207813e+00 6.56373462e+00 
4.82000000e+04 1.35302490e+01 1.18590802e+01 9.79991777e+00 7.98416686e+00 6.54775263e+00 
4.83000000e+04 1.35198376e+01 1.18420022e+01 9.78110666e+00 7.96631670e+00 6.53183334e+00 
4.84000000e+04 1.35094065e+01 1.18249454e+01 9.76234445e+00 7.94852744e+00 6.51597645e+00 
4.85000000e+04 1.34989559e+01 1.18079097e+01 9.74363107e+00 7.93079883e+00 6.50018165e+00 
4.86000000e+04 1.34884864e+01 1.17908955e+01 9.72496644e+00 7.91313065e+00 6.48444862e+00 
4.87000000e+04 1.34779981e+01 1.17739027e+01 9.70635047e+00 7.89552266e+00 6.46877707e+00 
4.88000000e+04 1.34674915e+01 1.17569316e+01 9.68778309e+00 7.87797462e+00 6.45316669e+00 
4.89000000e+04 1.34569668e+01 1.17399823e+01 9.66926421e+00 7.86048632e+00 6.43761717e+00 
4.90000000e+04 1.34464243e+01 1.17230549e+01 9.65079374e+00 7.84305751e+00 6.42212822e+00 
4.91000000e+04 1.34358644e+01 1.17061495e+01 9.63237160e+00 7.82568797e+00 6.40669953e+00 
4.92000000e+04 1.34252874e+01 1.16892663e+01 9.61399771e+00 7.80837747e+00 6.39133081e+00 
4.93000000e+04 1.34146935e+01 1.16724053e+01 9.59567198e+00 7.79112578e+00 6.37602176e+00 
4.94000000e+04 1.34040831e+01 1.16555668e+01 9.57739431e+00 7.77393267e+00 6.36077208e+00 
4.95000000e+04 1.33934566e+01 1.16387507e+01 9.55916463e+00 7.75679792e+00 6.34558148e+00 
4.96000000e+04 1.33828141e+01 1.16219573e+01 9.54098283e+00 7.73972129e+00 6.33044967e+00 
4.97000000e+04 1.33721560e+01 1.16051867e+01 9.52284884e+00 7.72270256e+00 6.31537636e+00 
4.98000000e+04 1.33614826e+01 1.15884389e+01 9.50476255e+00 7.70574151e+00 6.30036125e+00 
4.99000000e+04 1.33507941e+01 1.15717140e+01 9.48672389e+00 7.68883790e+00 6.28540407e+00 
