# i,K[cm^3/s]
1,3.60175369e-12
2,5.26849397e-12
3,8.32844619e-12
4,1.38568846e-11
5,2.25305277e-11
6,3.82221740e-11
7,6.55036320e-11
8,1.15400541e-10
9,2.07942335e-10
10,3.93368593e-10
11,8.83768274e-10
12,1.87449234e-09
13,1.66117170e-09
14,1.71804212e-09
15,1.95814669e-09
16,2.21066202e-09
17,2.51195488e-09
18,3.19639801e-09
