# i,j,K[cm^3/s]
2,1,1.71639004e-10
3,1,3.26884910e-11
3,2,2.04631213e-10
4,1,1.23029883e-11
4,2,5.01017721e-11
4,3,2.18385129e-10
5,1,5.85498665e-12
5,2,2.01892794e-11
5,3,5.55308456e-11
5,4,2.22784522e-10
6,1,3.33581108e-12
6,2,1.02150418e-11
6,3,2.37301887e-11
6,4,5.98460324e-11
6,5,2.21420841e-10
7,1,2.06627882e-12
7,2,5.92157549e-12
7,3,1.22846099e-11
7,4,2.54564770e-11
7,5,5.86742472e-11
7,6,2.18095515e-10
8,1,1.33612010e-12
8,2,3.60040202e-12
8,3,7.03643119e-12
8,4,1.32008861e-11
8,5,2.48371981e-11
8,6,5.55031929e-11
8,7,2.13748546e-10
9,1,9.55178640e-13
9,2,2.45359406e-12
9,3,4.49408707e-12
9,4,7.75017280e-12
9,5,1.32272326e-11
9,6,2.36972073e-11
9,7,5.15670441e-11
9,8,2.05024728e-10
10,1,6.92402445e-13
10,2,1.74182122e-12
10,3,3.09107514e-12
10,4,5.19576055e-12
10,5,7.96609807e-12
10,6,1.27196551e-11
10,7,2.20008637e-11
10,8,4.68368750e-11
10,9,1.90549329e-10
11,1,5.19079101e-13
11,2,1.25920485e-12
11,3,2.21093730e-12
11,4,3.52427711e-12
11,5,5.15438028e-12
11,6,7.68519702e-12
11,7,1.17274320e-11
11,8,1.95475530e-11
11,9,3.96342718e-11
11,10,1.71587737e-10
12,1,2.96076192e-13
12,2,7.80996331e-13
12,3,1.38395845e-12
12,4,2.19301037e-12
12,5,3.26184830e-12
12,6,4.69939936e-12
12,7,6.94084805e-12
12,8,1.05980602e-11
12,9,1.74474358e-11
12,10,3.64652393e-11
12,11,1.67631344e-10
13,1,1.87760777e-13
13,2,5.07908605e-13
13,3,9.08026294e-13
13,4,1.45420544e-12
13,5,2.18232395e-12
13,6,3.22778251e-12
13,7,4.68512631e-12
13,8,6.93449936e-12
13,9,1.05526296e-11
13,10,1.84373317e-11
13,11,3.91580059e-11
13,12,1.78379098e-10
14,1,1.20282907e-13
14,2,3.11754285e-13
14,3,5.69347387e-13
14,4,9.50805294e-13
14,5,1.42901233e-12
14,6,2.06660235e-12
14,7,3.03452126e-12
14,8,4.25550202e-12
14,9,6.19734965e-12
14,10,9.95297093e-12
14,11,1.76691164e-11
14,12,3.59997738e-11
14,13,1.77254390e-10
15,1,5.21878580e-14
15,2,1.72106588e-13
15,3,3.38640014e-13
15,4,5.62878489e-13
15,5,8.63213526e-13
15,6,1.27792460e-12
15,7,1.88501454e-12
15,8,2.65201247e-12
15,9,3.83273307e-12
15,10,5.88414222e-12
15,11,9.64348973e-12
15,12,1.58655998e-11
15,13,3.14776984e-11
15,14,1.73260271e-10
16,1,1.57419310e-14
16,2,6.78505329e-14
16,3,1.48405498e-13
16,4,2.73938800e-13
16,5,4.84306802e-13
16,6,7.39331114e-13
16,7,1.11654912e-12
16,8,1.65667601e-12
16,9,2.43032841e-12
16,10,3.61471096e-12
16,11,5.49669667e-12
16,12,8.06111752e-12
16,13,1.22430631e-11
16,14,2.78697241e-11
16,15,1.69896501e-10
17,1,1.18785360e-15
17,2,1.50678674e-14
17,3,5.22999458e-14
17,4,1.27696045e-13
17,5,2.72880544e-13
17,6,4.08382175e-13
17,7,6.62950273e-13
17,8,9.95938492e-13
17,9,1.50812134e-12
17,10,2.25579055e-12
17,11,3.30635238e-12
17,12,4.39350536e-12
17,13,5.24329527e-12
17,14,9.66061374e-12
17,15,2.55133325e-11
17,16,1.58789509e-10
18,1,0.00000000e+00
18,2,4.12021817e-15
18,3,8.39718651e-15
18,4,5.34485143e-14
18,5,1.41581478e-13
18,6,2.45982135e-13
18,7,4.95551695e-13
18,8,7.44747303e-13
18,9,1.19149689e-12
18,10,1.67122463e-12
18,11,2.30502239e-12
18,12,2.66713893e-12
18,13,2.62903860e-12
18,14,3.57513881e-12
18,15,7.71063973e-12
18,16,2.05883400e-11
18,17,1.57445359e-10
