# i,j,K[cm^3/s]
2,1,1.10989566e-11
3,1,7.16887488e-12
3,2,1.64340462e-11
4,1,5.15797717e-12
4,2,1.24971798e-11
4,3,2.00321353e-11
5,1,3.86797312e-12
5,2,9.52025766e-12
5,3,1.63123692e-11
5,4,2.33529377e-11
6,1,2.94574284e-12
6,2,7.49619268e-12
6,3,1.33884118e-11
6,4,2.03606601e-11
6,5,2.72437697e-11
7,1,2.37544086e-12
7,2,6.20834594e-12
7,3,1.10488089e-11
7,4,1.72185051e-11
7,5,2.43894847e-11
7,6,3.19738615e-11
8,1,1.93192069e-12
8,2,5.04114290e-12
8,3,9.19845826e-12
8,4,1.46888916e-11
8,5,2.13840945e-11
8,6,2.94677113e-11
8,7,3.77196044e-11
9,1,1.57635663e-12
9,2,4.14225671e-12
9,3,7.64605058e-12
9,4,1.22765066e-11
9,5,1.84516232e-11
9,6,2.61268355e-11
9,7,3.54034658e-11
9,8,4.47718572e-11
10,1,1.24806865e-12
10,2,3.29935751e-12
10,3,6.18217662e-12
10,4,1.02682556e-11
10,5,1.55800605e-11
10,6,2.27001500e-11
10,7,3.16255125e-11
10,8,4.21982503e-11
10,9,5.30166634e-11
11,1,9.71118937e-13
11,2,2.59259050e-12
11,3,4.88187368e-12
11,4,8.17756300e-12
11,5,1.26215149e-11
11,6,1.86829959e-11
11,7,2.66490457e-11
11,8,3.66652186e-11
11,9,4.86655422e-11
11,10,6.37906822e-11
12,1,7.43402798e-13
12,2,2.06127672e-12
12,3,3.95093126e-12
12,4,6.73582052e-12
12,5,1.05651514e-11
12,6,1.58096301e-11
12,7,2.28707260e-11
12,8,3.19516809e-11
12,9,4.33232507e-11
12,10,5.83388518e-11
12,11,7.96555028e-11
13,1,6.10469239e-13
13,2,1.86356069e-12
13,3,3.80180222e-12
13,4,6.71696104e-12
13,5,1.08324811e-11
13,6,1.64998536e-11
13,7,2.39120073e-11
13,8,3.33517531e-11
13,9,4.47070274e-11
13,10,5.91184478e-11
13,11,7.58687370e-11
13,12,6.82653546e-11
14,1,4.46091138e-13
14,2,1.56942885e-12
14,3,3.48594599e-12
14,4,6.45326434e-12
14,5,1.05379497e-11
14,6,1.61831494e-11
14,7,2.35764350e-11
14,8,3.31157097e-11
14,9,4.39828817e-11
14,10,5.74847591e-11
14,11,7.20132754e-11
14,12,6.41968552e-11
14,13,3.67212453e-11
15,1,2.50929663e-13
15,2,1.12300063e-12
15,3,2.90955724e-12
15,4,5.77047602e-12
15,5,9.84957215e-12
15,6,1.55474731e-11
15,7,2.29379449e-11
15,8,3.21228010e-11
15,9,4.30714025e-11
15,10,5.67973827e-11
15,11,7.02280112e-11
15,12,6.33065792e-11
15,13,3.79124531e-11
15,14,2.21440873e-11
16,1,1.45591061e-13
16,2,6.84217142e-13
16,3,2.07751210e-12
16,4,4.63048047e-12
16,5,8.60929020e-12
16,6,1.43541854e-11
16,7,2.18685760e-11
16,8,3.17437581e-11
16,9,4.28469554e-11
16,10,5.69969897e-11
16,11,7.04274994e-11
16,12,6.38845077e-11
16,13,3.94490004e-11
16,14,2.38566975e-11
16,15,1.44116735e-11
17,1,8.11114517e-14
17,2,3.56614410e-13
17,3,1.25601478e-12
17,4,3.44877651e-12
17,5,7.25918542e-12
17,6,1.29858312e-11
17,7,2.15492094e-11
17,8,3.21677238e-11
17,9,4.49293216e-11
17,10,5.95055022e-11
17,11,7.05722699e-11
17,12,6.48534998e-11
17,13,4.18186188e-11
17,14,2.63480566e-11
17,15,1.61251956e-11
17,16,9.10401691e-12
18,1,3.54096647e-14
18,2,1.71294597e-13
18,3,5.95572441e-13
18,4,1.81655313e-12
18,5,4.97537044e-12
18,6,1.05604674e-11
18,7,1.92484319e-11
18,8,3.12548321e-11
18,9,4.59421506e-11
18,10,6.20426598e-11
18,11,7.43847791e-11
18,12,6.84356427e-11
18,13,4.47031349e-11
18,14,2.79620905e-11
18,15,1.78642922e-11
18,16,1.04275324e-11
18,17,6.09201824e-12
