#Idx,EeV,g,rIn,v,J,ECB,Group
3963,-1.870700e-01,1.345000e+02,2.049399e+00,13,134,9.624992e-01,33
3964,-1.862050e-01,1.715000e+02,2.392538e+00,1,171,1.583116e+00,30
3965,-1.858524e-01,8.050000e+01,1.877492e+00,26,80,3.907591e-01,38
3966,-1.854404e-01,9.050000e+01,1.898879e+00,24,90,4.693544e-01,37
3967,-1.848641e-01,1.450000e+01,1.806308e+00,34,14,1.855145e-01,42
3968,-1.848346e-01,1.275000e+02,2.016852e+00,15,127,8.652889e-01,34
3969,-1.847404e-01,3.050000e+01,1.813965e+00,33,30,1.907949e-01,41
3970,-1.844669e-01,6.950000e+01,1.857667e+00,28,69,3.152027e-01,39
3971,-1.833281e-01,4.950000e+01,1.830484e+00,31,49,2.092809e-01,41
3972,-1.829731e-01,6.350000e+01,1.848334e+00,29,63,2.786636e-01,40
3973,-1.821203e-01,1.550000e+01,1.806523e+00,34,15,1.829147e-01,42
3974,-1.799072e-01,4.150000e+01,1.822345e+00,32,41,1.951689e-01,41
3975,-1.795658e-01,7.550000e+01,1.867764e+00,27,75,3.491395e-01,38
3976,-1.791981e-01,1.650000e+01,1.806753e+00,34,16,1.801564e-01,42
3977,-1.791832e-01,1.125000e+02,1.959759e+00,19,112,6.781834e-01,35
3978,-1.788623e-01,3.150000e+01,1.814408e+00,33,31,1.855322e-01,42
3979,-1.784999e-01,1.415000e+02,2.086023e+00,11,141,1.055749e+00,33
3980,-1.781432e-01,9.550000e+01,1.910581e+00,23,95,5.058512e-01,37
3981,-1.776349e-01,1.085000e+02,1.946858e+00,20,108,6.331370e-01,35
3982,-1.775881e-01,1.165000e+02,1.973355e+00,18,116,7.221122e-01,35
3983,-1.760983e-01,1.750000e+01,1.806998e+00,34,17,1.772417e-01,42
3984,-1.756211e-01,5.750000e+01,1.839753e+00,30,57,2.399618e-01,40
3985,-1.735574e-01,1.745000e+02,2.475004e+00,0,174,1.630392e+00,29
3986,-1.732783e-01,5.050000e+01,1.831193e+00,31,50,2.055878e-01,41
3987,-1.731072e-01,1.045000e+02,1.934613e+00,21,104,5.871020e-01,36
3988,-1.728221e-01,1.850000e+01,1.807258e+00,34,18,1.741729e-01,42
3989,-1.728108e-01,3.250000e+01,1.814866e+00,33,32,1.801365e-01,42
3990,-1.726993e-01,1.205000e+02,1.987691e+00,17,120,7.648086e-01,35
3991,-1.717055e-01,4.250000e+01,1.822942e+00,32,42,1.880994e-01,41
3992,-1.705181e-01,1.315000e+02,2.033674e+00,14,131,9.044184e-01,34
3993,-1.694974e-01,6.450000e+01,1.849239e+00,29,64,2.707696e-01,40
3994,-1.694249e-01,7.050000e+01,1.858657e+00,28,70,3.063677e-01,39
3995,-1.693703e-01,1.950000e+01,1.807532e+00,34,19,1.709523e-01,42
