#Idx,EeV,g,rIn,v,J,ECB,Group
4080,-1.269646e-01,6.150000e+01,1.843142e+00,30,61,2.117993e-01,41
4081,-1.259352e-01,1.585000e+02,2.202247e+00,6,158,1.280401e+00,31
4082,-1.257785e-01,1.555000e+02,2.176151e+00,7,155,1.228134e+00,32
4083,-1.257525e-01,3.950000e+01,1.818501e+00,33,39,1.389095e-01,43
4084,-1.256957e-01,1.450000e+01,1.804134e+00,35,14,1.263461e-01,43
4085,-1.254889e-01,2.950000e+01,1.811097e+00,34,29,1.309670e-01,43
4086,-1.250863e-01,1.755000e+02,2.478786e+00,0,175,1.602237e+00,30
4087,-1.250079e-01,1.105000e+02,1.950062e+00,20,110,6.020080e-01,36
4088,-1.240420e-01,1.145000e+02,1.963103e+00,19,114,6.455487e-01,35
4089,-1.238364e-01,1.615000e+02,2.231064e+00,5,161,1.331826e+00,31
4090,-1.234552e-01,1.525000e+02,2.152261e+00,8,152,1.175093e+00,32
4091,-1.233295e-01,7.350000e+01,1.861731e+00,28,73,2.795297e-01,40
4092,-1.231901e-01,1.550000e+01,1.804357e+00,35,15,1.239845e-01,43
4093,-1.229983e-01,1.065000e+02,1.937682e+00,21,106,5.575000e-01,36
4094,-1.223445e-01,9.350000e+01,1.902834e+00,24,93,4.321854e-01,37
4095,-1.205698e-01,5.550000e+01,1.834980e+00,31,55,1.752653e-01,42
4096,-1.205239e-01,1.650000e+01,1.804595e+00,35,16,1.214822e-01,43
4097,-1.201997e-01,3.050000e+01,1.811538e+00,34,30,1.262542e-01,43
4098,-1.200055e-01,1.295000e+02,2.020772e+00,15,129,8.269099e-01,34
4099,-1.199376e-01,1.185000e+02,1.976844e+00,18,118,6.879943e-01,35
4100,-1.193947e-01,1.645000e+02,2.263362e+00,4,164,1.382345e+00,31
4101,-1.190565e-01,1.495000e+02,2.130209e+00,9,149,1.121348e+00,32
4102,-1.190325e-01,4.850000e+01,1.826862e+00,32,48,1.434332e-01,42
4103,-1.183848e-01,4.050000e+01,1.819083e+00,33,40,1.325680e-01,43
4104,-1.181919e-01,1.025000e+02,1.925929e+00,22,102,5.121691e-01,37
4105,-1.176985e-01,1.750000e+01,1.804848e+00,35,17,1.188419e-01,43
4106,-1.175937e-01,1.365000e+02,2.053626e+00,13,136,9.214062e-01,33
4107,-1.147547e-01,3.150000e+01,1.811994e+00,34,31,1.214245e-01,43
4108,-1.147153e-01,1.850000e+01,1.805117e+00,35,18,1.160662e-01,43
4109,-1.144049e-01,6.250000e+01,1.844031e+00,30,62,2.046165e-01,41
4110,-1.139806e-01,6.850000e+01,1.853029e+00,29,68,2.386149e-01,40
4111,-1.127657e-01,8.450000e+01,1.882197e+00,26,84,3.479237e-01,38
4112,-1.126759e-01,1.465000e+02,2.109723e+00,10,146,1.066971e+00,33
4113,-1.125454e-01,1.225000e+02,1.991332e+00,17,122,7.292318e-01,35
4114,-1.125240e-01,1.675000e+02,2.300350e+00,3,167,1.431894e+00,30
4115,-1.121434e-01,7.950000e+01,1.872179e+00,27,79,3.097646e-01,39
4116,-1.115761e-01,1.950000e+01,1.805401e+00,35,19,1.131580e-01,43
4117,-1.108632e-01,4.150000e+01,1.819681e+00,33,41,1.261249e-01,43
4118,-1.107858e-01,9.850000e+01,1.914773e+00,23,98,4.661786e-01,37
4119,-1.097004e-01,4.950000e+01,1.827572e+00,32,49,1.356532e-01,43
4120,-1.095554e-01,5.650000e+01,1.835787e+00,31,56,1.690237e-01,42
4121,-1.091560e-01,3.250000e+01,1.812466e+00,34,32,1.164817e-01,43
4122,-1.091553e-01,8.950000e+01,1.892861e+00,25,89,3.846581e-01,38
4123,-1.082823e-01,2.050000e+01,1.805701e+00,35,20,1.101204e-01,43
4124,-1.076512e-01,7.450000e+01,1.862791e+00,28,74,2.704843e-01,40
4125,-1.048360e-01,2.150000e+01,1.806016e+00,35,21,1.069564e-01,43
4126,-1.044099e-01,1.435000e+02,2.090594e+00,11,143,1.012040e+00,33
4127,-1.034063e-01,3.350000e+01,1.812954e+00,34,33,1.114295e-01,43
