# i,K[cm^3/s]
1,0.00000000e+00
2,0.00000000e+00
3,0.00000000e+00
4,0.00000000e+00
5,0.00000000e+00
6,0.00000000e+00
7,3.20554217e-17
8,2.48061683e-15
9,6.90867896e-14
10,1.07344955e-12
11,2.77034818e-11
12,4.75180794e-10
13,3.29596704e-10
14,3.58059622e-10
15,5.05236002e-10
16,6.00921324e-10
17,7.15803048e-10
18,1.04192295e-09
