# i,j,K[cm^3/s]
2,1,7.96955461e-12
3,1,4.66436585e-12
3,2,9.29528662e-12
4,1,2.92920419e-12
4,2,6.66905577e-12
4,3,1.00669059e-11
5,1,1.98362123e-12
5,2,4.85501239e-12
5,3,8.34047676e-12
5,4,1.11685662e-11
6,1,1.41507722e-12
6,2,3.69848995e-12
6,3,6.49886856e-12
6,4,9.93367216e-12
6,5,1.25067965e-11
7,1,1.06960918e-12
7,2,2.85359195e-12
7,3,5.24502068e-12
7,4,8.36884487e-12
7,5,1.19600470e-11
7,6,1.44537518e-11
8,1,8.21452272e-13
8,2,2.21337814e-12
8,3,4.21404802e-12
8,4,7.03146864e-12
8,5,1.05734856e-11
8,6,1.50273182e-11
8,7,1.76729912e-11
9,1,6.32246260e-13
9,2,1.78651337e-12
9,3,3.44524024e-12
9,4,5.84630576e-12
9,5,9.09282486e-12
9,6,1.35850019e-11
9,7,1.89335792e-11
9,8,2.20831638e-11
10,1,4.89766980e-13
10,2,1.36218460e-12
10,3,2.74677404e-12
10,4,4.76234236e-12
10,5,7.65869918e-12
10,6,1.18158219e-11
10,7,1.78474811e-11
10,8,2.43968504e-11
10,9,2.88423447e-11
11,1,3.40655973e-13
11,2,1.02236251e-12
11,3,2.09713730e-12
11,4,3.75571494e-12
11,5,6.10742886e-12
11,6,9.68890718e-12
11,7,1.50042133e-11
11,8,2.23783291e-11
11,9,3.17127032e-11
11,10,4.23129238e-11
12,1,2.34140077e-13
12,2,7.14557588e-13
12,3,1.49631477e-12
12,4,2.73185626e-12
12,5,4.56265587e-12
12,6,7.43959137e-12
12,7,1.19267284e-11
12,8,1.86453096e-11
12,9,2.80773850e-11
12,10,4.21998528e-11
12,11,7.30507830e-11
13,1,1.84751801e-13
13,2,6.03487674e-13
13,3,1.37394192e-12
13,4,2.64886372e-12
13,5,4.65895285e-12
13,6,7.94977027e-12
13,7,1.29170548e-11
13,8,2.02718932e-11
13,9,2.97465015e-11
13,10,4.23415906e-11
13,11,6.04887980e-11
13,12,3.86100199e-11
14,1,1.39778469e-13
14,2,4.84176896e-13
14,3,1.16512589e-12
14,4,2.40589116e-12
14,5,4.43246528e-12
14,6,7.50352464e-12
14,7,1.19799188e-11
14,8,1.84894815e-11
14,9,2.64001147e-11
14,10,3.70481559e-11
14,11,5.01927800e-11
14,12,3.36530146e-11
14,13,8.43055233e-12
15,1,9.69521123e-14
15,2,3.58319705e-13
15,3,9.03522463e-13
15,4,2.02009687e-12
15,5,3.75268583e-12
15,6,6.46996436e-12
15,7,1.05291549e-11
15,8,1.64372112e-11
15,9,2.38777316e-11
15,10,3.45285611e-11
15,11,4.70624454e-11
15,12,3.50144693e-11
15,13,1.12835081e-11
15,14,2.85630496e-12
16,1,6.22779994e-14
16,2,1.95897981e-13
16,3,5.62485168e-13
16,4,1.39180443e-12
16,5,2.89151779e-12
16,6,5.38220119e-12
16,7,9.24380044e-12
16,8,1.50870325e-11
16,9,2.31228889e-11
16,10,3.45739658e-11
16,11,4.71628249e-11
16,12,3.78101778e-11
16,13,1.44553686e-11
16,14,4.01162270e-12
16,15,1.07237511e-12
17,1,3.96190376e-14
17,2,1.11269996e-13
17,3,3.17104103e-13
17,4,8.05798428e-13
17,5,1.96905370e-12
17,6,4.20388484e-12
17,7,8.30238654e-12
17,8,1.43946738e-11
17,9,2.34978791e-11
17,10,3.51224166e-11
17,11,4.76462151e-11
17,12,4.09329907e-11
17,13,1.73271603e-11
17,14,5.59024065e-12
17,15,1.49142212e-12
17,16,3.44156305e-13
18,1,1.23679556e-14
18,2,5.30136702e-14
18,3,1.19441829e-13
18,4,2.88069184e-13
18,5,8.74925353e-13
18,6,2.57863382e-12
18,7,6.03504093e-12
18,8,1.25106688e-11
18,9,2.30948143e-11
18,10,3.79859886e-11
18,11,5.34040261e-11
18,12,4.88874044e-11
18,13,2.30507150e-11
18,14,8.31273927e-12
18,15,2.29091626e-12
18,16,5.73174244e-13
18,17,1.51605855e-13
