# i,j,K[cm^3/s]
2,1,1.27913415e-10
3,1,9.66990800e-12
3,2,1.33750285e-10
4,1,2.49901043e-12
4,2,1.51566899e-11
4,3,1.40668478e-10
5,1,1.02063533e-12
5,2,4.10162212e-12
5,3,1.67425037e-11
5,4,1.41620418e-10
6,1,5.96475737e-13
6,2,1.88208218e-12
6,3,4.98347628e-12
6,4,1.84593144e-11
6,5,1.41695442e-10
7,1,3.77115615e-13
7,2,1.10397907e-12
7,3,2.40049200e-12
7,4,5.59652928e-12
7,5,1.91613607e-11
7,6,1.45212222e-10
8,1,2.59908081e-13
8,2,7.31635803e-13
8,3,1.45529004e-12
8,4,2.81082481e-12
8,5,5.91822714e-12
8,6,1.96615409e-11
8,7,1.48205800e-10
9,1,1.94698010e-13
9,2,5.19495459e-13
9,3,1.01245322e-12
9,4,1.84278326e-12
9,5,3.10493833e-12
9,6,6.03692837e-12
9,7,1.85314941e-11
9,8,1.45984978e-10
10,1,1.36651467e-13
10,2,3.90179016e-13
10,3,7.35569860e-13
10,4,1.28699305e-12
10,5,2.02732488e-12
10,6,3.23360952e-12
10,7,5.85478758e-12
10,8,1.67909359e-11
10,9,1.38997430e-10
11,1,1.00725225e-13
11,2,2.81133441e-13
11,3,5.48887392e-13
11,4,9.17202919e-13
11,5,1.39483225e-12
11,6,2.08934410e-12
11,7,3.18889965e-12
11,8,5.45521915e-12
11,9,1.37128243e-11
11,10,1.23213549e-10
12,1,5.46252216e-14
12,2,1.65542236e-13
12,3,3.31049266e-13
12,4,5.36055267e-13
12,5,8.22407051e-13
12,6,1.20594402e-12
12,7,1.81667645e-12
12,8,2.72997676e-12
12,9,4.66951169e-12
12,10,1.14343686e-11
12,11,1.06889198e-10
13,1,3.07625236e-14
13,2,8.64266634e-14
13,3,1.74151448e-13
13,4,2.72227559e-13
13,5,4.08331266e-13
13,6,6.04638060e-13
13,7,8.98043137e-13
13,8,1.36486189e-12
13,9,2.14676042e-12
13,10,4.07434009e-12
13,11,1.03934962e-11
13,12,1.07922016e-10
14,1,2.09177301e-14
14,2,5.33061875e-14
14,3,1.04263122e-13
14,4,1.57559466e-13
14,5,2.30697702e-13
14,6,3.45773942e-13
14,7,4.77353771e-13
14,8,6.95163465e-13
14,9,1.02982477e-12
14,10,1.66452033e-12
14,11,3.29891687e-12
14,12,8.63643459e-12
14,13,1.07524019e-10
15,1,1.13275120e-14
15,2,3.54372702e-14
15,3,6.74694638e-14
15,4,8.68665318e-14
15,5,1.24136033e-13
15,6,1.72654645e-13
15,7,2.52290716e-13
15,8,3.62561274e-13
15,9,5.03141579e-13
15,10,7.80807937e-13
15,11,1.30545340e-12
15,12,2.52543521e-12
15,13,6.34309954e-12
15,14,1.02830146e-10
16,1,4.45653638e-15
16,2,1.37156613e-14
16,3,2.37920079e-14
16,4,4.48031689e-14
16,5,5.46505941e-14
16,6,8.66195458e-14
16,7,1.16810785e-13
16,8,1.91200265e-13
16,9,2.64061033e-13
16,10,3.95251284e-13
16,11,6.34644637e-13
16,12,1.03337006e-12
16,13,1.56272818e-12
16,14,4.64480317e-12
16,15,9.38201894e-11
17,1,1.44725810e-15
17,2,4.62207811e-15
17,3,7.41862942e-15
17,4,1.25498929e-14
17,5,2.54423115e-14
17,6,3.36433475e-14
17,7,5.98059427e-14
17,8,9.14297786e-14
17,9,1.25377347e-13
17,10,2.17369759e-13
17,11,3.12165842e-13
17,12,5.32183512e-13
17,13,5.46727620e-13
17,14,8.82395839e-13
17,15,3.77243423e-12
17,16,8.95285587e-11
18,1,0.00000000e+00
18,2,7.66647486e-16
18,3,1.63657764e-15
18,4,2.14327245e-15
18,5,6.03743737e-15
18,6,7.42276369e-15
18,7,3.25569280e-14
18,8,3.40190828e-14
18,9,7.24011622e-14
18,10,1.07165181e-13
18,11,1.80080660e-13
18,12,2.70775650e-13
18,13,2.46845596e-13
18,14,1.93607421e-13
18,15,5.06067718e-13
18,16,2.37428102e-12
18,17,8.04129693e-11
