# i,j,K[cm^3/s]
2,1,1.24664594e-10
3,1,4.77033233e-12
3,2,1.40402566e-10
4,1,1.41928015e-12
4,2,7.52592772e-12
4,3,1.46848385e-10
5,1,6.90252721e-13
5,2,2.74883965e-12
5,3,8.64597139e-12
5,4,1.46388602e-10
6,1,3.61183698e-13
6,2,1.38949980e-12
6,3,3.29802435e-12
6,4,8.12018819e-12
6,5,1.21477165e-10
7,1,1.13575006e-13
7,2,4.30854368e-13
7,3,9.76251727e-13
7,4,2.17118306e-12
7,5,5.92443457e-12
7,6,1.09366956e-10
8,1,4.46008944e-14
8,2,1.47847128e-13
8,3,2.85020879e-13
8,4,5.91630258e-13
8,5,1.23667695e-12
8,6,3.66720223e-12
8,7,1.01380797e-10
9,1,5.73942555e-15
9,2,1.89613322e-14
9,3,5.62470377e-14
9,4,1.45968555e-13
9,5,3.32594695e-13
9,6,8.19867896e-13
9,7,1.36761260e-12
9,8,8.76754063e-11
