# i,E[eV]
1,-4.80615870e+00
2,-3.95500754e+00
3,-3.04728283e+00
4,-2.13402827e+00
5,-1.21295917e+00
6,-2.91499707e-01
7,5.93847812e-01
8,1.51280031e+00
9,2.41856624e+00
