# i,K[cm^3/s]
1,0.00000000e+00
2,0.00000000e+00
3,0.00000000e+00
4,3.41230025e-16
5,1.97421618e-13
6,8.49210603e-11
7,3.31990967e-10
8,5.12477471e-10
9,7.36092837e-10
