# i,E[eV]
1,-4.93862923e+00
2,-4.64180437e+00
3,-4.34133068e+00
4,-4.03621082e+00
5,-3.73266905e+00
6,-3.42585005e+00
7,-3.12018313e+00
8,-2.81556181e+00
9,-2.50834377e+00
10,-2.20127376e+00
11,-1.89309246e+00
12,-1.58619597e+00
13,-1.27975680e+00
14,-9.71685350e-01
15,-6.64848066e-01
16,-3.59299987e-01
17,-5.05994925e-02
18,2.47328595e-01
19,5.53715916e-01
20,8.62551779e-01
21,1.16775395e+00
22,1.47452994e+00
23,1.78297393e+00
24,2.08829111e+00
25,2.39211259e+00
26,2.70090705e+00
27,2.99807967e+00
