# i,K[cm^3/s]
1,4.98451764e-12
2,5.95266277e-12
3,8.16506560e-12
4,1.12803264e-11
5,1.49178989e-11
6,2.06141252e-11
7,2.91804626e-11
8,3.92922120e-11
9,5.34335896e-11
10,7.75803797e-11
11,1.09088310e-10
12,1.56927899e-10
13,2.26264274e-10
14,3.35242973e-10
15,5.14728925e-10
16,8.15839256e-10
17,1.81821026e-09
18,1.78409102e-09
19,1.78295692e-09
20,1.83128288e-09
21,1.84778187e-09
22,2.08056645e-09
23,2.19130596e-09
24,2.43186843e-09
25,2.61374370e-09
26,2.91951441e-09
27,3.67039147e-09
