# i,j,K[cm^3/s]
2,1,1.81083052e-10
3,1,4.42818622e-11
3,2,2.13971792e-10
4,1,1.75137892e-11
4,2,5.93567043e-11
4,3,2.23874947e-10
5,1,8.64769459e-12
5,2,2.78753589e-11
5,3,7.20489019e-11
5,4,2.32595024e-10
6,1,5.33279340e-12
6,2,1.46627512e-11
6,3,3.40611538e-11
6,4,7.52770631e-11
6,5,2.32490157e-10
7,1,3.32435664e-12
7,2,8.45841057e-12
7,3,1.83150901e-11
7,4,3.60810954e-11
7,5,7.66764542e-11
7,6,2.35272808e-10
8,1,2.30549028e-12
8,2,5.61671788e-12
8,3,1.12353775e-11
8,4,2.06119583e-11
8,5,3.81966470e-11
8,6,7.89778136e-11
8,7,2.29077058e-10
9,1,1.59867685e-12
9,2,3.78568051e-12
9,3,7.27681727e-12
9,4,1.23344979e-11
9,5,2.13893302e-11
9,6,3.85558505e-11
9,7,7.59584963e-11
9,8,2.30345605e-10
10,1,1.17722263e-12
10,2,2.68530949e-12
10,3,5.03160429e-12
10,4,8.27988435e-12
10,5,1.34293442e-11
10,6,2.23046727e-11
10,7,3.77419546e-11
10,8,7.60904586e-11
10,9,2.29340434e-10
11,1,9.11738145e-13
11,2,2.04188722e-12
11,3,3.55682337e-12
11,4,5.50937164e-12
11,5,8.57032232e-12
11,6,1.35462519e-11
11,7,2.15475384e-11
11,8,3.77884820e-11
11,9,7.38387960e-11
11,10,2.26501429e-10
12,1,6.78474387e-13
12,2,1.49853532e-12
12,3,2.68728835e-12
12,4,4.02565212e-12
12,5,6.06502563e-12
12,6,9.12019801e-12
12,7,1.34278143e-11
12,8,2.16351780e-11
12,9,3.59542620e-11
12,10,7.17000643e-11
12,11,2.24604793e-10
13,1,5.50693482e-13
13,2,1.17203316e-12
13,3,2.06367755e-12
13,4,3.08884415e-12
13,5,4.54574252e-12
13,6,6.49126003e-12
13,7,9.05500685e-12
13,8,1.34890774e-11
13,9,2.07537618e-11
13,10,3.45298590e-11
13,11,6.73850843e-11
13,12,2.19099820e-10
14,1,4.41426816e-13
14,2,9.32661440e-13
14,3,1.62782370e-12
14,4,2.42525072e-12
14,5,3.43532425e-12
14,6,4.79252508e-12
14,7,6.47734433e-12
14,8,9.14650527e-12
14,9,1.29697680e-11
14,10,1.97402769e-11
14,11,3.23123043e-11
14,12,6.23260821e-11
14,13,2.14086479e-10
15,1,3.57090099e-13
15,2,7.88624421e-13
15,3,1.32700562e-12
15,4,1.97120297e-12
15,5,2.64884946e-12
15,6,3.61137829e-12
15,7,4.64862800e-12
15,8,6.39594996e-12
15,9,8.66363355e-12
15,10,1.23228636e-11
15,11,1.83148590e-11
15,12,2.96670105e-11
15,13,5.79669595e-11
15,14,2.06219219e-10
16,1,3.04216089e-13
16,2,6.29064098e-13
16,3,1.09426463e-12
16,4,1.52516354e-12
16,5,2.09213888e-12
16,6,2.81221039e-12
16,7,3.57593879e-12
16,8,4.80078502e-12
16,9,6.28996339e-12
16,10,8.40995258e-12
16,11,1.16322133e-11
16,12,1.71203305e-11
16,13,2.79045727e-11
16,14,5.37797671e-11
16,15,1.92844016e-10
17,1,2.07631286e-13
