# i,j,K[cm^3/s]
2,1,1.11976595e-11
3,1,6.62499776e-12
3,2,1.40576588e-11
4,1,4.47388444e-12
4,2,1.03066589e-11
4,3,1.57919157e-11
5,1,3.15326897e-12
5,2,7.57220531e-12
5,3,1.26814733e-11
5,4,1.77706268e-11
6,1,2.34438926e-12
6,2,5.84561075e-12
6,3,1.02055185e-11
6,4,1.53626268e-11
6,5,1.98801202e-11
7,1,1.78690237e-12
7,2,4.59149854e-12
7,3,8.31391724e-12
7,4,1.28755455e-11
7,5,1.81891218e-11
7,6,2.31184752e-11
8,1,1.38892971e-12
8,2,3.65195278e-12
8,3,6.71022533e-12
8,4,1.08381193e-11
8,5,1.60246939e-11
8,6,2.24518888e-11
8,7,2.78260231e-11
9,1,1.08259114e-12
9,2,2.88986130e-12
9,3,5.44834240e-12
9,4,9.03499460e-12
9,5,1.37230130e-11
9,6,1.99930447e-11
9,7,2.74956522e-11
9,8,3.41067488e-11
10,1,8.35443727e-13
10,2,2.29722794e-12
10,3,4.39864256e-12
10,4,7.39866613e-12
10,5,1.14638277e-11
10,6,1.72529683e-11
10,7,2.50036357e-11
10,8,3.41266268e-11
10,9,4.27521922e-11
11,1,6.25470219e-13
11,2,1.73203967e-12
11,3,3.37971440e-12
11,4,5.79495503e-12
11,5,9.22464401e-12
11,6,1.42271541e-11
11,7,2.10533211e-11
11,8,3.02175062e-11
11,9,4.15485883e-11
11,10,5.63524383e-11
12,1,4.60791893e-13
12,2,1.29406914e-12
12,3,2.56838633e-12
12,4,4.57021625e-12
12,5,7.42300251e-12
12,6,1.17041068e-11
12,7,1.77862588e-11
12,8,2.59945628e-11
12,9,3.70922361e-11
12,10,5.25912623e-11
12,11,7.91640098e-11
13,1,3.59391442e-13
13,2,1.13712172e-12
13,3,2.42390059e-12
13,4,4.55756861e-12
13,5,7.70570639e-12
13,6,1.23543000e-11
13,7,1.88714198e-11
13,8,2.77223612e-11
13,9,3.84834356e-11
13,10,5.28301931e-11
13,11,7.11695566e-11
13,12,5.51318507e-11
14,1,2.47018633e-13
14,2,9.07399824e-13
14,3,2.11374052e-12
14,4,4.19219199e-12
14,5,7.23131205e-12
14,6,1.18432092e-11
14,7,1.80763194e-11
14,8,2.64087170e-11
14,9,3.65501127e-11
14,10,4.95087190e-11
14,11,6.43072955e-11
14,12,4.99770740e-11
14,13,2.07578674e-11
15,1,1.43812503e-13
15,2,6.22386474e-13
15,3,1.63663816e-12
15,4,3.52626145e-12
15,5,6.44992272e-12
15,6,1.08010222e-11
15,7,1.67582698e-11
15,8,2.50640357e-11
15,9,3.51505556e-11
15,10,4.79588705e-11
15,11,6.17192892e-11
15,12,5.00111598e-11
15,13,2.29955560e-11
15,14,1.04190204e-11
16,1,7.33372742e-14
16,2,3.26278220e-13
16,3,1.11963521e-12
16,4,2.68732561e-12
16,5,5.35678014e-12
16,6,9.49411869e-12
16,7,1.53656471e-11
16,8,2.38418044e-11
16,9,3.44500231e-11
16,10,4.86722579e-11
16,11,6.19393741e-11
16,12,5.20741734e-11
16,13,2.58230712e-11
16,14,1.22561980e-11
16,15,5.72091224e-12
17,1,4.42543723e-14
17,2,1.58670119e-13
17,3,6.09604079e-13
17,4,1.76355593e-12
17,5,4.28682168e-12
17,6,8.37346975e-12
17,7,1.47820923e-11
17,8,2.35381014e-11
17,9,3.55680919e-11
17,10,5.01085569e-11
17,11,6.26396418e-11
17,12,5.40010138e-11
17,13,2.87149240e-11
17,14,1.42421053e-11
17,15,7.03941731e-12
17,16,3.04563418e-12
18,1,2.20927189e-14
18,2,8.56954728e-14
18,3,2.54795611e-13
18,4,8.34157153e-13
18,5,2.48479340e-12
18,6,6.12450197e-12
18,7,1.23980236e-11
18,8,2.27667044e-11
18,9,3.64216082e-11
18,10,5.28156790e-11
18,11,6.74223795e-11
18,12,6.17576460e-11
18,13,3.46219994e-11
18,14,1.77141891e-11
18,15,8.97705199e-12
18,16,4.19902114e-12
18,17,1.61256441e-12
