# i,K[cm^3/s]
1,2.13102096e-15
2,4.17087161e-15
3,4.06997976e-15
4,2.45009133e-14
5,1.17010899e-13
6,3.51848624e-13
7,1.14293268e-12
8,3.63851014e-12
9,1.24734265e-11
10,4.44250753e-11
11,2.18417140e-10
12,9.07792685e-10
13,7.28962750e-10
14,7.61817844e-10
15,9.43240875e-10
16,1.09401912e-09
17,1.27313263e-09
18,1.72824036e-09
