# i,K[cm^3/s]
1,0.00000000e+00
2,0.00000000e+00
3,0.00000000e+00
4,0.00000000e+00
5,0.00000000e+00
6,0.00000000e+00
7,0.00000000e+00
8,0.00000000e+00
9,6.62167787e-16
10,3.62439843e-14
11,4.48471631e-12
12,3.44891592e-10
13,2.21868726e-10
14,2.47634572e-10
15,3.81948966e-10
16,4.60518001e-10
17,5.45209157e-10
18,8.26728864e-10
