# i,j,K[cm^3/s]
2,1,1.28006717e-10
3,1,5.76478061e-12
3,2,1.24004250e-10
4,1,1.46324423e-12
4,2,9.00618855e-12
4,3,1.28806679e-10
5,1,6.84959283e-13
5,2,2.49077412e-12
5,3,9.68672787e-12
5,4,1.28729427e-10
6,1,4.07275992e-13
6,2,1.27004367e-12
6,3,2.93014999e-12
6,4,1.10160161e-11
6,5,1.28853331e-10
7,1,2.62733348e-13
7,2,8.26930325e-13
7,3,1.67076143e-12
7,4,3.30558777e-12
7,5,1.15660224e-11
7,6,1.35159316e-10
8,1,1.74867341e-13
8,2,5.54629710e-13
8,3,1.12900094e-12
8,4,2.01054307e-12
8,5,3.59566146e-12
8,6,1.25957496e-11
8,7,1.41265789e-10
9,1,1.24907735e-13
9,2,3.83941350e-13
9,3,8.13502268e-13
9,4,1.42769974e-12
9,5,2.23786668e-12
9,6,3.79490526e-12
9,7,1.22464190e-11
9,8,1.40837212e-10
10,1,8.80448691e-14
10,2,2.71870147e-13
10,3,5.81445293e-13
10,4,1.01954477e-12
10,5,1.56736591e-12
10,6,2.33776037e-12
10,7,3.83749570e-12
10,8,1.13284896e-11
10,9,1.36822291e-10
11,1,6.38350082e-14
11,2,2.06378495e-13
11,3,4.28207946e-13
11,4,7.37735783e-13
11,5,1.10407517e-12
11,6,1.66223359e-12
11,7,2.37553450e-12
11,8,3.74019893e-12
11,9,9.23116883e-12
11,10,1.23093104e-10
12,1,3.95704790e-14
12,2,1.20590104e-13
12,3,2.55667696e-13
12,4,4.16926709e-13
12,5,6.43496991e-13
12,6,9.45743430e-13
12,7,1.35824025e-12
12,8,1.99777865e-12
12,9,3.17315144e-12
12,10,7.62119383e-12
12,11,1.02164068e-10
13,1,2.03591802e-14
13,2,6.22922182e-14
13,3,1.13280627e-13
13,4,1.93868161e-13
13,5,2.88116287e-13
13,6,4.18040391e-13
13,7,5.97401388e-13
13,8,8.72559765e-13
13,9,1.29787618e-12
13,10,2.32612640e-12
13,11,5.97450804e-12
13,12,1.02171322e-10
14,1,1.35516842e-14
14,2,4.07788849e-14
14,3,7.15594062e-14
14,4,1.18974767e-13
14,5,1.74370551e-13
14,6,2.33443741e-13
14,7,3.16126368e-13
14,8,4.40654350e-13
14,9,6.01577413e-13
14,10,9.22685329e-13
14,11,1.71732723e-12
14,12,4.71820440e-12
14,13,1.03362856e-10
15,1,6.93941831e-15
15,2,2.69333218e-14
15,3,4.67369316e-14
15,4,7.31499573e-14
15,5,1.03335648e-13
15,6,1.29483486e-13
15,7,1.58173325e-13
15,8,2.18316507e-13
15,9,2.99597535e-13
15,10,4.20387625e-13
15,11,6.39585121e-13
15,12,1.20152565e-12
15,13,3.17218464e-12
15,14,9.97556401e-11
16,1,6.07316810e-15
16,2,1.35544329e-14
16,3,1.97213578e-14
16,4,3.31173019e-14
16,5,5.25304938e-14
16,6,5.69794111e-14
16,7,7.73946904e-14
16,8,1.11928383e-13
16,9,1.41935949e-13
16,10,2.09019029e-13
16,11,3.15231563e-13
16,12,4.95555995e-13
16,13,6.46625605e-13
16,14,2.02014582e-12
16,15,8.88325667e-11
17,1,3.49746891e-16
17,2,5.56345753e-15
17,3,5.13711755e-15
17,4,1.43118781e-14
17,5,1.08292416e-14
17,6,2.35406165e-14
17,7,2.81517039e-14
17,8,4.88917297e-14
17,9,6.14203864e-14
17,10,9.42803059e-14
17,11,1.43055884e-13
17,12,2.38651898e-13
17,13,2.21070534e-13
17,14,2.91600458e-13
17,15,1.52853694e-12
17,16,8.58761190e-11
18,1,0.00000000e+00
18,2,0.00000000e+00
18,3,0.00000000e+00
18,4,1.01435461e-15
18,5,9.41094111e-15
18,6,2.35633270e-15
18,7,1.53693811e-14
18,8,1.47138667e-14
18,9,3.07976783e-14
18,10,3.76427990e-14
18,11,8.47777179e-14
18,12,1.25962624e-13
18,13,9.88422496e-14
18,14,4.97562119e-14
18,15,1.36073477e-13
18,16,8.52746253e-13
18,17,7.43485530e-11
