# i,E[eV]
1,-4.96324875e+00
2,-4.51874945e+00
3,-4.06357742e+00
4,-3.60907692e+00
5,-3.14813267e+00
6,-2.69097765e+00
7,-2.23199454e+00
8,-1.77161702e+00
9,-1.31082094e+00
10,-8.52984028e-01
11,-3.88010370e-01
12,5.53921558e-02
13,5.18847567e-01
14,9.80661951e-01
15,1.44131775e+00
16,1.90861891e+00
17,2.35586200e+00
18,2.81285064e+00
