#--------------------------#
# x [m]  X_O  X_O2  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.273127198027E-10  0.246346863784E-06  0.999999753653E+00  0.712498107793E+03  0.145344798320E+05  0.540151755134E-02  0.203993266274E+05  0.101656009033E+24  0.182731307142E+08  0.327895423457E+00
  0.275958470007E-10  0.248900527784E-06  0.999999751099E+00  0.712498107849E+03  0.145344798145E+05  0.540151755092E-02  0.203993266272E+05  0.101656009155E+24  0.182731307142E+08  0.327895423429E+00
  0.278818054708E-10  0.251479728436E-06  0.999999748520E+00  0.712498107905E+03  0.145344797967E+05  0.540151755049E-02  0.203993266270E+05  0.101656009278E+24  0.182731307142E+08  0.327895423401E+00
  0.281706235255E-10  0.254084721105E-06  0.999999745915E+00  0.712498107962E+03  0.145344797788E+05  0.540151755006E-02  0.203993266268E+05  0.101656009402E+24  0.182731307142E+08  0.327895423372E+00
  0.284623297607E-10  0.256715763713E-06  0.999999743284E+00  0.712498108020E+03  0.145344797607E+05  0.540151754962E-02  0.203993266266E+05  0.101656009528E+24  0.182731307142E+08  0.327895423344E+00
  0.287569530583E-10  0.259373116759E-06  0.999999740627E+00  0.712498108078E+03  0.145344797424E+05  0.540151754918E-02  0.203993266263E+05  0.101656009654E+24  0.182731307142E+08  0.327895423314E+00
  0.290545225889E-10  0.262057043348E-06  0.999999737943E+00  0.712498108137E+03  0.145344797239E+05  0.540151754874E-02  0.203993266261E+05  0.101656009782E+24  0.182731307142E+08  0.327895423285E+00
  0.293550678148E-10  0.264767809215E-06  0.999999735232E+00  0.712498108196E+03  0.145344797053E+05  0.540151754829E-02  0.203993266259E+05  0.101656009912E+24  0.182731307142E+08  0.327895423255E+00
  0.296586184929E-10  0.267505682753E-06  0.999999732494E+00  0.712498108256E+03  0.145344796864E+05  0.540151754783E-02  0.203993266257E+05  0.101656010042E+24  0.182731307142E+08  0.327895423225E+00
  0.299652046779E-10  0.270270935040E-06  0.999999729729E+00  0.712498108317E+03  0.145344796674E+05  0.540151754737E-02  0.203993266254E+05  0.101656010174E+24  0.182731307142E+08  0.327895423195E+00
  0.302748567246E-10  0.273063839864E-06  0.999999726936E+00  0.712498108378E+03  0.145344796482E+05  0.540151754691E-02  0.203993266252E+05  0.101656010308E+24  0.182731307142E+08  0.327895423164E+00
  0.305876052919E-10  0.275884673748E-06  0.999999724115E+00  0.712498108439E+03  0.145344796288E+05  0.540151754644E-02  0.203993266249E+05  0.101656010442E+24  0.182731307142E+08  0.327895423133E+00
  0.309034813448E-10  0.278733715986E-06  0.999999721266E+00  0.712498108502E+03  0.145344796092E+05  0.540151754597E-02  0.203993266247E+05  0.101656010578E+24  0.182731307142E+08  0.327895423102E+00
  0.312225161583E-10  0.281611248660E-06  0.999999718389E+00  0.712498108565E+03  0.145344795894E+05  0.540151754549E-02  0.203993266245E+05  0.101656010715E+24  0.182731307142E+08  0.327895423070E+00
  0.315447413198E-10  0.284517556675E-06  0.999999715482E+00  0.712498108628E+03  0.145344795694E+05  0.540151754501E-02  0.203993266242E+05  0.101656010854E+24  0.182731307142E+08  0.327895423039E+00
  0.318701887330E-10  0.287452927785E-06  0.999999712547E+00  0.712498108693E+03  0.145344795492E+05  0.540151754452E-02  0.203993266240E+05  0.101656010994E+24  0.182731307142E+08  0.327895423006E+00
  0.321988906204E-10  0.290417652621E-06  0.999999709582E+00  0.712498108757E+03  0.145344795288E+05  0.540151754403E-02  0.203993266237E+05  0.101656011135E+24  0.182731307142E+08  0.327895422974E+00
  0.325308795266E-10  0.293412024721E-06  0.999999706588E+00  0.712498108823E+03  0.145344795082E+05  0.540151754353E-02  0.203993266235E+05  0.101656011278E+24  0.182731307142E+08  0.327895422941E+00
  0.328661883218E-10  0.296436340557E-06  0.999999703564E+00  0.712498108889E+03  0.145344794874E+05  0.540151754303E-02  0.203993266232E+05  0.101656011423E+24  0.182731307142E+08  0.327895422908E+00
  0.332048502051E-10  0.299490899567E-06  0.999999700509E+00  0.712498108956E+03  0.145344794664E+05  0.540151754252E-02  0.203993266230E+05  0.101656011568E+24  0.182731307142E+08  0.327895422874E+00
  0.335468987071E-10  0.302576004184E-06  0.999999697424E+00  0.712498109024E+03  0.145344794451E+05  0.540151754201E-02  0.203993266227E+05  0.101656011715E+24  0.182731307142E+08  0.327895422841E+00
  0.338923676942E-10  0.305691959864E-06  0.999999694308E+00  0.712498109092E+03  0.145344794237E+05  0.540151754149E-02  0.203993266224E+05  0.101656011864E+24  0.182731307142E+08  0.327895422806E+00
  0.342412913711E-10  0.308839075117E-06  0.999999691161E+00  0.712498109161E+03  0.145344794020E+05  0.540151754097E-02  0.203993266222E+05  0.101656012014E+24  0.182731307142E+08  0.327895422772E+00
  0.345937042848E-10  0.312017661540E-06  0.999999687982E+00  0.712498109230E+03  0.145344793802E+05  0.540151754044E-02  0.203993266219E+05  0.101656012166E+24  0.182731307142E+08  0.327895422737E+00
  0.349496413277E-10  0.315228033844E-06  0.999999684772E+00  0.712498109301E+03  0.145344793581E+05  0.540151753991E-02  0.203993266216E+05  0.101656012319E+24  0.182731307142E+08  0.327895422702E+00
  0.353091377410E-10  0.318470509890E-06  0.999999681529E+00  0.712498109372E+03  0.145344793358E+05  0.540151753937E-02  0.203993266214E+05  0.101656012474E+24  0.182731307142E+08  0.327895422666E+00
  0.356722291184E-10  0.321745410714E-06  0.999999678255E+00  0.712498109443E+03  0.145344793132E+05  0.540151753883E-02  0.203993266211E+05  0.101656012630E+24  0.182731307142E+08  0.327895422630E+00
  0.360389514096E-10  0.325053060565E-06  0.999999674947E+00  0.712498109516E+03  0.145344792905E+05  0.540151753828E-02  0.203993266208E+05  0.101656012788E+24  0.182731307142E+08  0.327895422594E+00
  0.364093409237E-10  0.328393786934E-06  0.999999671606E+00  0.712498109589E+03  0.145344792675E+05  0.540151753773E-02  0.203993266205E+05  0.101656012947E+24  0.182731307142E+08  0.327895422557E+00
  0.367834343329E-10  0.331767920585E-06  0.999999668232E+00  0.712498109663E+03  0.145344792443E+05  0.540151753717E-02  0.203993266202E+05  0.101656013108E+24  0.182731307142E+08  0.327895422520E+00
  0.371612686762E-10  0.335175795593E-06  0.999999664824E+00  0.712498109737E+03  0.145344792208E+05  0.540151753660E-02  0.203993266200E+05  0.101656013271E+24  0.182731307142E+08  0.327895422483E+00
  0.375428813630E-10  0.338617749372E-06  0.999999661382E+00  0.712498109813E+03  0.145344791971E+05  0.540151753603E-02  0.203993266197E+05  0.101656013435E+24  0.182731307142E+08  0.327895422445E+00
  0.379283101766E-10  0.342094122708E-06  0.999999657906E+00  0.712498109889E+03  0.145344791732E+05  0.540151753545E-02  0.203993266194E+05  0.101656013601E+24  0.182731307142E+08  0.327895422407E+00
  0.383175932784E-10  0.345605259799E-06  0.999999654395E+00  0.712498109965E+03  0.145344791491E+05  0.540151753487E-02  0.203993266191E+05  0.101656013768E+24  0.182731307142E+08  0.327895422369E+00
  0.387107692112E-10  0.349151508282E-06  0.999999650848E+00  0.712498110043E+03  0.145344791247E+05  0.540151753428E-02  0.203993266188E+05  0.101656013937E+24  0.182731307142E+08  0.327895422330E+00
  0.391078769033E-10  0.352733219272E-06  0.999999647267E+00  0.712498110122E+03  0.145344791000E+05  0.540151753369E-02  0.203993266185E+05  0.101656014108E+24  0.182731307142E+08  0.327895422291E+00
  0.395089556723E-10  0.356350747394E-06  0.999999643649E+00  0.712498110201E+03  0.145344790751E+05  0.540151753309E-02  0.203993266182E+05  0.101656014281E+24  0.182731307142E+08  0.327895422251E+00
  0.399140452290E-10  0.360004450820E-06  0.999999639996E+00  0.712498110281E+03  0.145344790500E+05  0.540151753248E-02  0.203993266179E+05  0.101656014455E+24  0.182731307142E+08  0.327895422211E+00
  0.403231856813E-10  0.363694691304E-06  0.999999636305E+00  0.712498110361E+03  0.145344790246E+05  0.540151753187E-02  0.203993266176E+05  0.101656014631E+24  0.182731307142E+08  0.327895422170E+00
  0.407364175381E-10  0.367421834216E-06  0.999999632578E+00  0.712498110443E+03  0.145344789989E+05  0.540151753125E-02  0.203993266172E+05  0.101656014809E+24  0.182731307142E+08  0.327895422129E+00
  0.411537817135E-10  0.371186248581E-06  0.999999628814E+00  0.712498110525E+03  0.145344789730E+05  0.540151753063E-02  0.203993266169E+05  0.101656014989E+24  0.182731307142E+08  0.327895422088E+00
  0.415753195306E-10  0.374988307115E-06  0.999999625012E+00  0.712498110609E+03  0.145344789469E+05  0.540151753000E-02  0.203993266166E+05  0.101656015170E+24  0.182731307142E+08  0.327895422046E+00
  0.420010727260E-10  0.378828386258E-06  0.999999621172E+00  0.712498110693E+03  0.145344789205E+05  0.540151752936E-02  0.203993266163E+05  0.101656015353E+24  0.182731307142E+08  0.327895422004E+00
  0.424310834532E-10  0.382706866219E-06  0.999999617293E+00  0.712498110778E+03  0.145344788938E+05  0.540151752871E-02  0.203993266159E+05  0.101656015538E+24  0.182731307142E+08  0.327895421962E+00
  0.428653942877E-10  0.386624131006E-06  0.999999613376E+00  0.712498110863E+03  0.145344788668E+05  0.540151752806E-02  0.203993266156E+05  0.101656015725E+24  0.182731307142E+08  0.327895421919E+00
  0.433040482306E-10  0.390580568467E-06  0.999999609419E+00  0.712498110950E+03  0.145344788396E+05  0.540151752741E-02  0.203993266153E+05  0.101656015914E+24  0.182731307142E+08  0.327895421875E+00
  0.437470887129E-10  0.394576570330E-06  0.999999605423E+00  0.712498111037E+03  0.145344788121E+05  0.540151752674E-02  0.203993266149E+05  0.101656016104E+24  0.182731307142E+08  0.327895421832E+00
  0.441945596001E-10  0.398612532239E-06  0.999999601387E+00  0.712498111126E+03  0.145344787843E+05  0.540151752608E-02  0.203993266146E+05  0.101656016297E+24  0.182731307142E+08  0.327895421787E+00
  0.446465051961E-10  0.402688853796E-06  0.999999597311E+00  0.712498111215E+03  0.145344787563E+05  0.540151752540E-02  0.203993266143E+05  0.101656016491E+24  0.182731307142E+08  0.327895421743E+00
  0.451029702480E-10  0.406805938597E-06  0.999999593194E+00  0.712498111305E+03  0.145344787280E+05  0.540151752472E-02  0.203993266139E+05  0.101656016688E+24  0.182731307142E+08  0.327895421698E+00
  0.455639999505E-10  0.410964194276E-06  0.999999589036E+00  0.712498111396E+03  0.145344786993E+05  0.540151752403E-02  0.203993266136E+05  0.101656016886E+24  0.182731307142E+08  0.327895421652E+00
  0.460296399500E-10  0.415164032541E-06  0.999999584836E+00  0.712498111488E+03  0.145344786704E+05  0.540151752333E-02  0.203993266132E+05  0.101656017086E+24  0.182731307142E+08  0.327895421606E+00
  0.464999363495E-10  0.419405869220E-06  0.999999580594E+00  0.712498111581E+03  0.145344786413E+05  0.540151752262E-02  0.203993266129E+05  0.101656017289E+24  0.182731307142E+08  0.327895421559E+00
  0.469749357130E-10  0.423690124297E-06  0.999999576310E+00  0.712498111675E+03  0.145344786118E+05  0.540151752191E-02  0.203993266125E+05  0.101656017493E+24  0.182731307142E+08  0.327895421512E+00
  0.474546850701E-10  0.428017221956E-06  0.999999571983E+00  0.712498111769E+03  0.145344785820E+05  0.540151752120E-02  0.203993266121E+05  0.101656017700E+24  0.182731307142E+08  0.327895421465E+00
  0.479392319208E-10  0.432387590624E-06  0.999999567612E+00  0.712498111865E+03  0.145344785519E+05  0.540151752047E-02  0.203993266118E+05  0.101656017908E+24  0.182731307142E+08  0.327895421417E+00
  0.484286242400E-10  0.436801663013E-06  0.999999563198E+00  0.712498111962E+03  0.145344785216E+05  0.540151751974E-02  0.203993266114E+05  0.101656018119E+24  0.182731307142E+08  0.327895421369E+00
  0.489229104824E-10  0.441259876159E-06  0.999999558740E+00  0.712498112059E+03  0.145344784909E+05  0.540151751900E-02  0.203993266110E+05  0.101656018331E+24  0.182731307142E+08  0.327895421320E+00
  0.494221395873E-10  0.445762671471E-06  0.999999554237E+00  0.712498112158E+03  0.145344784599E+05  0.540151751825E-02  0.203993266106E+05  0.101656018546E+24  0.182731307142E+08  0.327895421270E+00
  0.499263609831E-10  0.450310494771E-06  0.999999549690E+00  0.712498112257E+03  0.145344784286E+05  0.540151751750E-02  0.203993266103E+05  0.101656018763E+24  0.182731307142E+08  0.327895421220E+00
  0.504356245930E-10  0.454903796340E-06  0.999999545096E+00  0.712498112358E+03  0.145344783970E+05  0.540151751673E-02  0.203993266099E+05  0.101656018982E+24  0.182731307142E+08  0.327895421170E+00
  0.509499808389E-10  0.459543030962E-06  0.999999540457E+00  0.712498112459E+03  0.145344783651E+05  0.540151751596E-02  0.203993266095E+05  0.101656019204E+24  0.182731307142E+08  0.327895421119E+00
  0.514694806473E-10  0.464228657967E-06  0.999999535771E+00  0.712498112562E+03  0.145344783328E+05  0.540151751519E-02  0.203993266091E+05  0.101656019427E+24  0.182731307142E+08  0.327895421068E+00
  0.519941754538E-10  0.468961141280E-06  0.999999531039E+00  0.712498112666E+03  0.145344783003E+05  0.540151751440E-02  0.203993266087E+05  0.101656019653E+24  0.182731307142E+08  0.327895421016E+00
  0.525241172083E-10  0.473740949465E-06  0.999999526259E+00  0.712498112770E+03  0.145344782674E+05  0.540151751361E-02  0.203993266083E+05  0.101656019881E+24  0.182731307142E+08  0.327895420963E+00
  0.530593583804E-10  0.478568555772E-06  0.999999521431E+00  0.712498112876E+03  0.145344782342E+05  0.540151751281E-02  0.203993266079E+05  0.101656020111E+24  0.182731307142E+08  0.327895420910E+00
  0.535999519642E-10  0.483444438183E-06  0.999999516556E+00  0.712498112983E+03  0.145344782006E+05  0.540151751200E-02  0.203993266075E+05  0.101656020344E+24  0.182731307142E+08  0.327895420857E+00
  0.541459514838E-10  0.488369079458E-06  0.999999511631E+00  0.712498113090E+03  0.145344781667E+05  0.540151751118E-02  0.203993266070E+05  0.101656020579E+24  0.182731307142E+08  0.327895420803E+00
  0.546974109987E-10  0.493342967189E-06  0.999999506657E+00  0.712498113199E+03  0.145344781325E+05  0.540151751036E-02  0.203993266066E+05  0.101656020816E+24  0.182731307142E+08  0.327895420748E+00
  0.552543851086E-10  0.498366593840E-06  0.999999501633E+00  0.712498113309E+03  0.145344780980E+05  0.540151750952E-02  0.203993266062E+05  0.101656021056E+24  0.182731307142E+08  0.327895420693E+00
  0.558169289597E-10  0.503440456801E-06  0.999999496560E+00  0.712498113420E+03  0.145344780630E+05  0.540151750868E-02  0.203993266058E+05  0.101656021298E+24  0.182731307142E+08  0.327895420638E+00
  0.563850982493E-10  0.508565058437E-06  0.999999491435E+00  0.712498113532E+03  0.145344780278E+05  0.540151750783E-02  0.203993266053E+05  0.101656021542E+24  0.182731307142E+08  0.327895420582E+00
  0.569589492318E-10  0.513740906134E-06  0.999999486259E+00  0.712498113646E+03  0.145344779922E+05  0.540151750697E-02  0.203993266049E+05  0.101656021789E+24  0.182731307142E+08  0.327895420525E+00
  0.575385387241E-10  0.518968512355E-06  0.999999481031E+00  0.712498113760E+03  0.145344779562E+05  0.540151750610E-02  0.203993266045E+05  0.101656022038E+24  0.182731307142E+08  0.327895420467E+00
  0.581239241114E-10  0.524248394686E-06  0.999999475752E+00  0.712498113876E+03  0.145344779199E+05  0.540151750523E-02  0.203993266040E+05  0.101656022290E+24  0.182731307142E+08  0.327895420410E+00
  0.587151633525E-10  0.529581075888E-06  0.999999470419E+00  0.712498113992E+03  0.145344778832E+05  0.540151750434E-02  0.203993266036E+05  0.101656022545E+24  0.182731307142E+08  0.327895420351E+00
  0.593123149860E-10  0.534967083952E-06  0.999999465033E+00  0.712498114110E+03  0.145344778461E+05  0.540151750345E-02  0.203993266031E+05  0.101656022802E+24  0.182731307142E+08  0.327895420292E+00
  0.599154381359E-10  0.540406952147E-06  0.999999459593E+00  0.712498114229E+03  0.145344778087E+05  0.540151750255E-02  0.203993266027E+05  0.101656023061E+24  0.182731307142E+08  0.327895420232E+00
  0.605245925172E-10  0.545901219075E-06  0.999999454099E+00  0.712498114350E+03  0.145344777709E+05  0.540151750163E-02  0.203993266022E+05  0.101656023323E+24  0.182731307142E+08  0.327895420172E+00
  0.611398384424E-10  0.551450428725E-06  0.999999448550E+00  0.712498114471E+03  0.145344777327E+05  0.540151750071E-02  0.203993266017E+05  0.101656023588E+24  0.182731307142E+08  0.327895420111E+00
  0.617612368268E-10  0.557055130525E-06  0.999999442945E+00  0.712498114594E+03  0.145344776941E+05  0.540151749978E-02  0.203993266013E+05  0.101656023855E+24  0.182731307142E+08  0.327895420050E+00
  0.623888491951E-10  0.562715879397E-06  0.999999437284E+00  0.712498114718E+03  0.145344776552E+05  0.540151749884E-02  0.203993266008E+05  0.101656024125E+24  0.182731307142E+08  0.327895419988E+00
  0.630227376871E-10  0.568433235814E-06  0.999999431567E+00  0.712498114843E+03  0.145344776158E+05  0.540151749789E-02  0.203993266003E+05  0.101656024398E+24  0.182731307142E+08  0.327895419925E+00
  0.636629650639E-10  0.574207765851E-06  0.999999425792E+00  0.712498114969E+03  0.145344775761E+05  0.540151749694E-02  0.203993265998E+05  0.101656024674E+24  0.182731307142E+08  0.327895419862E+00
  0.643095947146E-10  0.580040041247E-06  0.999999419960E+00  0.712498115097E+03  0.145344775360E+05  0.540151749597E-02  0.203993265993E+05  0.101656024952E+24  0.182731307142E+08  0.327895419798E+00
  0.649626906617E-10  0.585930639456E-06  0.999999414069E+00  0.712498115226E+03  0.145344774954E+05  0.540151749499E-02  0.203993265988E+05  0.101656025233E+24  0.182731307142E+08  0.327895419733E+00
  0.656223175683E-10  0.591880143707E-06  0.999999408120E+00  0.712498115356E+03  0.145344774545E+05  0.540151749400E-02  0.203993265983E+05  0.101656025517E+24  0.182731307142E+08  0.327895419668E+00
  0.662885407440E-10  0.597889143063E-06  0.999999402111E+00  0.712498115488E+03  0.145344774132E+05  0.540151749301E-02  0.203993265978E+05  0.101656025803E+24  0.182731307142E+08  0.327895419602E+00
  0.669614261515E-10  0.603958232474E-06  0.999999396042E+00  0.712498115621E+03  0.145344773714E+05  0.540151749200E-02  0.203993265973E+05  0.101656026093E+24  0.182731307142E+08  0.327895419535E+00
  0.676410404130E-10  0.610088012844E-06  0.999999389912E+00  0.712498115755E+03  0.145344773292E+05  0.540151749098E-02  0.203993265968E+05  0.101656026385E+24  0.182731307142E+08  0.327895419468E+00
  0.683274508171E-10  0.616279091082E-06  0.999999383721E+00  0.712498115890E+03  0.145344772866E+05  0.540151748996E-02  0.203993265963E+05  0.101656026681E+24  0.182731307142E+08  0.327895419400E+00
  0.690207253253E-10  0.622532080170E-06  0.999999377468E+00  0.712498116027E+03  0.145344772436E+05  0.540151748892E-02  0.203993265957E+05  0.101656026979E+24  0.182731307142E+08  0.327895419332E+00
  0.697209325785E-10  0.628847599216E-06  0.999999371152E+00  0.712498116165E+03  0.145344772001E+05  0.540151748787E-02  0.203993265952E+05  0.101656027280E+24  0.182731307142E+08  0.327895419262E+00
  0.704281419043E-10  0.635226273522E-06  0.999999364774E+00  0.712498116305E+03  0.145344771563E+05  0.540151748681E-02  0.203993265947E+05  0.101656027585E+24  0.182731307142E+08  0.327895419192E+00
  0.711424233234E-10  0.641668734641E-06  0.999999358331E+00  0.712498116446E+03  0.145344771119E+05  0.540151748574E-02  0.203993265941E+05  0.101656027892E+24  0.182731307142E+08  0.327895419122E+00
  0.718638475566E-10  0.648175620444E-06  0.999999351824E+00  0.712498116588E+03  0.145344770672E+05  0.540151748466E-02  0.203993265936E+05  0.101656028202E+24  0.182731307142E+08  0.327895419050E+00
  0.725924860322E-10  0.654747575179E-06  0.999999345252E+00  0.712498116732E+03  0.145344770219E+05  0.540151748357E-02  0.203993265930E+05  0.101656028516E+24  0.182731307142E+08  0.327895418978E+00
  0.733284108925E-10  0.661385249536E-06  0.999999338615E+00  0.712498116878E+03  0.145344769763E+05  0.540151748247E-02  0.203993265925E+05  0.101656028832E+24  0.182731307142E+08  0.327895418906E+00
  0.740716950014E-10  0.668089300713E-06  0.999999331911E+00  0.712498117024E+03  0.145344769301E+05  0.540151748136E-02  0.203993265919E+05  0.101656029152E+24  0.182731307142E+08  0.327895418832E+00
  0.748224119514E-10  0.674860392479E-06  0.999999325140E+00  0.712498117172E+03  0.145344768835E+05  0.540151748023E-02  0.203993265913E+05  0.101656029475E+24  0.182731307142E+08  0.327895418758E+00
  0.755806360709E-10  0.681699195243E-06  0.999999318301E+00  0.712498117322E+03  0.145344768365E+05  0.540151747910E-02  0.203993265908E+05  0.101656029802E+24  0.182731307142E+08  0.327895418683E+00
  0.763464424316E-10  0.688606386116E-06  0.999999311394E+00  0.712498117473E+03  0.145344767890E+05  0.540151747795E-02  0.203993265902E+05  0.101656030131E+24  0.182731307142E+08  0.327895418607E+00
  0.771199068560E-10  0.695582648980E-06  0.999999304417E+00  0.712498117626E+03  0.145344767410E+05  0.540151747680E-02  0.203993265896E+05  0.101656030464E+24  0.182731307142E+08  0.327895418531E+00
  0.779011059245E-10  0.702628674558E-06  0.999999297371E+00  0.712498117780E+03  0.145344766925E+05  0.540151747563E-02  0.203993265890E+05  0.101656030800E+24  0.182731307142E+08  0.327895418453E+00
  0.786901169838E-10  0.709745160477E-06  0.999999290255E+00  0.712498117936E+03  0.145344766435E+05  0.540151747445E-02  0.203993265884E+05  0.101656031139E+24  0.182731307142E+08  0.327895418375E+00
  0.794870181536E-10  0.716932811344E-06  0.999999283067E+00  0.712498118093E+03  0.145344765941E+05  0.540151747325E-02  0.203993265878E+05  0.101656031482E+24  0.182731307142E+08  0.327895418296E+00
  0.802918883351E-10  0.724192338809E-06  0.999999275808E+00  0.712498118252E+03  0.145344765441E+05  0.540151747205E-02  0.203993265872E+05  0.101656031829E+24  0.182731307142E+08  0.327895418217E+00
  0.811048072185E-10  0.731524461640E-06  0.999999268476E+00  0.712498118413E+03  0.145344764937E+05  0.540151747083E-02  0.203993265866E+05  0.101656032178E+24  0.182731307142E+08  0.327895418136E+00
  0.819258552907E-10  0.738929905793E-06  0.999999261070E+00  0.712498118575E+03  0.145344764427E+05  0.540151746960E-02  0.203993265859E+05  0.101656032532E+24  0.182731307142E+08  0.327895418055E+00
  0.827551138436E-10  0.746409404483E-06  0.999999253591E+00  0.712498118739E+03  0.145344763912E+05  0.540151746836E-02  0.203993265853E+05  0.101656032889E+24  0.182731307142E+08  0.327895417973E+00
  0.835926649820E-10  0.753963698256E-06  0.999999246036E+00  0.712498118904E+03  0.145344763393E+05  0.540151746711E-02  0.203993265847E+05  0.101656033249E+24  0.182731307142E+08  0.327895417890E+00
  0.844385916318E-10  0.761593535067E-06  0.999999238406E+00  0.712498119071E+03  0.145344762868E+05  0.540151746584E-02  0.203993265840E+05  0.101656033613E+24  0.182731307142E+08  0.327895417807E+00
  0.852929775481E-10  0.769299670346E-06  0.999999230700E+00  0.712498119240E+03  0.145344762337E+05  0.540151746456E-02  0.203993265834E+05  0.101656033981E+24  0.182731307142E+08  0.327895417722E+00
  0.861559073236E-10  0.777082867082E-06  0.999999222917E+00  0.712498119410E+03  0.145344761802E+05  0.540151746327E-02  0.203993265827E+05  0.101656034352E+24  0.182731307142E+08  0.327895417637E+00
  0.870274663969E-10  0.784943895890E-06  0.999999215056E+00  0.712498119582E+03  0.145344761261E+05  0.540151746197E-02  0.203993265821E+05  0.101656034727E+24  0.182731307142E+08  0.327895417551E+00
  0.879077410608E-10  0.792883535093E-06  0.999999207116E+00  0.712498119756E+03  0.145344760715E+05  0.540151746065E-02  0.203993265814E+05  0.101656035106E+24  0.182731307142E+08  0.327895417463E+00
  0.887968184714E-10  0.800902570798E-06  0.999999199097E+00  0.712498119931E+03  0.145344760163E+05  0.540151745932E-02  0.203993265807E+05  0.101656035488E+24  0.182731307142E+08  0.327895417376E+00
  0.896947866562E-10  0.809001796972E-06  0.999999190998E+00  0.712498120109E+03  0.145344759605E+05  0.540151745798E-02  0.203993265800E+05  0.101656035875E+24  0.182731307142E+08  0.327895417287E+00
  0.906017345227E-10  0.817182015521E-06  0.999999182818E+00  0.712498120288E+03  0.145344759043E+05  0.540151745662E-02  0.203993265793E+05  0.101656036265E+24  0.182731307142E+08  0.327895417197E+00
  0.915177518679E-10  0.825444036372E-06  0.999999174556E+00  0.712498120469E+03  0.145344758474E+05  0.540151745525E-02  0.203993265787E+05  0.101656036659E+24  0.182731307142E+08  0.327895417106E+00
  0.924429293866E-10  0.833788677551E-06  0.999999166211E+00  0.712498120651E+03  0.145344757900E+05  0.540151745386E-02  0.203993265780E+05  0.101656037057E+24  0.182731307142E+08  0.327895417015E+00
  0.933773586805E-10  0.842216765261E-06  0.999999157783E+00  0.712498120836E+03  0.145344757320E+05  0.540151745246E-02  0.203993265772E+05  0.101656037459E+24  0.182731307142E+08  0.327895416922E+00
  0.943211322673E-10  0.850729133972E-06  0.999999149271E+00  0.712498121022E+03  0.145344756734E+05  0.540151745105E-02  0.203993265765E+05  0.101656037865E+24  0.182731307142E+08  0.327895416829E+00
  0.952743435900E-10  0.859326626497E-06  0.999999140673E+00  0.712498121210E+03  0.145344756143E+05  0.540151744962E-02  0.203993265758E+05  0.101656038275E+24  0.182731307142E+08  0.327895416735E+00
  0.962370870259E-10  0.868010094074E-06  0.999999131990E+00  0.712498121400E+03  0.145344755545E+05  0.540151744818E-02  0.203993265751E+05  0.101656038690E+24  0.182731307142E+08  0.327895416640E+00
  0.972094578961E-10  0.876780396459E-06  0.999999123220E+00  0.712498121592E+03  0.145344754942E+05  0.540151744673E-02  0.203993265743E+05  0.101656039108E+24  0.182731307142E+08  0.327895416543E+00
  0.981915524751E-10  0.885638402001E-06  0.999999114362E+00  0.712498121786E+03  0.145344754332E+05  0.540151744526E-02  0.203993265736E+05  0.101656039530E+24  0.182731307142E+08  0.327895416446E+00
  0.991834679998E-10  0.894584987734E-06  0.999999105415E+00  0.712498121982E+03  0.145344753717E+05  0.540151744377E-02  0.203993265728E+05  0.101656039957E+24  0.182731307142E+08  0.327895416348E+00
  0.100185302680E-09  0.903621039464E-06  0.999999096379E+00  0.712498122180E+03  0.145344753095E+05  0.540151744227E-02  0.203993265721E+05  0.101656040388E+24  0.182731307142E+08  0.327895416249E+00
  0.101197155707E-09  0.912747451853E-06  0.999999087253E+00  0.712498122379E+03  0.145344752467E+05  0.540151744076E-02  0.203993265713E+05  0.101656040824E+24  0.182731307142E+08  0.327895416149E+00
  0.102219127264E-09  0.921965128510E-06  0.999999078035E+00  0.712498122581E+03  0.145344751833E+05  0.540151743923E-02  0.203993265705E+05  0.101656041263E+24  0.182731307142E+08  0.327895416048E+00
  0.103251318536E-09  0.931274982082E-06  0.999999068725E+00  0.712498122785E+03  0.145344751192E+05  0.540151743769E-02  0.203993265697E+05  0.101656041708E+24  0.182731307142E+08  0.327895415946E+00
  0.104293831722E-09  0.940677934339E-06  0.999999059322E+00  0.712498122991E+03  0.145344750545E+05  0.540151743612E-02  0.203993265689E+05  0.101656042156E+24  0.182731307142E+08  0.327895415843E+00
  0.105346770039E-09  0.950174916273E-06  0.999999049825E+00  0.712498123199E+03  0.145344749892E+05  0.540151743455E-02  0.203993265681E+05  0.101656042609E+24  0.182731307142E+08  0.327895415738E+00
  0.106410237739E-09  0.959766868183E-06  0.999999040233E+00  0.712498123409E+03  0.145344749232E+05  0.540151743296E-02  0.203993265673E+05  0.101656043067E+24  0.182731307142E+08  0.327895415633E+00
  0.107484340117E-09  0.969454739771E-06  0.999999030545E+00  0.712498123621E+03  0.145344748565E+05  0.540151743135E-02  0.203993265665E+05  0.101656043529E+24  0.182731307142E+08  0.327895415527E+00
  0.108569183518E-09  0.979239490239E-06  0.999999020761E+00  0.712498123835E+03  0.145344747892E+05  0.540151742973E-02  0.203993265657E+05  0.101656043996E+24  0.182731307142E+08  0.327895415420E+00
