#--------------------------#
# x [m]  X_O  X_O2  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.347848915333E-12  0.313742980577E-08  0.999999996863E+00  0.712498102469E+03  0.145344815055E+05  0.540151759170E-02  0.203993266479E+05  0.101655997431E+24  0.182731307142E+08  0.327895426124E+00
  0.361327404486E-12  0.325899890395E-08  0.999999996741E+00  0.712498102472E+03  0.145344815047E+05  0.540151759168E-02  0.203993266479E+05  0.101655997437E+24  0.182731307142E+08  0.327895426123E+00
  0.374940678531E-12  0.338178369314E-08  0.999999996618E+00  0.712498102475E+03  0.145344815038E+05  0.540151759166E-02  0.203993266479E+05  0.101655997442E+24  0.182731307142E+08  0.327895426122E+00
  0.388690085316E-12  0.350579633024E-08  0.999999996494E+00  0.712498102477E+03  0.145344815030E+05  0.540151759164E-02  0.203993266479E+05  0.101655997448E+24  0.182731307142E+08  0.327895426120E+00
  0.402576986170E-12  0.363104909374E-08  0.999999996369E+00  0.712498102480E+03  0.145344815021E+05  0.540151759162E-02  0.203993266479E+05  0.101655997454E+24  0.182731307142E+08  0.327895426119E+00
  0.416602756031E-12  0.375755438491E-08  0.999999996242E+00  0.712498102483E+03  0.145344815012E+05  0.540151759160E-02  0.203993266479E+05  0.101655997460E+24  0.182731307142E+08  0.327895426118E+00
  0.430768783592E-12  0.388532472901E-08  0.999999996115E+00  0.712498102486E+03  0.145344815004E+05  0.540151759158E-02  0.203993266479E+05  0.101655997466E+24  0.182731307142E+08  0.327895426116E+00
  0.445076471427E-12  0.401437277658E-08  0.999999995986E+00  0.712498102488E+03  0.145344814995E+05  0.540151759156E-02  0.203993266479E+05  0.101655997473E+24  0.182731307142E+08  0.327895426115E+00
  0.459527236142E-12  0.414471130466E-08  0.999999995855E+00  0.712498102491E+03  0.145344814986E+05  0.540151759153E-02  0.203993266478E+05  0.101655997479E+24  0.182731307142E+08  0.327895426113E+00
  0.474122508503E-12  0.427635321805E-08  0.999999995724E+00  0.712498102494E+03  0.145344814977E+05  0.540151759151E-02  0.203993266478E+05  0.101655997485E+24  0.182731307142E+08  0.327895426112E+00
  0.488863733588E-12  0.440931155060E-08  0.999999995591E+00  0.712498102497E+03  0.145344814967E+05  0.540151759149E-02  0.203993266478E+05  0.101655997491E+24  0.182731307142E+08  0.327895426111E+00
  0.503752370924E-12  0.454359946651E-08  0.999999995456E+00  0.712498102500E+03  0.145344814958E+05  0.540151759147E-02  0.203993266478E+05  0.101655997498E+24  0.182731307142E+08  0.327895426109E+00
  0.518789894633E-12  0.467923026161E-08  0.999999995321E+00  0.712498102503E+03  0.145344814949E+05  0.540151759144E-02  0.203993266478E+05  0.101655997504E+24  0.182731307142E+08  0.327895426108E+00
  0.533977793580E-12  0.481621736469E-08  0.999999995184E+00  0.712498102506E+03  0.145344814939E+05  0.540151759142E-02  0.203993266478E+05  0.101655997511E+24  0.182731307142E+08  0.327895426106E+00
  0.549317571515E-12  0.495457433883E-08  0.999999995045E+00  0.712498102509E+03  0.145344814930E+05  0.540151759140E-02  0.203993266478E+05  0.101655997517E+24  0.182731307142E+08  0.327895426105E+00
  0.564810747231E-12  0.509431488275E-08  0.999999994906E+00  0.712498102512E+03  0.145344814920E+05  0.540151759138E-02  0.203993266478E+05  0.101655997524E+24  0.182731307142E+08  0.327895426103E+00
  0.580458854703E-12  0.523545283214E-08  0.999999994765E+00  0.712498102515E+03  0.145344814911E+05  0.540151759135E-02  0.203993266477E+05  0.101655997531E+24  0.182731307142E+08  0.327895426101E+00
  0.596263443250E-12  0.537800216107E-08  0.999999994622E+00  0.712498102518E+03  0.145344814901E+05  0.540151759133E-02  0.203993266477E+05  0.101655997538E+24  0.182731307142E+08  0.327895426100E+00
  0.612226077682E-12  0.552197698331E-08  0.999999994478E+00  0.712498102521E+03  0.145344814891E+05  0.540151759131E-02  0.203993266477E+05  0.101655997544E+24  0.182731307142E+08  0.327895426098E+00
  0.628348338459E-12  0.566739155382E-08  0.999999994333E+00  0.712498102525E+03  0.145344814881E+05  0.540151759128E-02  0.203993266477E+05  0.101655997551E+24  0.182731307142E+08  0.327895426097E+00
  0.644631821844E-12  0.581426027006E-08  0.999999994186E+00  0.712498102528E+03  0.145344814871E+05  0.540151759126E-02  0.203993266477E+05  0.101655997558E+24  0.182731307142E+08  0.327895426095E+00
  0.661078140062E-12  0.596259767351E-08  0.999999994037E+00  0.712498102531E+03  0.145344814861E+05  0.540151759123E-02  0.203993266477E+05  0.101655997566E+24  0.182731307142E+08  0.327895426093E+00
  0.677688921463E-12  0.611241845102E-08  0.999999993888E+00  0.712498102534E+03  0.145344814850E+05  0.540151759121E-02  0.203993266477E+05  0.101655997573E+24  0.182731307142E+08  0.327895426092E+00
  0.694465810678E-12  0.626373743636E-08  0.999999993736E+00  0.712498102538E+03  0.145344814840E+05  0.540151759118E-02  0.203993266477E+05  0.101655997580E+24  0.182731307142E+08  0.327895426090E+00
  0.711410468784E-12  0.641656961158E-08  0.999999993583E+00  0.712498102541E+03  0.145344814829E+05  0.540151759116E-02  0.203993266476E+05  0.101655997587E+24  0.182731307142E+08  0.327895426088E+00
  0.728524573472E-12  0.657093010860E-08  0.999999993429E+00  0.712498102544E+03  0.145344814819E+05  0.540151759113E-02  0.203993266476E+05  0.101655997595E+24  0.182731307142E+08  0.327895426087E+00
  0.745809819207E-12  0.672683421063E-08  0.999999993273E+00  0.712498102548E+03  0.145344814808E+05  0.540151759111E-02  0.203993266476E+05  0.101655997602E+24  0.182731307142E+08  0.327895426085E+00
  0.763267917399E-12  0.688429735372E-08  0.999999993116E+00  0.712498102551E+03  0.145344814797E+05  0.540151759108E-02  0.203993266476E+05  0.101655997609E+24  0.182731307142E+08  0.327895426083E+00
  0.780900596573E-12  0.704333512829E-08  0.999999992957E+00  0.712498102555E+03  0.145344814786E+05  0.540151759105E-02  0.203993266476E+05  0.101655997617E+24  0.182731307142E+08  0.327895426082E+00
  0.798709602539E-12  0.720396328065E-08  0.999999992796E+00  0.712498102558E+03  0.145344814775E+05  0.540151759103E-02  0.203993266476E+05  0.101655997625E+24  0.182731307142E+08  0.327895426080E+00
  0.816696698564E-12  0.736619771457E-08  0.999999992634E+00  0.712498102562E+03  0.145344814764E+05  0.540151759100E-02  0.203993266476E+05  0.101655997632E+24  0.182731307142E+08  0.327895426078E+00
  0.834863665550E-12  0.753005449288E-08  0.999999992470E+00  0.712498102565E+03  0.145344814753E+05  0.540151759097E-02  0.203993266476E+05  0.101655997640E+24  0.182731307142E+08  0.327895426076E+00
  0.853212302205E-12  0.769554983902E-08  0.999999992304E+00  0.712498102569E+03  0.145344814741E+05  0.540151759094E-02  0.203993266475E+05  0.101655997648E+24  0.182731307142E+08  0.327895426074E+00
  0.871744425227E-12  0.786270013867E-08  0.999999992137E+00  0.712498102573E+03  0.145344814730E+05  0.540151759092E-02  0.203993266475E+05  0.101655997656E+24  0.182731307142E+08  0.327895426073E+00
  0.890461869480E-12  0.803152194136E-08  0.999999991968E+00  0.712498102576E+03  0.145344814718E+05  0.540151759089E-02  0.203993266475E+05  0.101655997664E+24  0.182731307142E+08  0.327895426071E+00
  0.909366488174E-12  0.820203196213E-08  0.999999991798E+00  0.712498102580E+03  0.145344814706E+05  0.540151759086E-02  0.203993266475E+05  0.101655997672E+24  0.182731307142E+08  0.327895426069E+00
  0.928460153056E-12  0.837424708316E-08  0.999999991626E+00  0.712498102584E+03  0.145344814695E+05  0.540151759083E-02  0.203993266475E+05  0.101655997681E+24  0.182731307142E+08  0.327895426067E+00
  0.947744754587E-12  0.854818435544E-08  0.999999991452E+00  0.712498102588E+03  0.145344814683E+05  0.540151759080E-02  0.203993266475E+05  0.101655997689E+24  0.182731307142E+08  0.327895426065E+00
  0.967222202133E-12  0.872386100051E-08  0.999999991276E+00  0.712498102592E+03  0.145344814671E+05  0.540151759077E-02  0.203993266475E+05  0.101655997697E+24  0.182731307142E+08  0.327895426063E+00
  0.986894424154E-12  0.890129441208E-08  0.999999991099E+00  0.712498102595E+03  0.145344814658E+05  0.540151759074E-02  0.203993266474E+05  0.101655997706E+24  0.182731307142E+08  0.327895426061E+00
  0.100676336840E-11  0.908050215782E-08  0.999999990919E+00  0.712498102599E+03  0.145344814646E+05  0.540151759071E-02  0.203993266474E+05  0.101655997714E+24  0.182731307142E+08  0.327895426059E+00
  0.102683100208E-11  0.926150198107E-08  0.999999990738E+00  0.712498102603E+03  0.145344814634E+05  0.540151759068E-02  0.203993266474E+05  0.101655997723E+24  0.182731307142E+08  0.327895426057E+00
  0.104709931210E-11  0.944431180261E-08  0.999999990556E+00  0.712498102607E+03  0.145344814621E+05  0.540151759065E-02  0.203993266474E+05  0.101655997732E+24  0.182731307142E+08  0.327895426055E+00
  0.106757030522E-11  0.962894972243E-08  0.999999990371E+00  0.712498102611E+03  0.145344814608E+05  0.540151759062E-02  0.203993266474E+05  0.101655997740E+24  0.182731307142E+08  0.327895426053E+00
  0.108824600827E-11  0.981543402150E-08  0.999999990185E+00  0.712498102615E+03  0.145344814595E+05  0.540151759059E-02  0.203993266474E+05  0.101655997749E+24  0.182731307142E+08  0.327895426051E+00
  0.110912846836E-11  0.100037831636E-07  0.999999989996E+00  0.712498102620E+03  0.145344814583E+05  0.540151759056E-02  0.203993266473E+05  0.101655997758E+24  0.182731307142E+08  0.327895426049E+00
  0.113021975304E-11  0.101940157972E-07  0.999999989806E+00  0.712498102624E+03  0.145344814569E+05  0.540151759053E-02  0.203993266473E+05  0.101655997767E+24  0.182731307142E+08  0.327895426047E+00
  0.115152195057E-11  0.103861507572E-07  0.999999989614E+00  0.712498102628E+03  0.145344814556E+05  0.540151759050E-02  0.203993266473E+05  0.101655997777E+24  0.182731307142E+08  0.327895426045E+00
