# i,K[cm^3/s]
1,1.41575920e-12
2,2.29676692e-12
3,3.46944191e-12
4,5.95359639e-12
5,1.12071661e-11
6,2.03010526e-11
7,3.89469418e-11
8,7.14063432e-11
9,1.39451877e-10
10,2.86236502e-10
11,7.07649782e-10
12,1.64906513e-09
13,1.43921051e-09
14,1.48806430e-09
15,1.72304052e-09
16,1.93638768e-09
17,2.22325291e-09
18,2.83248443e-09
