# i,K[cm^3/s]
1,3.12020367e-13
2,4.37500365e-13
3,7.10891478e-13
4,1.08169634e-12
5,1.56059538e-12
6,2.26658782e-12
7,3.62222639e-12
8,5.87304107e-12
9,9.22910435e-12
10,1.52174301e-11
11,2.46363018e-11
12,4.12992566e-11
13,7.00492411e-11
14,1.20681420e-10
15,2.15421152e-10
16,4.14668507e-10
17,1.20473264e-09
18,1.19060536e-09
19,1.18896045e-09
20,1.21602421e-09
21,1.25041283e-09
22,1.44589030e-09
23,1.50807129e-09
24,1.73252316e-09
25,1.86083901e-09
26,2.12656229e-09
27,2.75117650e-09
