# i,E[eV]
1,-4.94179437e+00
2,-4.64471190e+00
3,-4.34442667e+00
4,-4.03916359e+00
5,-3.73565976e+00
6,-3.42897198e+00
7,-3.12312952e+00
8,-2.81863171e+00
9,-2.51137166e+00
10,-2.20432645e+00
11,-1.89617015e+00
12,-1.58919189e+00
13,-1.28280338e+00
14,-9.74743309e-01
15,-6.67836866e-01
16,-3.62304026e-01
17,-5.35772750e-02
18,2.44439157e-01
19,5.50607113e-01
20,8.59600010e-01
21,1.16475328e+00
22,1.47147514e+00
23,1.77983536e+00
24,2.08548500e+00
25,2.38901249e+00
26,2.69797236e+00
27,2.99546706e+00
