# i,j,K[cm^3/s]
2,1,7.29299364e-12
3,1,5.19928985e-12
3,2,1.01714946e-11
4,1,3.81925296e-12
4,2,8.05775141e-12
4,3,1.23966905e-11
5,1,3.00575258e-12
5,2,6.42189794e-12
5,3,1.03437620e-11
5,4,1.38444639e-11
6,1,2.49906359e-12
6,2,5.30960173e-12
6,3,8.81225692e-12
6,4,1.23807990e-11
6,5,1.54065662e-11
7,1,2.04304452e-12
7,2,4.49152358e-12
7,3,7.45691767e-12
7,4,1.07747602e-11
7,5,1.41099308e-11
7,6,1.75051748e-11
8,1,1.78723570e-12
8,2,3.89197924e-12
8,3,6.61877696e-12
8,4,9.54462286e-12
8,5,1.25879263e-11
8,6,1.61272647e-11
8,7,1.86847597e-11
9,1,1.54785091e-12
9,2,3.37597650e-12
9,3,5.77831751e-12
9,4,8.33905290e-12
9,5,1.11814746e-11
9,6,1.46581428e-11
9,7,1.78353746e-11
9,8,2.12691754e-11
10,1,1.32128018e-12
10,2,2.91562770e-12
10,3,4.97791308e-12
10,4,7.22588228e-12
10,5,1.01596292e-11
10,6,1.35611365e-11
10,7,1.66135487e-11
10,8,2.01514947e-11
10,9,2.32451987e-11
11,1,1.09778066e-12
11,2,2.53497537e-12
11,3,4.42594820e-12
11,4,6.53386907e-12
11,5,9.05758967e-12
11,6,1.20746370e-11
11,7,1.51390594e-11
11,8,1.88185289e-11
11,9,2.25092926e-11
11,10,2.60540391e-11
12,1,1.02323559e-12
12,2,2.25785925e-12
12,3,3.82712048e-12
12,4,5.67589886e-12
12,5,7.97378678e-12
12,6,1.08898964e-11
12,7,1.37495813e-11
12,8,1.75927991e-11
12,9,2.14342842e-11
12,10,2.52277197e-11
12,11,2.91097465e-11
13,1,8.55842456e-13
13,2,1.98398018e-12
13,3,3.44811502e-12
13,4,5.14542195e-12
13,5,7.13556751e-12
13,6,9.84251687e-12
13,7,1.25372828e-11
13,8,1.60652461e-11
13,9,1.97680205e-11
13,10,2.40212764e-11
13,11,2.82671337e-11
13,12,3.16813955e-11
14,1,7.49463183e-13
14,2,1.74101750e-12
14,3,3.00497186e-12
14,4,4.53453375e-12
14,5,6.47496924e-12
14,6,8.84554359e-12
14,7,1.13806665e-11
14,8,1.45739029e-11
14,9,1.81328024e-11
14,10,2.20461378e-11
14,11,2.66200682e-11
14,12,3.08666652e-11
14,13,3.52357196e-11
15,1,6.58196308e-13
15,2,1.44642273e-12
